geo,time,sh_hiv_incd_yg
afg,1990,100
afg,1991,100
afg,1992,100
afg,1993,100
afg,1994,100
afg,1995,100
afg,1996,100
afg,1997,100
afg,1998,100
afg,1999,100
afg,2000,100
afg,2001,100
afg,2002,100
afg,2003,200
afg,2004,200
afg,2005,200
afg,2006,200
afg,2007,200
afg,2008,200
afg,2009,200
afg,2010,200
afg,2011,200
afg,2012,500
afg,2013,500
afg,2014,500
afg,2015,500
afg,2016,500
afg,2017,500
afg,2018,500
afg,2019,500
afg,2020,500
ago,1990,1100
ago,1991,1400
ago,1992,1800
ago,1993,2200
ago,1994,2700
ago,1995,3200
ago,1996,3800
ago,1997,4400
ago,1998,5000
ago,1999,5700
ago,2000,6400
ago,2001,6900
ago,2002,7400
ago,2003,8000
ago,2004,8600
ago,2005,8900
ago,2006,9200
ago,2007,9200
ago,2008,9300
ago,2009,9300
ago,2010,9200
ago,2011,9100
ago,2012,8900
ago,2013,8700
ago,2014,8200
ago,2015,7800
ago,2016,7600
ago,2017,7600
ago,2018,7400
ago,2019,7200
ago,2020,7000
alb,1990,100
alb,1991,100
alb,1992,100
alb,1993,100
alb,1994,100
alb,1995,100
alb,1996,100
alb,1997,100
alb,1998,100
alb,1999,100
alb,2000,100
alb,2001,100
alb,2002,100
alb,2003,100
alb,2004,100
alb,2005,100
alb,2006,100
alb,2007,100
alb,2008,100
alb,2009,100
alb,2010,100
alb,2011,100
alb,2012,100
alb,2013,100
alb,2014,100
alb,2015,100
alb,2016,100
alb,2017,100
alb,2018,100
alb,2019,100
alb,2020,100
are,1990,100
are,1991,100
are,1992,100
are,1993,100
are,1994,100
are,1995,100
are,1996,100
are,1997,100
are,1998,100
are,1999,100
are,2000,100
are,2001,100
are,2002,100
are,2003,100
are,2004,100
are,2005,100
are,2006,100
are,2007,100
are,2008,100
are,2009,100
are,2010,100
are,2011,100
are,2012,100
are,2013,100
are,2014,100
are,2015,100
are,2016,100
are,2017,100
are,2018,100
are,2019,100
are,2020,100
arg,1990,1000
arg,1991,1000
arg,1992,1000
arg,1993,1100
arg,1994,1300
arg,1995,1100
arg,1996,1200
arg,1997,1200
arg,1998,1200
arg,1999,1200
arg,2000,1200
arg,2001,1100
arg,2002,1100
arg,2003,1100
arg,2004,1100
arg,2005,1100
arg,2006,1100
arg,2007,1200
arg,2008,1200
arg,2009,1200
arg,2010,1200
arg,2011,1200
arg,2012,1200
arg,2013,1200
arg,2014,1100
arg,2015,1100
arg,2016,1100
arg,2017,1100
arg,2018,1100
arg,2019,1100
arg,2020,1000
arm,1990,100
arm,1991,100
arm,1992,100
arm,1993,100
arm,1994,100
arm,1995,100
arm,1996,100
arm,1997,100
arm,1998,100
arm,1999,100
arm,2000,100
arm,2001,200
arm,2002,200
arm,2003,200
arm,2004,200
arm,2005,200
arm,2006,200
arm,2007,200
arm,2008,100
arm,2009,100
arm,2010,100
arm,2011,100
arm,2012,100
arm,2013,100
arm,2014,100
arm,2015,100
arm,2016,100
arm,2017,100
arm,2018,100
arm,2019,100
arm,2020,100
aus,1990,200
aus,1991,200
aus,1992,100
aus,1993,100
aus,1994,100
aus,1995,100
aus,1996,100
aus,1997,100
aus,1998,100
aus,1999,100
aus,2000,100
aus,2001,100
aus,2002,100
aus,2003,100
aus,2004,100
aus,2005,100
aus,2006,100
aus,2007,100
aus,2008,100
aus,2009,100
aus,2010,100
aus,2011,100
aus,2012,100
aus,2013,100
aus,2014,100
aus,2015,100
aus,2016,100
aus,2017,100
aus,2018,100
aus,2019,100
aus,2020,100
aze,1990,100
aze,1991,100
aze,1992,100
aze,1993,100
aze,1994,100
aze,1995,100
aze,1996,100
aze,1997,200
aze,1998,200
aze,1999,200
aze,2000,500
aze,2001,500
aze,2002,500
aze,2003,500
aze,2004,500
aze,2005,500
aze,2006,200
aze,2007,200
aze,2008,200
aze,2009,200
aze,2010,200
aze,2011,200
aze,2012,200
aze,2013,200
aze,2014,200
aze,2015,200
aze,2016,100
aze,2017,100
aze,2018,100
aze,2019,100
aze,2020,100
bdi,1990,7400
bdi,1991,6700
bdi,1992,6400
bdi,1993,5200
bdi,1994,4300
bdi,1995,3800
bdi,1996,3200
bdi,1997,2900
bdi,1998,2600
bdi,1999,2200
bdi,2000,2100
bdi,2001,1900
bdi,2002,1700
bdi,2003,1600
bdi,2004,1400
bdi,2005,1300
bdi,2006,1300
bdi,2007,1200
bdi,2008,1100
bdi,2009,1100
bdi,2010,1000
bdi,2011,1000
bdi,2012,1000
bdi,2013,1000
bdi,2014,1000
bdi,2015,1000
bdi,2016,1000
bdi,2017,500
bdi,2018,500
bdi,2019,500
bdi,2020,500
ben,1990,1700
ben,1991,1900
ben,1992,2000
ben,1993,2000
ben,1994,2100
ben,1995,2100
ben,1996,2000
ben,1997,2000
ben,1998,1900
ben,1999,1800
ben,2000,1800
ben,2001,1700
ben,2002,1700
ben,2003,1600
ben,2004,1600
ben,2005,1600
ben,2006,1600
ben,2007,1500
ben,2008,1400
ben,2009,1200
ben,2010,1200
ben,2011,1100
ben,2012,1000
ben,2013,1000
ben,2014,1000
ben,2015,1000
ben,2016,1000
ben,2017,1000
ben,2018,1000
ben,2019,1000
ben,2020,1000
bfa,1990,7400
bfa,1991,6500
bfa,1992,6100
bfa,1993,5300
bfa,1994,4500
bfa,1995,4000
bfa,1996,3500
bfa,1997,3300
bfa,1998,3000
bfa,1999,2600
bfa,2000,2300
bfa,2001,2000
bfa,2002,1800
bfa,2003,1700
bfa,2004,1600
bfa,2005,1400
bfa,2006,1300
bfa,2007,1200
bfa,2008,1100
bfa,2009,1000
bfa,2010,1000
bfa,2011,1000
bfa,2012,1000
bfa,2013,1000
bfa,2014,1000
bfa,2015,1000
bfa,2016,500
bfa,2017,500
bfa,2018,500
bfa,2019,500
bfa,2020,500
bhs,1990,100
bhs,1991,100
bhs,1992,100
bhs,1993,100
bhs,1994,100
bhs,1995,100
bhs,1996,100
bhs,1997,100
bhs,1998,100
bhs,1999,100
bhs,2000,100
bhs,2001,100
bhs,2002,100
bhs,2003,100
bhs,2004,100
bhs,2005,100
bhs,2006,100
bhs,2007,100
bhs,2008,100
bhs,2009,100
bhs,2010,100
bhs,2011,100
bhs,2012,100
bhs,2013,100
bhs,2014,100
bhs,2015,100
bhs,2016,100
bhs,2017,100
bhs,2018,100
bhs,2019,100
bhs,2020,100
blr,1990,100
blr,1991,100
blr,1992,100
blr,1993,100
blr,1994,100
blr,1995,100
blr,1996,100
blr,1997,100
blr,1998,100
blr,1999,100
blr,2000,100
blr,2001,200
blr,2002,200
blr,2003,200
blr,2004,500
blr,2005,500
blr,2006,500
blr,2007,500
blr,2008,500
blr,2009,500
blr,2010,500
blr,2011,500
blr,2012,500
blr,2013,500
blr,2014,500
blr,2015,500
blr,2016,500
blr,2017,500
blr,2018,500
blr,2019,200
blr,2020,200
blz,1990,100
blz,1991,100
blz,1992,100
blz,1993,100
blz,1994,100
blz,1995,100
blz,1996,100
blz,1997,100
blz,1998,100
blz,1999,100
blz,2000,100
blz,2001,100
blz,2002,100
blz,2003,100
blz,2004,100
blz,2005,100
blz,2006,100
blz,2007,100
blz,2008,100
blz,2009,100
blz,2010,100
blz,2011,100
blz,2012,100
blz,2013,100
blz,2014,100
blz,2015,100
blz,2016,100
blz,2017,100
blz,2018,100
blz,2019,100
blz,2020,100
bol,1990,100
bol,1991,100
bol,1992,100
bol,1993,100
bol,1994,200
bol,1995,200
bol,1996,500
bol,1997,500
bol,1998,500
bol,1999,500
bol,2000,200
bol,2001,200
bol,2002,200
bol,2003,200
bol,2004,200
bol,2005,200
bol,2006,200
bol,2007,200
bol,2008,200
bol,2009,200
bol,2010,200
bol,2011,200
bol,2012,200
bol,2013,200
bol,2014,200
bol,2015,200
bol,2016,200
bol,2017,200
bol,2018,200
bol,2019,200
bol,2020,200
btn,1990,100
btn,1991,100
btn,1992,100
btn,1993,100
btn,1994,100
btn,1995,100
btn,1996,100
btn,1997,100
btn,1998,100
btn,1999,100
btn,2000,100
btn,2001,100
btn,2002,100
btn,2003,100
btn,2004,100
btn,2005,100
btn,2006,100
btn,2007,100
btn,2008,100
btn,2009,100
btn,2010,100
btn,2011,100
btn,2012,100
btn,2013,100
btn,2014,100
btn,2015,100
btn,2016,100
btn,2017,100
btn,2018,100
btn,2019,100
btn,2020,100
bwa,1990,5800
bwa,1991,8000
bwa,1992,10000
bwa,1993,12000
bwa,1994,13000
bwa,1995,13000
bwa,1996,13000
bwa,1997,12000
