global,time,gc_tax_totl_gd_zs
world,1991,14.21993
world,1992,13.91309
world,1993,13.73501
world,1999,15.44106
world,2005,14.09874
world,2006,14.56783
world,2007,14.79512
world,2008,14.4077
world,2009,13.18769
world,2010,13.38369
world,2011,13.73021
world,2012,13.81877
world,2013,14.0058
world,2014,13.97697
world,2015,13.9774
world,2016,13.86084
world,2017,14.2039
world,2018,13.851
world,2019,14.86584
