global,time,en_atm_co2e_sf_kt
world,1960,5146913.42632
world,1961,4872471.66153
world,1962,4821306.72402
world,1963,5013086.42881
world,1964,5122991.0962
world,1965,5277055.73742
world,1966,5380881.53008
world,1967,5317250.19635
world,1968,5368594.95887
world,1969,5566302.39337
world,1970,5845581.46011
world,1971,5852168.87211
world,1972,5887317.64802
world,1973,6069322.38964
world,1974,6075065.15381
world,1975,6276737.61815
world,1976,6542134.07305
world,1977,6746079.55405
world,1978,6955641.70399
world,1979,7223724.35387
world,1980,7464945.32652
world,1981,7377181.34473
world,1982,7545340.8855
world,1983,7783619.98684
world,1984,8120293.53917
world,1985,8781871.30088
world,1986,8897382.54057
world,1987,9277575.20443
world,1988,9633855.63036
world,1989,9676007.37857
world,1990,9227759.07341
world,1991,9215082.12706
world,1992,8651493.06654
world,1993,8659916.22494
world,1994,8743333.92004
world,1995,8930467.6792
world,1996,9156868.72525
world,1997,9092433.36742
world,1998,8852294.06063
world,1999,8843658.37488
world,2000,9116380.53973
world,2001,9164295.33798
world,2002,9597917.96013
world,2003,10342749.09512
world,2004,11072915.95219
world,2005,11737552.21225
world,2006,12444151.69763
world,2007,12674319.2458
world,2008,13544485.52216
world,2009,12890794.95204
world,2010,14171057.35523
world,2011,15074125.44525
world,2012,15291329.39559
world,2013,15147056.19462
world,2014,15119315.37683
world,2015,14867564.5064
world,2016,14437590.79825
