global,time,nv_ind_manf_zs
world,1997,18.91577
world,1998,18.53549
world,1999,18.34999
world,2000,18.18727
world,2001,17.16023
world,2002,16.72534
world,2003,16.58053
world,2004,16.46165
world,2005,16.26991
world,2006,16.24088
world,2007,16.20348
world,2008,15.97406
world,2009,15.3776
world,2010,15.88089
world,2011,15.99003
world,2012,15.95477
world,2013,15.81224
world,2014,15.93106
world,2015,16.37121
world,2016,16.16754
world,2017,16.21113
world,2018,16.33075
world,2019,15.92623
world,2020,15.92798
