global,time,bx_gsr_nfsv_cd
world,1976,206859910870.93399
world,1977,240119909056.233
world,1978,289793459318.92999
world,1979,346342793913.62097
world,1980,411154639957.45398
world,1981,422400051710.60693
world,1982,419360482234.70697
world,1983,410742303411.43494
world,1984,420034726896.07898
world,1985,437549448523.76599
world,1986,514792932721.01501
world,1987,604944203105.96704
world,1988,668934633071.96997
world,1989,725732048535.04993
world,1990,877704426299.68188
world,1991,919943522931.53796
world,1992,1031170571626.45996
world,1993,1036348077331.33997
world,1994,1123283416595.1499
world,1995,1285455988377.59009
world,1996,1378071073804.13989
world,1997,1477941682207.75
world,1998,1502896719726.37012
world,1999,1585579470618.01001
world,2000,1697581475584.98999
world,2001,1699726872256.96997
world,2002,1815430362401.14966
world,2003,2011046918120.6897
world,2004,2444291387334.7998
world,2005,2704263895479.29004
world,2006,3048285828477.60938
world,2007,3646025064587.47998
world,2008,4101186353016.10938
world,2009,3670398615323.72949
world,2010,4005834539402.64014
world,2011,4518190088674.88965
world,2012,4654257850081.37988
world,2013,4946749895540.7998
world,2014,5260275802841.0498
world,2015,5031438487371.20996
world,2016,5106590778381.91016
world,2017,5544888369289.12988
world,2018,6081113794154.98047
world,2019,6220104509621.32031
world,2020,5135662336453.30957
