global,time,en_atm_co2e_pp_gd_kd
world,1990,0.40324
world,1991,0.40157
world,1992,0.39424
world,1993,0.39032
world,1994,0.38166
world,1995,0.38063
world,1996,0.3745
world,1997,0.36637
world,1998,0.35946
world,1999,0.34903
world,2000,0.34352
world,2001,0.34153
world,2002,0.33741
world,2003,0.34005
world,2004,0.33875
world,2005,0.33639
world,2006,0.33049
world,2007,0.3264
world,2008,0.32079
world,2009,0.31955
world,2010,0.32267
world,2011,0.32039
world,2012,0.31496
world,2013,0.3107
world,2014,0.3007
world,2015,0.28958
world,2016,0.28037
world,2017,0.27358
world,2018,0.26958
