global,time,tm_tax_mrch_bc_zs
world,1995,81.82
world,1996,74.92
world,1997,68.2
world,1998,72.87
world,1999,75.05
world,2000,73.76
world,2001,71.63
world,2002,71.09
world,2003,71.72
world,2004,76.8
world,2005,76.21
world,2006,78.51
world,2007,78.04
world,2008,77.36
world,2009,76.78
world,2010,77.31
world,2011,77.48
world,2012,80.23
world,2013,78.31
world,2014,82.23
world,2015,80.45
world,2016,80.65
world,2017,22.78
