global,time,dc_dac_luxl_cd
world,1990,15000000
world,1991,25700000.76294
world,1992,21440000.53406
world,1993,33439998.62671
world,1994,42990001.67847
world,1995,47729999.54224
world,1996,60000000
world,1997,69419998.16895
world,1998,80430000.30518
world,1999,91459999.08447
world,2000,102260002.13623
world,2001,111510002.13623
world,2002,118269996.64307
world,2003,153520004.27246
world,2004,174070007.32422
world,2005,187399993.89648
world,2006,204880004.88281
world,2007,253339996.33789
world,2008,278029998.7793
world,2009,265989990.23438
world,2010,262239990.23438
world,2011,279630004.88281
world,2012,276690002.44141
world,2013,298630004.88281
world,2014,300269989.01367
world,2015,262609985.35156
world,2016,274779998.7793
world,2017,303869995.11719
world,2018,343179992.67578
world,2019,361500000
