global,time,fb_cbk_brch_p5
world,2004,9.68
world,2005,10.56
world,2006,10.945
world,2007,11.66
world,2008,11.49
world,2009,11.075
world,2010,10.98
world,2011,11.41
world,2012,11.515
world,2013,11.885
world,2014,12.22
world,2015,11.59
world,2016,12.28
world,2017,11.68
world,2018,11.42
world,2019,11.02
world,2020,10.78
