geo,time,sm_pop_refg_or
afg,1979,500000
afg,1980,1734921
afg,1981,3879984
afg,1982,4488214
afg,1983,4712735
afg,1984,4417651
afg,1985,4653193
afg,1986,5094283
afg,1987,5511740
afg,1988,5622982
afg,1989,5643989
afg,1990,6339095
afg,1991,6306301
afg,1992,4552153
afg,1993,3374575
afg,1994,2731166
afg,1995,2679132
afg,1996,2674234
afg,1997,2676675
afg,1998,2667118
afg,1999,2601690
afg,2000,3587327
afg,2001,3809763
afg,2002,2510294
afg,2003,2136039
afg,2004,2414460
afg,2005,2166139
afg,2006,2107510
afg,2007,3057655
afg,2008,2833116
afg,2009,2887114
afg,2010,3054699
afg,2011,2664423
afg,2012,2586132
afg,2013,2556483
afg,2014,2596259
afg,2015,2666294
afg,2016,2501447
afg,2017,2624265
afg,2018,2681267
afg,2019,2727556
afg,2020,2594774
ago,1960,150000
ago,1961,150000
ago,1962,170000
ago,1963,175000
ago,1964,200000
ago,1965,220000
ago,1966,303800
ago,1967,356200
ago,1968,381360
ago,1969,408190
ago,1970,414120
ago,1971,419690
ago,1972,421500
ago,1973,426550
ago,1974,497390
ago,1975,501830
ago,1976,499190
ago,1977,529830
ago,1978,646110
ago,1979,652980
ago,1980,449030
ago,1981,457060
ago,1982,465890
ago,1983,298110
ago,1984,357821
ago,1985,317392
ago,1986,355412
ago,1987,391733
ago,1988,407566
ago,1989,408692
ago,1990,407760
ago,1991,381638
ago,1992,300494
ago,1993,323822
ago,1994,282570
ago,1995,246653
ago,1996,249686
ago,1997,267687
ago,1998,319420
ago,1999,353472
ago,2000,433756
ago,2001,470616
ago,2002,435415
ago,2003,329573
ago,2004,228842
ago,2005,215811
ago,2006,206482
ago,2007,186137
ago,2008,171374
ago,2009,141006
ago,2010,134851
ago,2011,128657
ago,2012,19253
ago,2013,10274
ago,2014,9468
ago,2015,11855
ago,2016,8388
ago,2017,8292
ago,2018,8243
ago,2019,8176
ago,2020,8264
alb,1964,100
alb,1965,4860
alb,1966,4860
alb,1967,4260
alb,1968,4120
alb,1969,4290
alb,1970,4310
alb,1971,390
alb,1972,2300
alb,1973,2090
alb,1974,380
alb,1975,380
alb,1977,2000
alb,1978,1980
alb,1979,1610
alb,1980,1681
alb,1981,1680
alb,1982,1645
alb,1983,1610
alb,1984,1576
alb,1985,1587
alb,1986,90
alb,1987,129
alb,1988,358
alb,1989,367
alb,1990,1822
alb,1991,3542
alb,1992,4355
alb,1993,4747
alb,1994,5021
alb,1995,5804
alb,1996,5784
alb,1997,5381
alb,1998,5353
alb,1999,6286
alb,2000,6801
alb,2001,7627
alb,2002,10758
alb,2003,10382
alb,2004,10474
alb,2005,12718
alb,2006,14079
alb,2007,15335
alb,2008,15007
alb,2009,15707
alb,2010,14771
alb,2011,13552
alb,2012,12569
alb,2013,10104
alb,2014,10156
alb,2015,10404
alb,2016,11060
alb,2017,12168
alb,2018,13512
alb,2019,15027
alb,2020,15536
and,2002,9
and,2003,7
and,2005,10
and,2006,10
and,2007,10
and,2008,5
and,2009,5
and,2010,5
and,2011,5
and,2012,6
and,2013,5
and,2014,5
and,2015,5
and,2020,15
are,1998,5
are,1999,5
are,2000,17
are,2001,18
are,2002,29
are,2003,16
are,2004,69
are,2005,31
are,2006,260
are,2007,305
are,2008,255
are,2009,411
are,2010,418
are,2011,484
are,2012,580
are,2013,84
are,2014,84
are,2015,91
are,2016,103
are,2017,137
are,2018,169
are,2019,155
are,2020,191
arg,1980,38
arg,1981,38
arg,1982,1019
arg,1983,42
arg,1984,42
arg,1985,51
arg,1986,52
arg,1987,47
arg,1988,46
arg,1989,103
arg,1990,332
arg,1991,196
arg,1992,111
arg,1993,97
arg,1994,467
arg,1995,330
arg,1996,218
arg,1997,157
arg,1998,140
arg,1999,585
arg,2000,608
arg,2001,660
arg,2002,764
arg,2003,777
arg,2004,789
arg,2005,850
arg,2006,888
arg,2007,1164
arg,2008,1039
arg,2009,604
arg,2010,553
arg,2011,506
arg,2012,435
arg,2013,381
arg,2014,311
arg,2015,186
arg,2016,120
arg,2017,121
arg,2018,112
arg,2019,99
arg,2020,139
arm,1964,170
arm,1968,200
arm,1969,200
arm,1970,200
arm,1971,4070
arm,1972,3500
arm,1977,440
arm,1978,420
arm,1979,700
arm,1980,333
arm,1981,333
arm,1982,733
arm,1983,333
arm,1984,333
arm,1985,333
arm,1986,528
arm,1987,208
arm,1988,300
arm,1992,195000
arm,1993,200116
arm,1994,201837
arm,1995,201439
arm,1996,203232
arm,1997,203690
arm,1998,193147
arm,1999,193228
arm,2000,5787
arm,2001,7206
arm,2002,13244
arm,2003,13158
arm,2004,13409
arm,2005,13965
arm,2006,14913
arm,2007,15435
arm,2008,16333
arm,2009,18004
arm,2010,17553
arm,2011,16491
arm,2012,15937
arm,2013,11995
arm,2014,11839
arm,2015,11211
arm,2016,10707
arm,2017,10786
arm,2018,11040
arm,2019,10962
arm,2020,10518
atg,2001,5
atg,2002,5
atg,2003,5
atg,2004,13
atg,2005,13
atg,2006,18
atg,2007,24
atg,2008,25
atg,2009,27
atg,2010,28
atg,2011,32
atg,2012,45
atg,2013,50
atg,2014,53
atg,2015,56
atg,2016,82
atg,2017,99
atg,2018,107
atg,2019,117
atg,2020,118
aus,2002,9
aus,2003,12
aus,2004,11
aus,2005,41
aus,2006,29
aus,2007,57
aus,2008,37
aus,2009,23
aus,2010,38
aus,2011,38
aus,2012,47
aus,2013,27
aus,2014,27
aus,2015,21
aus,2016,15
aus,2017,10
aus,2018,10
aus,2019,20
aus,2020,35
aut,1994,60
aut,1995,49
aut,1996,53
aut,1997,54
aut,1998,63
aut,1999,47
aut,2000,33
aut,2001,27
aut,2002,72
aut,2003,68
aut,2004,44
aut,2005,62
aut,2006,30
aut,2007,19
aut,2008,15
aut,2009,15
aut,2010,10
aut,2011,10
aut,2012,15
aut,2013,5
aut,2014,5
aut,2017,10
aut,2018,24
aut,2019,18
aut,2020,33
aze,1992,300000
aze,1993,328005
aze,1994,299092
aze,1995,200519
aze,1996,236086
aze,1997,234949
aze,1998,329655
aze,1999,311131
aze,2000,284278
aze,2001,268755
aze,2002,260217
aze,2003,253248
aze,2004,250584
aze,2005,233678
aze,2006,126068
aze,2007,15922
aze,2008,16321
aze,2009,16945
aze,2010,16756
aze,2011,16168
aze,2012,15541
aze,2013,10808
aze,2014,10508
aze,2015,9707
aze,2016,10118
aze,2017,10893
aze,2018,11246
aze,2019,11626
aze,2020,101531
bdi,1965,3000
bdi,1966,250
bdi,1972,129000
bdi,1973,131895
bdi,1974,120880
bdi,1975,141940
bdi,1976,152320
bdi,1977,153550
bdi,1978,148180
bdi,1979,151680
bdi,1980,169770
bdi,1981,182950
bdi,1982,176270
bdi,1983,176550
bdi,1984,182910
bdi,1985,199810
bdi,1986,210620
bdi,1987,186910
bdi,1988,190153
bdi,1989,191441
bdi,1990,191619
bdi,1991,223942
bdi,1992,184129
bdi,1993,871376
bdi,1994,389698
bdi,1995,350575
bdi,1996,428680
bdi,1997,519116
bdi,1998,502555
bdi,1999,527437
bdi,2000,568070
bdi,2001,553987
bdi,2002,574552
bdi,2003,531626
bdi,2004,485753
bdi,2005,438695
bdi,2006,396533
bdi,2007,375720
bdi,2008,281583
bdi,2009,94221
bdi,2010,84053
bdi,2011,101282
bdi,2012,73354
bdi,2013,72636
bdi,2014,72477
bdi,2015,292750
bdi,2016,408066
bdi,2017,439320
bdi,2018,387850
bdi,2019,380900
bdi,2020,373036
bel,1995,5
bel,1996,5
bel,1997,9
bel,1998,14
bel,1999,15
bel,2000,20
bel,2001,11
bel,2002,21
bel,2003,40
bel,2004,41
bel,2005,95
bel,2006,63
bel,2007,53
bel,2008,58
bel,2009,66
bel,2010,80
bel,2011,88
bel,2012,91
bel,2013,76
bel,2014,76
bel,2015,66
bel,2016,44
bel,2017,52
bel,2018,50
bel,2019,34
bel,2020,33
ben,1976,100
ben,1978,200
ben,1979,200
ben,1986,50
ben,1987,50
ben,1988,50
ben,1989,60
