geo,time,sm_pop_refg_or
ben,1993,62
ben,1994,72
ben,1995,50
ben,1996,42
ben,1997,41
ben,1998,45
ben,1999,44
ben,2000,47
ben,2001,52
ben,2002,228
ben,2003,274
ben,2004,299
ben,2005,402
ben,2006,207
ben,2007,265
ben,2008,315
ben,2009,409
ben,2010,438
ben,2011,460
ben,2012,451
ben,2013,294
ben,2014,330
ben,2015,400
ben,2016,479
ben,2017,572
ben,2018,659
ben,2019,721
ben,2020,666
bfa,1984,50
bfa,1985,90
bfa,1986,110
bfa,1987,50
bfa,1991,6
bfa,1992,61
bfa,1993,61
bfa,1994,69
bfa,1995,60
bfa,1996,64
bfa,1997,112
bfa,1998,100
bfa,1999,101
bfa,2000,124
bfa,2001,90
bfa,2002,970
bfa,2003,852
bfa,2004,575
bfa,2005,602
bfa,2006,373
bfa,2007,557
bfa,2008,719
bfa,2009,983
bfa,2010,1141
bfa,2011,1262
bfa,2012,1458
bfa,2013,1578
bfa,2014,1853
bfa,2015,2147
bfa,2016,2352
bfa,2017,2694
bfa,2018,11447
bfa,2019,11733
bfa,2020,15768
bgd,1988,5
bgd,1989,5
bgd,1990,477
bgd,1991,613
bgd,1992,53921
bgd,1993,57154
bgd,1994,56196
bgd,1995,56958
bgd,1996,57962
bgd,1997,44375
bgd,1998,4659
bgd,1999,4470
bgd,2000,5404
bgd,2001,5544
bgd,2002,5804
bgd,2003,5563
bgd,2004,5733
bgd,2005,7303
bgd,2006,7796
bgd,2007,10236
bgd,2008,10097
bgd,2009,10428
bgd,2010,10044
bgd,2011,10045
bgd,2012,10157
bgd,2013,9718
bgd,2014,10870
bgd,2015,12155
bgd,2016,13840
bgd,2017,16780
bgd,2018,21023
bgd,2019,22766
bgd,2020,18992
bgr,1969,90
bgr,1970,320
bgr,1971,340
bgr,1972,340
bgr,1973,340
bgr,1974,300
bgr,1975,300
bgr,1978,290
bgr,1980,329
bgr,1981,274
bgr,1982,257
bgr,1983,227
bgr,1984,183
bgr,1985,190
bgr,1986,160
bgr,1987,138
bgr,1988,898
bgr,1989,869
bgr,1990,1922
bgr,1991,2733
bgr,1992,2980
bgr,1993,3157
bgr,1994,4692
bgr,1995,4157
bgr,1996,3246
bgr,1997,3049
bgr,1998,3121
bgr,1999,2652
bgr,2000,2404
bgr,2001,2122
bgr,2002,2843
bgr,2003,2565
bgr,2004,2227
bgr,2005,4250
bgr,2006,3431
bgr,2007,3306
bgr,2008,3036
bgr,2009,2743
bgr,2010,2558
bgr,2011,2322
bgr,2012,2143
bgr,2013,1875
bgr,2014,1644
bgr,2015,1264
bgr,2016,799
bgr,2017,716
bgr,2018,620
bgr,2019,566
bgr,2020,525
bhr,1990,39
bhr,1991,52
bhr,1992,53
bhr,1993,59
bhr,1994,74
bhr,1995,70
bhr,1996,64
bhr,1997,82
bhr,1998,94
bhr,1999,124
bhr,2000,92
bhr,2001,46
bhr,2002,49
bhr,2003,50
bhr,2004,52
bhr,2005,40
bhr,2006,56
bhr,2007,65
bhr,2008,72
bhr,2009,72
bhr,2010,81
bhr,2011,213
bhr,2012,294
bhr,2013,274
bhr,2014,344
bhr,2015,422
bhr,2016,461
bhr,2017,497
bhr,2018,540
bhr,2019,557
bhr,2020,554
bhs,2006,12
bhs,2007,14
bhs,2008,11
bhs,2009,12
bhs,2010,17
bhs,2011,184
bhs,2012,195
bhs,2013,208
bhs,2014,216
bhs,2015,216
bhs,2016,298
bhs,2017,378
bhs,2018,421
bhs,2019,501
bhs,2020,544
bih,1992,437501
bih,1993,618428
bih,1994,776090
bih,1995,769753
bih,1996,993868
bih,1997,849240
bih,1998,640077
bih,1999,598193
bih,2000,504980
bih,2001,447326
bih,2002,406456
bih,2003,300012
bih,2004,228813
bih,2005,109931
bih,2006,199948
bih,2007,78267
bih,2008,74358
bih,2009,70006
bih,2010,62996
bih,2011,58572
bih,2012,51815
bih,2013,26787
bih,2014,21883
bih,2015,18763
bih,2016,18194
bih,2017,17690
bih,2018,16956
bih,2019,16556
bih,2020,15625
blr,1994,37
blr,1995,84
blr,1996,499
blr,1997,300
blr,1998,292
blr,1999,1505
blr,2000,2515
blr,2001,3691
blr,2002,6366
blr,2003,7817
blr,2004,8226
blr,2005,8849
blr,2006,9368
blr,2007,4961
blr,2008,5376
blr,2009,5518
blr,2010,5735
blr,2011,5916
blr,2012,6181
blr,2013,4387
blr,2014,4296
blr,2015,4117
blr,2016,3831
blr,2017,3650
blr,2018,3526
blr,2019,3425
blr,2020,3199
blz,1994,8
blz,1995,8
blz,1996,5
blz,1999,11
blz,2000,12
blz,2003,9
blz,2004,6
blz,2005,5
blz,2006,18
blz,2007,13
blz,2008,18
blz,2009,16
blz,2010,21
blz,2011,29
blz,2012,35
blz,2013,37
blz,2014,42
blz,2015,48
blz,2016,58
blz,2017,64
blz,2018,68
blz,2019,73
blz,2020,78
bol,1970,1400
bol,1971,2930
bol,1972,1730
bol,1974,1650
bol,1975,90
bol,1976,60
bol,1980,170
bol,1981,100
bol,1982,270
bol,1989,26
bol,1990,729
bol,1991,67
bol,1992,28
bol,1993,40
bol,1994,177
bol,1995,180
bol,1996,177
bol,1997,163
bol,1998,187
bol,1999,176
bol,2000,177
bol,2001,157
bol,2002,215
bol,2003,260
bol,2004,280
bol,2005,263
bol,2006,371
bol,2007,423
bol,2008,455
bol,2009,570
bol,2010,589
bol,2011,615
bol,2012,616
bol,2013,594
bol,2014,594
bol,2015,566
bol,2016,530
bol,2017,520
bol,2018,502
bol,2019,514
bol,2020,580
bra,1971,2000
bra,1972,2000
bra,1980,5
bra,1981,5
bra,1982,5
bra,1983,5
bra,1984,5
bra,1985,5
bra,1986,5
bra,1989,6
bra,1990,15
bra,1991,11
bra,1992,11
bra,1993,9
bra,1994,41
bra,1995,52
bra,1996,84
bra,1997,103
bra,1998,134
bra,1999,194
bra,2000,220
bra,2001,251
bra,2002,438
bra,2003,377
bra,2004,401
bra,2005,370
bra,2006,703
bra,2007,1623
bra,2008,1401
bra,2009,973
bra,2010,991
bra,2011,1040
bra,2012,1073
bra,2013,982
bra,2014,977
bra,2015,893
bra,2016,803
bra,2017,851
bra,2018,1038
bra,2019,1399
bra,2020,1588
brb,1994,5
brb,2000,5
brb,2001,6
brb,2002,6
brb,2003,8
brb,2004,10
brb,2005,8
brb,2006,28
brb,2007,39
brb,2008,33
brb,2009,28
brb,2010,29
brb,2011,42
brb,2012,50
brb,2013,63
brb,2014,82
brb,2015,95
brb,2016,144
brb,2017,172
brb,2018,211
brb,2019,243
brb,2020,245
brn,1995,5
brn,2005,47
brn,2020,20
btn,1991,9504
btn,1992,75442
btn,1993,85334
btn,1994,103270
btn,1995,104746
btn,1996,106820
btn,1997,108702
btn,1998,105690
btn,1999,107619
btn,2000,108943
btn,2001,110844
btn,2002,112524
btn,2003,103977
btn,2004,105259
btn,2005,106539
btn,2006,108069
btn,2007,110593
btn,2008,104960
btn,2009,89064
btn,2010,75062
btn,2011,57980
btn,2012,41582
btn,2013,31556
btn,2014,23633
btn,2015,17709
btn,2016,11757
btn,2017,7954
btn,2018,7100
btn,2019,6839
btn,2020,6808
bwa,1989,5
bwa,1990,5
bwa,1991,5
bwa,1992,5
bwa,1993,5
bwa,1994,22
bwa,1995,27
bwa,1996,22
bwa,1997,16
bwa,1998,16
bwa,1999,10
bwa,2000,5
bwa,2002,5
bwa,2003,5
bwa,2004,5
bwa,2006,15
bwa,2007,16
bwa,2008,29
bwa,2009,32
bwa,2010,56
bwa,2011,88
bwa,2012,125
bwa,2013,165
bwa,2014,234
bwa,2015,306
bwa,2016,265
bwa,2017,279
bwa,2018,289
bwa,2019,228
bwa,2020,206
caf,1982,15000
caf,1986,230
caf,1987,160
caf,1988,170
caf,1989,310
caf,1990,100
caf,1991,320
caf,1992,325
caf,1993,309
caf,1994,264
caf,1995,241
caf,1996,240
caf,1997,139
caf,1998,168
caf,1999,190
caf,2000,135
caf,2001,28698
caf,2002,25368
caf,2003,35394
caf,2004,31056
caf,2005,42875
caf,2006,71669
caf,2007,98092
caf,2008,125090
caf,2009,159542
caf,2010,164902
caf,2011,162861
caf,2012,164567
caf,2013,252854
caf,2014,412028
caf,2015,471093
caf,2016,490879
caf,2017,545513
caf,2018,590858
caf,2019,610152
caf,2020,642437
can,1991,5
can,1992,5
can,1993,5
can,1994,5
can,1995,5
can,1996,10
can,1997,12
can,1998,16
can,1999,19
can,2000,25
can,2001,5
can,2002,52
can,2003,61
can,2004,57
can,2005,120
can,2006,94
can,2007,530
can,2008,100
can,2009,97
can,2010,86
can,2011,108
can,2012,121
can,2013,94
can,2014,89
can,2015,73
can,2016,76
can,2017,75
can,2018,81
can,2019,71
can,2020,85
che,1994,8
che,1995,27
che,1996,32
che,1997,54
che,1998,76
che,1999,90
che,2000,69
che,2001,60
che,2002,55
che,2003,34
che,2004,11
che,2005,14
che,2006,38
che,2007,33
che,2008,32
che,2009,19
che,2010,20
che,2011,20
che,2012,16
che,2013,11
che,2014,16
che,2015,16
che,2016,5
che,2017,5
che,2018,5
che,2019,5
che,2020,5
chl,1974,13550
chl,1975,15350
chl,1976,2670
chl,1977,3000
chl,1978,3130
chl,1979,3130
chl,1980,1505
chl,1981,1885
chl,1982,2483
chl,1983,1794
chl,1984,1552
chl,1985,2181
chl,1986,2434
chl,1987,1906
chl,1988,608
chl,1989,1201
chl,1990,14547
chl,1991,14006
chl,1992,14042
chl,1993,15265
chl,1994,15475
chl,1995,14274
chl,1996,12801
chl,1997,9775
chl,1998,7005
chl,1999,1539
chl,2000,858
chl,2001,834
chl,2002,1705
chl,2003,1549
chl,2004,1183
chl,2005,929
chl,2006,798
chl,2007,964
chl,2008,988
chl,2009,1305
chl,2010,1163
chl,2011,1182
chl,2012,1145
chl,2013,588
chl,2014,571
chl,2015,554
chl,2016,495
chl,2017,493
chl,2018,479
chl,2019,486
chl,2020,694
chn,1964,1200000
chn,1965,1330000
chn,1966,1326810
chn,1967,74000
chn,1968,70000
chn,1969,65000
chn,1970,66000
chn,1971,70000
chn,1972,75000
chn,1980,24
chn,1981,24
chn,1982,104
chn,1983,24
chn,1984,24
chn,1985,124
chn,1986,154
chn,1987,24
chn,1988,265
chn,1989,413
chn,1990,1426
chn,1991,2011
chn,1992,82576
chn,1993,111507
chn,1994,113908
chn,1995,104691
chn,1996,105806
chn,1997,106731
chn,1998,109396
chn,1999,111950
chn,2000,110967
chn,2001,117403
chn,2002,132099
chn,2003,132390
chn,2004,134708
chn,2005,124086
chn,2006,140584
chn,2007,149087
chn,2008,175169
chn,2009,180546
chn,2010,184601
chn,2011,190369
chn,2012,193449
chn,2013,195121
chn,2014,210793
chn,2015,212911
chn,2016,207768
chn,2017,207716
chn,2018,212039
chn,2019,212863
chn,2020,175585
civ,1991,15
civ,1992,37
civ,1993,41
civ,1994,102
civ,1995,203
civ,1996,272
civ,1997,355
civ,1998,531
civ,1999,561
civ,2000,771
civ,2001,856
civ,2002,23731
civ,2003,33625
civ,2004,23649
civ,2005,18333
civ,2006,26304
civ,2007,22222
civ,2008,22218
civ,2009,23148
civ,2010,41747
civ,2011,154818
civ,2012,100709
civ,2013,85650
civ,2014,71956
civ,2015,71107
civ,2016,46811
civ,2017,40009
civ,2018,38316
civ,2019,39351
civ,2020,37601
cmr,1989,60
cmr,1990,100
cmr,1992,84
cmr,1993,170
cmr,1994,236
cmr,1995,2018
cmr,1996,2111
cmr,1997,2250
cmr,1998,1349
cmr,1999,1651
cmr,2000,2067
cmr,2001,2729
cmr,2002,5228
cmr,2003,6215
cmr,2004,7631
cmr,2005,9096
cmr,2006,10373
cmr,2007,11499
cmr,2008,13852
cmr,2009,14752
cmr,2010,14952
cmr,2011,15149
cmr,2012,13360
cmr,2013,11410
cmr,2014,10739
cmr,2015,10565
cmr,2016,10344
cmr,2017,11032
cmr,2018,45118
cmr,2019,66241
cmr,2020,78560
cod,1964,58700
cod,1965,47000
cod,1966,74800
cod,1967,78190
cod,1968,67330
cod,1969,54530
cod,1970,51650
cod,1971,43470
cod,1972,43920
cod,1973,43380
cod,1974,39820
cod,1975,39410
cod,1976,44070
cod,1977,264940
cod,1978,151560
cod,1979,70450
cod,1980,116750
cod,1981,118970
cod,1982,92455
cod,1983,101571
cod,1984,94512
cod,1985,86418
cod,1986,96619
cod,1987,69428
cod,1988,103537
cod,1989,100786
cod,1990,67423
cod,1991,65816
cod,1992,81269
cod,1993,74817
cod,1994,73279
cod,1995,89742
cod,1996,158794
cod,1997,173994
cod,1998,158828
cod,1999,255942
cod,2000,371705
cod,2001,392142
cod,2002,421355
cod,2003,453465
cod,2004,462186
cod,2005,430919
cod,2006,401908
cod,2007,370372
cod,2008,367991
cod,2009,455852
cod,2010,476691
cod,2011,491470
cod,2012,509275
cod,2013,499551
cod,2014,516765
cod,2015,541487
cod,2016,537474
cod,2017,620805
cod,2018,720302
cod,2019,802974
cod,2020,840449
cog,1967,930
cog,1968,330
cog,1975,110
cog,1980,6
cog,1981,6
cog,1982,6
cog,1983,6
cog,1984,6
cog,1985,6
cog,1986,6
cog,1991,5
cog,1992,7
cog,1993,7
cog,1994,33
cog,1995,172
cog,1996,214
cog,1997,21143
cog,1998,17141
cog,1999,27297
cog,2000,27570
cog,2001,24237
cog,2002,27994
cog,2003,28950
cog,2004,28140
cog,2005,24428
cog,2006,20599
cog,2007,19726
cog,2008,19922
cog,2009,20546
cog,2010,20682
cog,2011,12836
cog,2012,12113
cog,2013,11744
cog,2014,14498
cog,2015,14772
cog,2016,13291
cog,2017,13295
cog,2018,13354
cog,2019,12743
cog,2020,12635
col,1981,50
col,1982,100
col,1985,60
col,1986,50
col,1987,50
col,1988,35
col,1989,65
col,1990,493
col,1991,738
col,1992,841
col,1993,1040
col,1994,1361
col,1995,1902
col,1996,2168
col,1997,2376
col,1998,3536
col,1999,4412
col,2000,9278
col,2001,17937
col,2002,30624
col,2003,37992
col,2004,47380
col,2005,60447
col,2006,72793
col,2007,551741
col,2008,373532
col,2009,389753
col,2010,395579
col,2011,395950
col,2012,394112
col,2013,396711
col,2014,360291
col,2015,340116
col,2016,311059
col,2017,191635
col,2018,138583
col,2019,189254
col,2020,189889
com,1989,5
com,1990,5
com,1994,5
com,1995,10
com,1996,10
com,1997,5
com,1998,27
com,1999,27
com,2000,25
com,2001,25
com,2002,40
com,2003,62
com,2004,52
com,2005,64
com,2006,78
com,2007,93
com,2008,376
com,2009,268
com,2010,365
com,2011,420
com,2012,449
com,2013,509
com,2014,580
com,2015,550
com,2016,572
com,2017,600
com,2018,624
com,2019,658
com,2020,793
cpv,1966,300
cpv,1967,300
cpv,1968,430
cpv,1969,400
cpv,1970,400
cpv,2001,5
cpv,2002,5
cpv,2003,7
cpv,2004,5
cpv,2006,34
cpv,2007,28
cpv,2008,27
cpv,2009,22
cpv,2010,22
cpv,2011,22
cpv,2012,22
cpv,2013,22
cpv,2014,27
cpv,2015,27
cpv,2016,10
cpv,2017,5
cpv,2018,10
cpv,2019,10
cpv,2020,25
cri,1992,5
cri,1993,5
cri,1994,222
cri,1995,209
cri,1996,136
cri,1997,86
cri,1998,50
cri,1999,73
cri,2000,55
cri,2001,86
cri,2002,97
cri,2003,91
cri,2004,136
cri,2005,176
cri,2006,283
cri,2007,361
cri,2008,354
cri,2009,344
cri,2010,352
cri,2011,332
cri,2012,325
cri,2013,463
cri,2014,414
cri,2015,374
cri,2016,202
cri,2017,195
cri,2018,207
cri,2019,206
cri,2020,233
cub,1969,14500
cub,1970,16700
cub,1971,54500
cub,1972,17070
cub,1974,1600
cub,1979,3560
cub,1980,1695
cub,1981,2705
cub,1982,655
cub,1983,925
cub,1984,1356
cub,1985,1876
cub,1986,686
cub,1987,836
cub,1988,3874
cub,1989,7680
cub,1990,13520
cub,1991,17614
cub,1992,21273
cub,1993,22409
cub,1994,23320
cub,1995,24857
cub,1996,25462
cub,1997,24911
cub,1998,23559
cub,1999,23322
cub,2000,20077
cub,2001,18950
cub,2002,18035
cub,2003,16084
cub,2004,15671
cub,2005,19003
cub,2006,33580
cub,2007,7496
cub,2008,7928
cub,2009,7537
cub,2010,7460
cub,2011,7845
cub,2012,7722
cub,2013,7453
cub,2014,7497
cub,2015,6827
cub,2016,5940
cub,2017,5331
cub,2018,5488
cub,2019,6625
cub,2020,8980
cym,2013,6
cym,2014,6
cym,2015,6
cym,2016,6
cym,2017,6
cym,2018,6
cym,2019,6
cym,2020,15
cyp,1977,700
cyp,1988,11
cyp,1989,11
cyp,1990,11
cyp,1994,6
cyp,1995,9
cyp,1996,9
cyp,1997,7
cyp,1998,10
cyp,1999,17
cyp,2000,12
cyp,2001,5
cyp,2002,5
cyp,2003,5
cyp,2005,5
cyp,2006,5
cyp,2007,10
cyp,2008,15
cyp,2009,15
cyp,2010,15
cyp,2011,10
cyp,2012,10
cyp,2013,10
cyp,2014,10
cyp,2018,7
cyp,2020,15
cze,1970,70
cze,1971,70
cze,1972,70
cze,1973,60
cze,1974,50
cze,1975,50
cze,1980,393
cze,1981,389
cze,1982,494
cze,1983,421
cze,1984,456
cze,1985,981
cze,1986,411
cze,1987,385
cze,1988,5649
cze,1989,5790
cze,1990,6123
cze,1991,4491
cze,1992,3327
cze,1993,5017
cze,1994,4650
cze,1995,2040
cze,1996,977
cze,1997,695
cze,1998,1929
cze,1999,1243
cze,2000,809
cze,2001,1177
cze,2002,6985
cze,2003,6699
cze,2004,4528
cze,2005,3589
cze,2006,2136
cze,2007,1379
cze,2008,1354
cze,2009,1060
cze,2010,811
cze,2011,758
cze,2012,620
cze,2013,984
cze,2014,1321
cze,2015,1280
cze,2016,1266
cze,2017,1272
cze,2018,1236
cze,2019,1166
cze,2020,1127
deu,1991,5
deu,1992,5
deu,1993,8
deu,1994,449
deu,1995,384
deu,1996,421
deu,1997,443
deu,1998,689
deu,1999,1297
deu,2000,1182
deu,2001,1028
deu,2002,924
deu,2003,719
deu,2004,74
deu,2005,75
deu,2006,114
deu,2007,126
deu,2008,162
deu,2009,167
deu,2010,159
deu,2011,169
deu,2012,174
deu,2013,164
deu,2014,170
deu,2015,153
deu,2016,67
deu,2017,66
deu,2018,61
deu,2019,69
deu,2020,76
dji,1990,5
dji,1991,10
dji,1992,10
dji,1993,36
dji,1994,18065
dji,1995,18092
dji,1996,18096
dji,1997,8143
dji,1998,3222
dji,1999,1879
dji,2000,1911
dji,2001,451
dji,2002,470
dji,2003,520
dji,2004,492
dji,2005,498
dji,2006,479
dji,2007,645
dji,2008,638
dji,2009,613
dji,2010,556
dji,2011,595
dji,2012,626
dji,2013,747
dji,2014,870
dji,2015,1059
dji,2016,1437
dji,2017,1761
dji,2018,2124
dji,2019,2351
dji,2020,2444
dma,2001,5
dma,2002,6
dma,2003,17
dma,2004,24
dma,2005,30
dma,2006,49
dma,2007,58
dma,2008,56
dma,2009,51
dma,2010,51
dma,2011,49
dma,2012,52
dma,2013,41
dma,2014,35
dma,2015,35
dma,2016,20
dma,2017,26
dma,2018,36
dma,2019,50
dma,2020,60
dnk,1994,11
dnk,1995,18
dnk,1996,34
dnk,1997,33
dnk,1998,28
dnk,1999,25
dnk,2000,26
dnk,2001,5
dnk,2002,6
dnk,2003,10
dnk,2004,10
dnk,2005,10
dnk,2006,10
dnk,2007,15
dnk,2008,10
dnk,2009,10
dnk,2010,6
dnk,2011,6
dnk,2012,6
dnk,2013,6
dnk,2014,11
dnk,2015,11
dnk,2019,5
dnk,2020,10
dom,1978,50
dom,1994,30
dom,1995,30
dom,1996,29
dom,1997,50
dom,1998,42
dom,1999,45
dom,2000,48
dom,2001,45
dom,2002,82
dom,2003,89
dom,2004,93
dom,2005,62
dom,2006,141
dom,2007,352
dom,2008,313
dom,2009,222
dom,2010,238
dom,2011,239
dom,2012,280
dom,2013,298
dom,2014,348
dom,2015,382
dom,2016,359
