global,time,en_atm_ghgt_kt_ce
world,1990,29848570
world,1991,30009210
world,1992,29879100
world,1993,29970470
world,1994,30152090
world,1995,30839910
world,1996,31379670
world,1997,31691800
world,1998,31860170
world,1999,32018180
world,2000,32781530
world,2001,33235280
world,2002,33702380
world,2003,34882860
world,2004,36252860
world,2005,37346260
world,2006,38444310
world,2007,39738280
world,2008,40139260
world,2009,39846770
world,2010,41817500
world,2011,43022060
world,2012,43582450
world,2013,44233530
world,2014,44438190
world,2015,44423270
world,2016,44550150
world,2017,45117640
world,2018,45873850
