global,time,sg_law_indx
world,1970,45.63487
world,1971,45.70066
world,1972,46.25987
world,1973,47.19408
world,1974,47.71053
world,1975,48.08882
world,1976,48.46711
world,1977,48.93421
world,1978,49.49671
world,1979,49.77961
world,1980,50.05921
world,1981,50.55921
world,1982,50.88158
world,1983,51.36513
world,1984,51.65461
world,1985,52.00329
world,1986,52.37171
world,1987,52.53289
world,1988,53.17434
world,1989,53.46053
world,1990,54.16776
world,1991,54.5625
world,1992,55.08882
world,1993,55.65461
world,1994,56.40461
world,1995,57.13487
world,1996,58.02961
world,1997,58.72697
world,1998,59.29605
world,1999,60.00987
world,2000,60.8125
world,2001,61.14145
world,2002,62.13487
world,2003,62.94408
world,2004,63.94079
world,2005,65.03947
world,2006,65.89145
world,2007,66.875
world,2008,68.00658
world,2009,68.95724
world,2010,69.55921
world,2011,70.06579
world,2012,70.71382
world,2013,71.46711
world,2014,71.99342
world,2015,72.54276
world,2016,73.24013
world,2017,73.76316
world,2018,74.44079
world,2019,75.30921
world,2020,75.98026
world,2021,76.54605
