geo,time,en_atm_co2e_gf_kt
are,2005,78290.45
are,2006,82628.511
are,2007,91370.639
are,2008,107890.474
are,2009,113563.323
are,2010,116962.632
are,2011,130277.509
are,2012,132716.064
are,2013,136522.41
are,2014,133453.131
are,2015,134267.205
are,2016,135022.607
arg,1960,2365.215
arg,1961,4033.7
arg,1962,5111.798
arg,1963,5834.197
arg,1964,6472.255
arg,1965,7253.326
arg,1966,7854.714
arg,1967,8214.08
arg,1968,9149.165
arg,1969,9112.495
arg,1970,10289.602
arg,1971,11030.336
arg,1972,12478.801
arg,1973,14198.624
arg,1974,14935.691
arg,1975,15735.097
arg,1976,16479.498
arg,1977,16919.538
arg,1978,16439.161
arg,1979,18030.639
arg,1980,19581.78
arg,1981,20502.197
arg,1982,23267.115
arg,1983,26285.056
arg,1984,27322.817
arg,1985,28833.621
arg,1986,30989.817
arg,1987,36728.672
arg,1988,42265.842
arg,1989,44645.725
arg,1990,43248.598
arg,1991,47322.635
arg,1992,48342.061
arg,1993,40839.379
arg,1994,42713.216
arg,1995,53237.506
arg,1996,57590.235
arg,1997,61554.262
arg,1998,61664.272
arg,1999,67674.485
arg,2000,69493.317
arg,2001,64861.896
arg,2002,62669.03
arg,2003,69126.617
arg,2004,82980.543
arg,2005,82034.457
arg,2006,83937.63
arg,2007,87248.931
arg,2008,90193.532
arg,2009,88066.672
arg,2010,86999.575
arg,2011,92661.423
arg,2012,95459.344
arg,2013,90835.257
arg,2014,96691.456
arg,2015,98359.941
arg,2016,102268.963
arm,1992,3479.983
arm,1993,1507.137
arm,1994,1617.147
arm,1995,2618.238
arm,1996,2042.519
arm,1997,2680.577
arm,1998,2794.254
arm,1999,2277.207
arm,2000,2566.9
arm,2001,2614.571
arm,2002,2005.849
arm,2003,2229.536
arm,2004,2475.225
arm,2005,3065.612
arm,2006,3142.619
arm,2007,3762.342
arm,2008,4125.375
arm,2009,3171.955
arm,2010,2955.602
arm,2011,3758.675
arm,2012,4569.082
arm,2013,4422.402
arm,2014,4459.072
arm,2015,3773.343
arm,2016,4191.381
atg,1960,0
atg,1961,0
atg,1962,0
atg,1963,0
atg,1964,0
atg,1965,0
atg,1966,0
atg,1967,0
atg,1968,0
atg,1969,0
atg,1970,0
atg,1971,0
atg,1972,0
atg,1973,0
atg,1974,0
atg,1975,0
atg,1976,0
atg,1977,0
