geo,time,se_sec_ages
abw,1970,12
abw,1971,12
abw,1972,12
abw,1973,12
abw,1974,12
abw,1975,12
abw,1976,12
abw,1977,12
abw,1978,12
abw,1979,12
abw,1980,12
abw,1981,12
abw,1982,12
abw,1983,12
abw,1984,12
abw,1985,12
abw,1986,12
abw,1987,12
abw,1988,12
abw,1989,12
abw,1990,12
abw,1991,12
abw,1992,12
abw,1993,12
abw,1994,12
abw,1995,12
abw,1996,12
abw,1997,12
abw,1998,12
abw,1999,12
abw,2000,12
abw,2001,12
abw,2002,12
abw,2003,12
abw,2004,12
abw,2005,12
abw,2006,12
abw,2007,12
abw,2008,12
abw,2009,12
abw,2010,12
abw,2011,12
abw,2012,12
abw,2013,12
abw,2014,12
abw,2015,12
abw,2016,12
abw,2017,12
abw,2018,12
abw,2019,12
abw,2020,12
abw,2021,12
afg,1970,13
afg,1971,13
afg,1972,13
afg,1973,13
afg,1974,13
afg,1975,13
afg,1976,13
afg,1977,13
afg,1978,13
afg,1979,13
afg,1980,13
afg,1981,13
afg,1982,13
afg,1983,13
afg,1984,13
afg,1985,13
afg,1986,13
afg,1987,13
afg,1988,13
afg,1989,13
afg,1990,13
afg,1991,13
afg,1992,13
afg,1993,13
afg,1994,13
afg,1995,13
afg,1996,13
afg,1997,13
afg,1998,13
afg,1999,13
afg,2000,13
afg,2001,13
afg,2002,13
afg,2003,13
afg,2004,13
afg,2005,13
afg,2006,13
afg,2007,13
afg,2008,13
afg,2009,13
afg,2010,13
afg,2011,13
afg,2012,13
afg,2013,13
afg,2014,13
afg,2015,13
afg,2016,13
afg,2017,13
afg,2018,13
afg,2019,13
afg,2020,13
afg,2021,13
ago,1970,10
ago,1971,10
ago,1972,10
ago,1973,10
ago,1974,10
ago,1975,10
ago,1976,10
ago,1977,10
ago,1978,10
ago,1979,10
ago,1980,10
ago,1981,10
ago,1982,10
ago,1983,10
ago,1984,10
ago,1985,10
ago,1986,10
ago,1987,10
ago,1988,10
ago,1989,10
ago,1990,10
ago,1991,10
ago,1992,10
ago,1993,10
ago,1994,10
ago,1995,10
ago,1996,10
ago,1997,10
ago,1998,10
ago,1999,10
ago,2000,10
ago,2001,10
ago,2002,10
ago,2003,10
ago,2004,10
ago,2005,10
ago,2006,10
ago,2007,12
ago,2008,12
ago,2009,12
ago,2010,12
ago,2011,12
ago,2012,12
ago,2013,12
ago,2014,12
ago,2015,12
ago,2016,12
ago,2017,12
ago,2018,12
ago,2019,12
ago,2020,12
ago,2021,12
alb,1970,10
alb,1971,10
alb,1972,10
alb,1973,10
alb,1974,10
alb,1975,10
alb,1976,10
alb,1977,10
alb,1978,10
alb,1979,10
alb,1980,10
alb,1981,10
alb,1982,10
alb,1983,10
alb,1984,10
alb,1985,10
alb,1986,10
alb,1987,10
alb,1988,10
alb,1989,10
alb,1990,10
alb,1991,10
alb,1992,10
alb,1993,10
alb,1994,10
alb,1995,10
alb,1996,10
alb,1997,10
alb,1998,10
alb,1999,10
alb,2000,10
alb,2001,10
alb,2002,10
alb,2003,10
alb,2004,10
alb,2005,10
alb,2006,10
alb,2007,10
alb,2008,10
alb,2009,11
alb,2010,11
alb,2011,11
alb,2012,11
alb,2013,11
alb,2014,11
alb,2015,11
alb,2016,11
alb,2017,11
alb,2018,11
alb,2019,11
alb,2020,11
alb,2021,11
and,1970,11
and,1971,11
and,1972,11
and,1973,11
and,1974,11
and,1975,11
and,1976,11
and,1977,11
and,1978,11
and,1979,11
and,1980,11
and,1981,11
and,1982,11
and,1983,11
and,1984,11
and,1985,11
and,1986,11
and,1987,11
and,1988,11
and,1989,11
and,1990,11
and,1991,11
and,1992,11
and,1993,11
and,1994,11
and,1995,11
and,1996,11
and,1997,11
and,1998,12
and,1999,12
and,2000,12
and,2001,12
and,2002,12
and,2003,12
and,2004,12
and,2005,12
and,2006,12
and,2007,12
and,2008,12
and,2009,12
and,2010,12
and,2011,12
and,2012,12
and,2013,12
and,2014,12
and,2015,12
and,2016,12
and,2017,12
and,2018,12
and,2019,12
and,2020,12
and,2021,12
are,1970,12
are,1971,12
are,1972,12
are,1973,12
are,1974,12
are,1975,12
are,1976,12
are,1977,12
are,1978,12
are,1979,12
are,1980,12
are,1981,12
are,1982,12
are,1983,12
are,1984,12
are,1985,12
are,1986,12
are,1987,12
are,1988,12
are,1989,12
are,1990,12
are,1991,12
are,1992,12
are,1993,12
are,1994,12
are,1995,12
are,1996,12
are,1997,12
are,1998,12
are,1999,12
are,2000,12
are,2001,12
are,2002,12
are,2003,11
are,2004,11
are,2005,11
are,2006,11
are,2007,11
are,2008,11
are,2009,11
are,2010,11
are,2011,11
are,2012,11
are,2013,11
are,2014,11
are,2015,11
are,2016,11
are,2017,11
are,2018,11
are,2019,11
are,2020,10
arg,1970,13
arg,1971,13
arg,1972,13
arg,1973,13
arg,1974,13
arg,1975,13
arg,1976,13
arg,1977,13
arg,1978,13
arg,1979,13
arg,1980,13
arg,1981,13
arg,1982,13
arg,1983,13
arg,1984,13
arg,1985,13
arg,1986,13
arg,1987,13
arg,1988,13
arg,1989,13
arg,1990,13
arg,1991,13
arg,1992,13
arg,1993,13
arg,1994,13
arg,1995,13
arg,1996,13
arg,1997,13
arg,1998,12
arg,1999,12
arg,2000,12
arg,2001,12
arg,2002,12
arg,2003,12
arg,2004,12
arg,2005,12
arg,2006,12
arg,2007,12
arg,2008,12
arg,2009,12
arg,2010,12
arg,2011,12
arg,2012,12
arg,2013,12
arg,2014,12
arg,2015,12
arg,2016,12
arg,2017,12
arg,2018,12
arg,2019,12
arg,2020,12
arg,2021,12
arm,1970,10
arm,1971,10
arm,1972,10
arm,1973,10
arm,1974,10
arm,1975,10
arm,1976,10
arm,1977,10
arm,1978,10
arm,1979,10
arm,1980,10
arm,1981,10
arm,1982,10
arm,1983,10
arm,1984,10
arm,1985,10
arm,1986,10
arm,1987,10
arm,1988,10
arm,1989,10
arm,1990,10
arm,1991,10
arm,1992,10
arm,1993,10
arm,1994,11
arm,1995,11
arm,1996,11
arm,1997,11
arm,1998,10
arm,1999,10
arm,2000,10
arm,2001,10
arm,2002,10
arm,2003,10
arm,2004,10
arm,2005,10
arm,2006,10
arm,2007,10
arm,2008,10
arm,2009,10
arm,2010,10
arm,2011,10
arm,2012,10
arm,2013,10
arm,2014,10
arm,2015,10
arm,2016,10
arm,2017,10
arm,2018,10
arm,2019,10
arm,2020,10
arm,2021,10
asm,1989,14
asm,1990,14
asm,1991,14
asm,1992,14
asm,1993,14
asm,1994,14
asm,1995,14
asm,1996,14
asm,1997,14
asm,1998,12
asm,1999,12
asm,2017,12
asm,2018,12
asm,2019,12
asm,2020,12
asm,2021,12
atg,1970,12
atg,1971,12
atg,1972,12
atg,1973,12
atg,1974,12
atg,1975,12
atg,1976,12
atg,1977,12
atg,1978,12
atg,1979,12
atg,1980,12
atg,1981,12
atg,1982,12
atg,1983,12
atg,1984,12
atg,1985,12
atg,1986,12
atg,1987,12
atg,1988,12
atg,1989,12
atg,1990,12
atg,1991,12
atg,1992,12
atg,1993,12
atg,1994,12
atg,1995,12
atg,1996,12
atg,1997,12
atg,1998,12
atg,1999,12
atg,2000,12
atg,2001,12
atg,2002,12
atg,2003,12
atg,2004,12
atg,2005,12
atg,2006,12
atg,2007,12
atg,2008,12
atg,2009,12
atg,2010,12
atg,2011,12
atg,2012,12
atg,2013,12
atg,2014,12
atg,2015,12
atg,2016,12
atg,2017,12
atg,2018,12
atg,2019,12
atg,2020,12
atg,2021,12
aus,1970,12
aus,1971,12
aus,1972,12
aus,1973,12
aus,1974,12
aus,1975,12
aus,1976,12
aus,1977,12
aus,1978,12
aus,1979,12
aus,1980,12
aus,1981,12
aus,1982,12
aus,1983,12
aus,1984,12
aus,1985,12
aus,1986,12
aus,1987,12
aus,1988,12
aus,1989,12
aus,1990,12
aus,1991,12
aus,1992,12
aus,1993,12
aus,1994,12
aus,1995,12
aus,1996,12
aus,1997,12
aus,1998,12
aus,1999,12
aus,2000,12
aus,2001,12
aus,2002,12
aus,2003,12
aus,2004,12
aus,2005,12
aus,2006,12
aus,2007,12
aus,2008,12
aus,2009,12
aus,2010,12
aus,2011,12
aus,2012,12
aus,2013,12
aus,2014,12
aus,2015,12
aus,2016,12
aus,2017,12
aus,2018,12
aus,2019,12
aus,2020,12
aus,2021,12
aut,1970,10
aut,1971,10
aut,1972,10
aut,1973,10
aut,1974,10
aut,1975,10
