geo,time,gc_tax_impt_zs
afg,2006,47.58045
afg,2007,51.26926
afg,2008,45.68095
afg,2009,41.99491
afg,2010,41.57298
afg,2011,40.11779
afg,2012,36.4174
afg,2013,34.81927
afg,2014,31.767
afg,2015,32.55107
afg,2016,26.3722
afg,2017,35.20314
ago,1999,5.02677
ago,2000,2.74364
ago,2001,4.45023
ago,2002,7.49165
ago,2003,7.50658
ago,2004,6.97167
ago,2005,6.0143
ago,2006,4.43477
ago,2007,5.50334
ago,2008,6.12026
ago,2009,10.38054
ago,2010,7.97281
ago,2011,6.26489
ago,2012,6.14353
ago,2013,6.64708
ago,2014,9.38444
ago,2015,8.49998
ago,2016,5.55031
ago,2017,6.43597
ago,2018,5.83809
ago,2019,5.52939
alb,1995,20.93679
alb,1996,27.02157
alb,1997,29.14204
alb,1998,23.47737
alb,2002,13.30208
alb,2003,11.88688
alb,2004,10.46757
alb,2011,4.12421
alb,2012,4.78078
alb,2013,4.44612
alb,2014,3.51517
alb,2015,3.53797
alb,2016,2.3692
alb,2017,2.21646
alb,2018,2.0481
alb,2019,2.11151
are,1997,0
are,1998,0
are,1999,0
are,2011,0.12684
are,2012,0.09676
are,2013,0.0946
are,2014,0.07546
are,2015,0.63473
are,2016,0.79196
are,2017,0.38175
are,2018,0.16688
are,2019,0.01097
arg,1990,4.97481
arg,1991,6.61383
arg,1992,11.52644
arg,1993,8.49696
arg,1994,8.06665
arg,1995,7.67991
arg,1996,8.67016
arg,1997,10.33529
arg,1998,9.6201
arg,1999,8.29599
arg,2000,6.9512
arg,2001,5.99065
arg,2002,4.05674
arg,2003,4.7013
arg,2004,4.93619
arg,2005,4.91452
arg,2006,5.39585
arg,2007,6.08041
arg,2008,5.73046
arg,2009,4.84289
arg,2010,5.19857
arg,2011,5.15497
arg,2012,4.71988
arg,2013,5.48499
arg,2014,5.05369
arg,2015,4.68968
arg,2016,5.50071
arg,2017,5.79446
arg,2018,6.91
arg,2019,6.80556
arm,2004,4.26518
arm,2005,4.79279
arm,2006,4.47201
arm,2007,4.77617
arm,2008,6.03319
arm,2009,4.84254
arm,2010,4.97186
arm,2011,5.57834
arm,2012,5.76733
arm,2013,4.71026
arm,2014,4.64043
arm,2015,5.82436
arm,2016,5.1411
arm,2017,6.27539
arm,2018,6.38942
arm,2019,6.52499
aus,1972,5.90086
aus,1973,6.06204
aus,1974,5.54128
aus,1975,5.93843
aus,1976,5.50827
aus,1977,5.83144
aus,1978,5.28034
aus,1979,5.80568
aus,1980,5.59721
aus,1981,5.50153
aus,1982,5.42662
aus,1983,4.95004
aus,1984,5.18685
aus,1985,5.52566
aus,1986,5.57784
aus,1987,4.86994
aus,1988,4.83796
aus,1989,4.49918
aus,1990,4.35697
aus,1991,3.57894
aus,1992,3.77611
aus,1993,3.75286
aus,1994,3.45548
aus,1995,3.31113
aus,1996,2.70013
aus,1997,2.64056
aus,1998,2.77674
aus,1999,2.5908
aus,2000,2.48992
aus,2001,2.61935
aus,2002,2.92709
aus,2003,2.85568
aus,2004,2.68209
aus,2005,2.42177
aus,2006,2.03579
aus,2007,2.15589
aus,2008,2.12564
aus,2009,2.25933
aus,2010,2.15201
aus,2011,2.0216
aus,2012,2.24386
aus,2013,2.42245
aus,2014,2.64976
aus,2015,3.06396
aus,2016,3.80392
aus,2017,3.65351
aus,2018,3.67199
aus,2019,3.49932
aut,1972,8.06841
aut,1973,7.08444
aut,1974,6.26395
aut,1975,5.02149
aut,1976,4.24234
aut,1977,3.56071
aut,1978,2.42317
aut,1979,2.33433
aut,1980,2.4692
aut,1981,2.281
aut,1982,2.31044
aut,1983,2.41428
aut,1984,2.40338
aut,1985,2.46633
aut,1986,2.49871
aut,1987,2.68891
aut,1988,2.82386
aut,1989,2.92758
aut,1990,2.73558
aut,1991,2.74794
aut,1992,2.61095
aut,1993,2.44926
aut,1994,2.3915
aut,1995,0.21507
aut,1996,-0.00074
aut,1997,0.00107
aut,1998,0.00129
aut,1999,0.0126
aut,2000,-0.00864
aut,2001,-0.0095
aut,2002,-0.0024
aut,2003,-0.0021
aut,2004,0.00618
aut,2005,0.00221
aut,2006,0.0001
aut,2007,-0.01062
aut,2008,-0.02696
aut,2009,0.0001
aut,2010,0.00012
aut,2011,0.0001
aut,2012,0.00008
aut,2013,0
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aze,1994,8.35333
aze,1995,8.55574
aze,1996,19.64531
aze,1997,8.9326
aze,1998,12.83682
aze,1999,11.77448
aze,2008,3.6034
aze,2009,4.08785
aze,2010,4.2167
aze,2011,3.62971
aze,2012,3.28068
aze,2013,3.81919
aze,2014,4.35415
aze,2015,4.55038
aze,2016,6.80371
aze,2017,7.57185
aze,2018,8.43589
aze,2019,9.47212
bdi,1973,25.51587
bdi,1974,31.38133
bdi,1975,33.03815
bdi,1976,20.71867
bdi,1977,22.77928
bdi,1978,23.09283
bdi,1979,29.05501
bdi,1980,29.70739
bdi,1981,26.00494
bdi,1991,24.98831
bdi,1992,20.87815
bdi,1993,20.33624
bdi,1994,15.57346
bdi,1995,18.54198
bdi,1996,18.9151
bdi,1997,16.6722
bdi,1998,18.67935
bdi,1999,17.79911
bel,1995,0
bel,1996,0
bel,1997,0
bel,1998,0
bel,1999,0
bel,2000,0
bel,2001,0
bel,2002,0
bel,2003,0
bel,2004,0
bel,2005,0
bel,2006,0
bel,2007,0
bel,2008,0
bel,2009,0
bel,2010,0
bel,2011,0
bel,2012,0
bel,2013,0
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
ben,1976,50.70442
ben,1977,54.94666
ben,1978,54.6484
ben,1979,62.0202
bfa,2002,15.77179
bfa,2003,15.67251
bfa,2004,15.72156
bfa,2005,17.28679
bfa,2006,17.52256
bfa,2007,17.31993
bfa,2008,18.3131
bfa,2009,18.00016
bfa,2010,17.01921
bfa,2011,16.01834
bfa,2012,16.5745
bfa,2013,16.9017
bfa,2014,15.19651
bfa,2015,15.28321
bfa,2016,14.70287
bfa,2017,15.66372
bfa,2018,14.56072
bfa,2019,13.01742
bgd,2001,43.23629
bgd,2002,42.50869
bgd,2003,34.87448
bgd,2004,41.86676
bgd,2005,42.51161
bgd,2006,39.92947
bgd,2007,35.63324
bgd,2008,34.33487
bgd,2009,32.11607
bgd,2010,31.47023
bgd,2011,30.33352
bgd,2012,29.74085
bgd,2013,26.89794
bgd,2014,26.76238
bgd,2015,27.92571
bgd,2016,28.92301
bgr,1990,3.59586
bgr,1991,3.41835
