global,time,en_atm_meth_ag_kt_ce
world,1990,3152440
world,1991,3153420
world,1992,3138050
world,1993,3123140
world,1994,3146930
world,1995,3164170
world,1996,3156360
world,1997,3112010
world,1998,3134140
world,1999,3165900
world,2000,3170820
world,2001,3169360
world,2002,3190660
world,2003,3189450
world,2004,3243990
world,2005,3272710
world,2006,3301930
world,2007,3335870
world,2008,3352150
world,2009,3346350
world,2010,3367470
world,2011,3421190
world,2012,3439240
world,2013,3405660
world,2014,3427420
world,2015,3442060
world,2016,3465770
world,2017,3505600
world,2018,3513570
