geo,time,se_xpd_prim_zs
abw,1998,23.06721
abw,1999,26.9492
abw,2000,28.2486
abw,2001,26.13369
abw,2002,28.99817
abw,2004,26.70415
abw,2005,26.73218
abw,2012,24.32748
abw,2013,24.23744
abw,2014,26.21662
abw,2015,23.84105
abw,2016,27.52589
afg,1971,26.53717
afg,1975,36.81436
afg,1979,43.59369
afg,1980,47.29202
afg,1981,42.30996
afg,1982,42.82383
afg,1983,44.01152
afg,2010,62.13647
afg,2011,61.97491
afg,2012,59.11301
afg,2013,60.00801
afg,2014,59.1065
afg,2015,56.69549
afg,2016,43.30205
afg,2017,44.1906
ago,2005,36.49876
ago,2006,31.43351
alb,1994,54.80033
alb,2015,56.76693
alb,2017,57.60767
and,2002,27.13887
and,2004,29.27523
and,2005,24.13593
and,2006,23.76173
and,2007,25.64062
and,2009,26.37233
and,2010,28.89524
and,2011,28.80875
and,2013,32.14382
and,2014,22.28986
and,2015,22.07571
and,2016,21.50379
and,2017,22.04794
and,2018,21.42039
arg,1970,28
arg,1972,27.69517
arg,1973,31.71021
arg,1974,32.3764
arg,1975,25.97148
arg,1976,25.0985
arg,1977,40.324
arg,1978,40.54391
arg,1979,41.44551
arg,1980,40.55377
arg,1982,42.27821
arg,1983,39.95483
arg,1984,39.06241
arg,1985,5.1061
arg,1986,5.04961
arg,1987,4.7429
arg,1989,2.96848
arg,1990,3.26374
arg,1996,38.74074
arg,1998,35.07048
arg,1999,36.34503
arg,2000,35.69129
arg,2001,37.91883
arg,2002,35.4339
arg,2003,38.0148
arg,2004,36.69546
arg,2005,34.19573
arg,2006,35.04241
arg,2007,35.47537
arg,2008,35.11319
arg,2009,32.80265
arg,2010,33.05494
arg,2011,31.96866
arg,2012,31.79885
arg,2013,30.03234
arg,2014,30.06039
arg,2015,30.04134
arg,2016,30.07402
arg,2017,29.59458
arm,2012,18.67795
arm,2013,20.11078
arm,2015,19.3593
arm,2016,20.66574
arm,2017,19.37351
asm,1974,85.06311
asm,1975,90.17017
asm,1976,70.5559
atg,1999,33.10893
atg,2002,28.55169
atg,2009,41.61324
aus,1993,29.32973
aus,1994,31.1816
aus,1995,30.9417
aus,1996,29.28808
aus,2000,34.06792
aus,2005,34.62461
aus,2006,34.96822
aus,2007,35.14115
aus,2008,35.42323
aus,2009,35.9633
aus,2010,36.80703
aus,2011,35.97164
aus,2012,34.14038
aus,2013,32.81864
aus,2014,32.62542
aus,2015,31.78434
aus,2016,32.99107
aut,1970,29.5366
aut,1971,28.78403
aut,1972,26.95643
aut,1973,24.36956
aut,1974,24.33579
aut,1975,23.29126
aut,1976,19.71989
aut,1977,19.75428
aut,1978,19.22727
aut,1979,18.49873
aut,1980,17.77629
aut,1981,15.86493
aut,1982,16.11188
aut,1983,15.14402
aut,1984,17.30624
aut,1985,17.48344
aut,1986,16.96239
aut,1987,17.57817
aut,1988,17.79489
aut,1989,17.98538
aut,1990,18.12517
aut,1991,18.19999
aut,1992,18.55665
aut,1993,18.39869
aut,1995,21.55519
aut,1996,20.9069
aut,1998,19.40117
aut,1999,19.38196
aut,2000,19.6978
aut,2001,19.63966
aut,2002,19.79905
aut,2003,19.72309
aut,2004,18.95076
aut,2005,18.99533
aut,2006,18.56855
aut,2007,18.03007
aut,2008,17.83971
aut,2009,17.42743
aut,2010,17.13281
aut,2011,17.09498
aut,2012,15.49043
aut,2013,16.30241
aut,2014,16.29671
aut,2015,16.56793
aut,2016,16.60016
bdi,1979,38.85003
bdi,1981,39.01914
bdi,1990,45.72394
bdi,1992,44.17657
