global,time,gc_rev_xgrt_gd_zs
world,1991,22.51728
world,1992,22.34901
world,1993,22.35521
world,1998,24.26407
world,2005,22.16144
world,2006,22.64063
world,2007,24.0102
world,2008,22.82163
world,2009,21.57016
world,2010,22.19413
world,2011,22.38621
world,2012,22.65096
world,2013,23.18286
world,2014,23.8029
world,2015,23.64891
world,2016,23.44201
world,2017,23.86884
world,2018,23.70618
world,2019,25.60254
