geo,time,si_pov_gaps
ago,2000,16.4
ago,2008,11.6
ago,2018,22.7
alb,1996,0.1
alb,2002,0.3
alb,2005,0.1
alb,2008,0.1
alb,2012,0.2
alb,2014,0.2
alb,2015,0
alb,2016,0
alb,2017,0.1
alb,2018,0
alb,2019,0
are,2013,0
are,2018,0
arg,1980,0.2
arg,1986,1.1
arg,1987,1
arg,1991,0.7
arg,1992,1.3
arg,1993,1.4
arg,1994,1.6
arg,1995,2.6
arg,1996,3.1
arg,1997,2.6
arg,1998,2.6
arg,1999,2.9
arg,2000,3.4
arg,2001,5.5
arg,2002,6.8
arg,2003,2.9
arg,2004,2
arg,2005,1.4
arg,2006,1.2
arg,2007,1
arg,2008,0.9
arg,2009,0.8
arg,2010,0.5
arg,2011,0.4
arg,2012,0.4
arg,2013,0.4
arg,2014,0.4
arg,2016,0.4
arg,2017,0.3
arg,2018,0.5
arg,2019,0.5
arg,2020,0.5
arm,1999,2.9
arm,2001,3.1
arm,2002,2.2
arm,2003,1.2
arm,2004,1.3
arm,2005,0.6
arm,2006,0.3
arm,2007,0.3
arm,2008,0.2
arm,2009,0.2
arm,2010,0.2
arm,2011,0.2
arm,2012,0.2
arm,2013,0.4
arm,2014,0.2
arm,2015,0.2
arm,2016,0.2
arm,2017,0.1
arm,2018,0.2
arm,2019,0.1
arm,2020,0.1
aus,1981,0.5
aus,1985,0.6
aus,1989,0.5
aus,1995,0.6
aus,2001,0.6
aus,2003,0.8
aus,2004,0.4
aus,2008,0.3
aus,2010,0.3
aus,2014,0.4
aus,2016,0.3
aus,2018,0.4
aut,1987,0
aut,1994,0.2
aut,1995,1
aut,1997,0.2
aut,2000,0
aut,2003,0.3
aut,2004,0.1
aut,2005,0.1
aut,2006,0
aut,2007,0.3
aut,2008,0.2
aut,2009,0.5
aut,2010,0.4
aut,2011,0.3
aut,2012,0.4
aut,2013,0.2
aut,2014,0.1
aut,2015,0.6
aut,2016,0.6
aut,2017,0.2
aut,2018,0.5
aut,2019,0.5
aze,1995,2.1
aze,2001,0.4
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,0
bdi,1992,37.6
bdi,1998,45.6
bdi,2006,33.7
bdi,2013,31.1
bel,1985,0.2
bel,1988,0.5
bel,1992,0.8
bel,1995,0.4
bel,1997,0.3
bel,2000,0.3
bel,2003,0.2
bel,2004,0
bel,2005,0.1
bel,2006,0.1
bel,2007,0.1
bel,2008,0.1
bel,2009,0.1
bel,2010,0.1
bel,2011,0.1
bel,2012,0.1
bel,2013,0.1
bel,2014,0.1
bel,2015,0.1
bel,2016,0.1
bel,2017,0.1
bel,2018,0.1
bel,2019,0.1
ben,2003,17.5
ben,2011,19.1
ben,2015,22.4
ben,2018,4.5
bfa,1994,48.6
bfa,1998,43.1
bfa,2003,23.8
bfa,2009,20.1
bfa,2014,11.2
bfa,2018,9.6
bgd,1983,9.8
bgd,1985,7.3
bgd,1988,11
bgd,1991,11.1
bgd,1995,8
bgd,2000,7.8
bgd,2005,4.9
bgd,2010,3.5
bgd,2016,2.6
bgr,2006,2.7
bgr,2007,0.7
bgr,2008,0.4
bgr,2009,0.3
bgr,2010,0.7
bgr,2011,1
bgr,2012,0.8
bgr,2013,0.7
bgr,2014,0.5
bgr,2015,1.4
bgr,2016,0.7
bgr,2017,0.4
bgr,2018,0.2
bgr,2019,0.3
bih,2001,0.1
bih,2004,0.1
bih,2007,0
bih,2011,0
blr,1998,2.8
blr,1999,2.7
blr,2000,1.8
blr,2001,0.7
blr,2002,0.5
blr,2003,0.4
blr,2004,0.1
blr,2005,0.1
blr,2006,0
blr,2007,0
blr,2008,0
blr,2009,0
blr,2010,0
blr,2011,0
blr,2012,0
blr,2013,0
blr,2014,0
blr,2015,0
blr,2016,0
blr,2017,0
blr,2018,0
blr,2019,0
blr,2020,0
blz,1993,5
blz,1994,4.5
blz,1996,5.5
blz,1997,7.7
blz,1998,5.8
blz,1999,6
bol,1997,10
bol,1999,15.3
bol,2000,17.5
bol,2001,12.3
bol,2002,13.3
bol,2004,6
bol,2005,9.9
bol,2006,8
bol,2007,5.9
bol,2008,5
bol,2009,5
bol,2011,3
bol,2012,3.9
bol,2013,3.1
bol,2014,2.5
bol,2015,2.8
bol,2016,3.4
bol,2017,2.9
bol,2018,1.9
bol,2019,1
bol,2020,1.5
bra,1981,8.5
bra,1982,8.6
bra,1983,11.2
bra,1984,10.6
bra,1985,9
bra,1986,4
bra,1987,7.2
bra,1988,8.5
bra,1989,7.7
bra,1990,8.7
bra,1992,9.1
bra,1993,8.5
bra,1995,5.3
bra,1996,6.1
bra,1997,5.9
bra,1998,5.2
bra,1999,5.4
bra,2001,4.6
bra,2002,3.8
bra,2003,4.3
bra,2004,3.6
bra,2005,3.1
bra,2006,2.7
bra,2007,2.8
bra,2008,2.2
bra,2009,2.1
bra,2011,1.9
bra,2012,1.5
bra,2013,1.1
bra,2014,0.9
bra,2015,1.1
bra,2016,1.5
bra,2017,1.7
bra,2018,1.7
bra,2019,1.8
bra,2020,0.6
btn,2003,3.3
btn,2007,1.6
btn,2012,0.4
btn,2017,0.2
bwa,1985,16.9
bwa,1993,12.6
bwa,2002,10.7
bwa,2009,5.3
bwa,2015,3.9
caf,1992,58.7
caf,2008,32.8
can,1971,1.6
can,1975,0.7
can,1981,0.4
can,1987,0.1
can,1991,0.1
can,1994,0.2
can,1997,0.2
can,1998,0.2
can,2000,0.1
can,2004,0.1
can,2007,0.1
can,2010,0.1
can,2012,0.1
can,2013,0.1
can,2014,0.1
can,2015,0.1
can,2016,0.1
can,2017,0.1
che,1982,0.6
che,1992,0.5
che,2000,0
che,2002,0
che,2006,0
che,2007,0
che,2008,0
che,2009,0
che,2010,0
che,2011,0
che,2012,0
che,2013,0
che,2014,0
che,2015,0
che,2016,0
che,2017,0
che,2018,0
chl,1987,4
chl,1990,2.7
