geo,time,en_pop_slum_ur_zs
afg,2014,62.7
afg,2016,71.3
afg,2018,70.7
ago,2000,86.5
ago,2005,86.5
ago,2010,65.8
ago,2014,55.5
ago,2016,48.8
ago,2018,48.6
arg,1990,30.5
arg,1995,31.7
arg,2000,32.9
arg,2005,26.2
arg,2010,20.8
arg,2014,16.7
arg,2016,14.7
arg,2018,14.7
arm,2014,14.4
arm,2016,9.3
arm,2018,9.3
bdi,2005,64.3
bdi,2014,57.9
bdi,2016,48.6
bdi,2018,47.7
ben,1990,79.3
ben,1995,76.8
ben,2000,74.3
ben,2005,71.8
ben,2010,69.8
ben,2014,61.5
ben,2016,59.6
ben,2018,58.8
bfa,1990,78.8
bfa,1995,72.4
bfa,2000,65.9
bfa,2005,59.5
bfa,2014,65.8
bfa,2016,58.5
bfa,2018,57.1
bgd,1990,87.3
bgd,1995,84.7
bgd,2000,77.8
bgd,2005,70.8
bgd,2010,61.6
bgd,2014,55.1
bgd,2016,49.4
bgd,2018,47.2
bih,2016,7.6
bih,2018,7.6
blr,2016,45.2
blr,2018,33.2
blz,2014,10.8
blz,2016,5.1
blz,2018,5
bol,1990,62.2
bol,1995,58.2
bol,2000,54.3
bol,2005,50.4
bol,2010,47.3
bol,2014,43.5
bol,2016,49.5
bol,2018,48.5
bra,1990,36.7
bra,1995,34.1
bra,2000,31.5
bra,2005,29
bra,2010,26.9
bra,2014,22.3
bra,2016,16.3
bra,2018,16.3
caf,1990,87.5
caf,1995,89.7
caf,2000,91.9
caf,2005,94.1
caf,2010,95.9
caf,2014,93.3
caf,2016,97.5
caf,2018,95.4
can,2016,0.01
can,2018,0.01
chl,2005,9
chl,2014,9
chl,2016,9
chl,2018,8.8
chn,1990,43.6
chn,1995,40.5
chn,2000,37.3
chn,2005,32.9
chn,2010,29.1
chn,2014,25.2
chn,2018,24.6
civ,1990,53.4
civ,1995,54.3
civ,2000,55.3
civ,2005,56.2
civ,2010,57
civ,2014,56
civ,2016,59.2
civ,2018,60.1
cmr,1990,50.8
cmr,1995,49.6
cmr,2000,48.4
cmr,2005,47.4
cmr,2010,46.1
cmr,2014,37.8
cmr,2016,35.8
cmr,2018,33.7
cod,2005,76.4
cod,2010,61.7
cod,2014,74.8
cod,2016,79.1
cod,2018,77.5
cog,2005,53.4
cog,2010,49.9
cog,2014,46.9
cog,2016,48
cog,2018,47.8
col,1990,31.2
col,1995,26.8
col,2000,22.3
col,2005,17.9
col,2010,14.3
col,2014,13.1
col,2016,28.1
col,2018,27.8
com,1990,65.4
com,1995,65.4
com,2000,65.4
com,2005,68.9
com,2014,69.6
com,2016,69.6
com,2018,68.4
cri,2005,10.9
cri,2014,5.5
cri,2016,3.9
cri,2018,3.9
cub,2016,6.6
cub,2018,6.6
deu,2016,0.01
deu,2018,0.01
dji,2014,65.6
dji,2016,65.6
dji,2018,64.5
dnk,2016,0.001
dnk,2018,0.001
dom,1990,27.9
dom,1995,24.4
dom,2000,21
dom,2005,17.6
dom,2010,14.8
dom,2014,12.1
dom,2016,14.8
dom,2018,14.8
ecu,2005,21.5
ecu,2014,36
ecu,2016,20.3
ecu,2018,20.1
egy,1990,50.2
egy,1995,39.2
egy,2000,28.1
egy,2005,17.1
egy,2010,13.1
egy,2014,10.6
egy,2016,6.6
egy,2018,5.2
esp,2016,7.8
esp,2018,5.5
eth,1990,95.5
eth,1995,95.5
eth,2000,88.6
eth,2005,81.8
eth,2010,76.4
eth,2014,73.9
eth,2016,65.9
eth,2018,64.3
fji,2016,10.8
fji,2018,11.2
gab,2005,38.7
gab,2014,37
gab,2016,36.6
gab,2018,36.6
geo,2016,34.1
geo,2018,34.1
gha,1990,65.5
gha,1995,58.8
gha,2000,52.1
gha,2005,45.4
gha,2010,40.1
gha,2014,37.9
gha,2016,30.4
gha,2018,30.4
gin,1990,80.4
gin,1995,68.8
gin,2000,57.3
gin,2005,45.7
gin,2014,43.3
gin,2016,49.2
gin,2018,50.1
gmb,2005,45.4
gmb,2014,34.8
gmb,2016,26
gmb,2018,27.1
gnb,2005,83.1
gnb,2014,82.3
gnb,2016,78.9
gnb,2018,74.4
gnq,2005,66.3
gnq,2014,66.2
gnq,2016,66.1
gnq,2018,64.9
grc,2016,3
grc,2018,3
grd,2005,6
grd,2014,6
grd,2018,6
gtm,1990,58.6
gtm,1995,53.3
gtm,2000,48.1
gtm,2005,42.9
gtm,2010,38.7
gtm,2014,38.7
gtm,2016,31
gtm,2018,31
guy,2005,33.7
guy,2010,33.2
guy,2014,33.1
guy,2016,32.6
guy,2018,31.1
hnd,2005,34.9
hnd,2014,27.5
hnd,2016,40.4
hnd,2018,38.6
hti,1990,93.4
hti,1995,93.4
hti,2000,93.4
hti,2005,70.1
hti,2010,70.1
hti,2014,74.4
hti,2016,65.9
hti,2018,65.9
hun,2016,13.6
hun,2018,13.6
idn,1990,50.8
idn,1995,42.6
idn,2000,34.4
idn,2005,26.3
idn,2010,23
idn,2014,21.8
idn,2016,30.9
idn,2018,30.6
ind,1990,54.9
ind,1995,48.2
ind,2000,41.5
ind,2005,34.8
ind,2010,29.4
ind,2014,24
ind,2016,35.4
ind,2018,35.2
irn,2016,23.9
irn,2018,25.3
irq,1990,16.9
irq,1995,16.9
irq,2000,16.9
irq,2005,52.8
irq,2010,52.8
irq,2014,47.2
irq,2016,46.4
irq,2018,45.7
jam,2005,60.5
jam,2014,60.5
jam,2016,59.8
jam,2018,57.1
jor,2005,15.8
jor,2010,19.6
jor,2014,12.9
jor,2016,21.1
jor,2018,23.4
ken,1990,54.9
ken,1995,54.8
ken,2000,54.8
ken,2005,54.8
ken,2010,54.7
ken,2014,56
ken,2016,46.5
ken,2018,46.5
kgz,2016,9.7
kgz,2018,9.7
khm,2005,78.9
khm,2014,55.1
khm,2016,47.7
khm,2018,45.1
lao,2005,79.3
lao,2014,31.4
lao,2016,20.8
lao,2018,21.1
lbn,2005,53.1
lbn,2014,53.1
lbn,2018,61.1
lbr,2010,68.3
lbr,2014,65.7
lbr,2016,70.3
lbr,2018,70.3
lca,2005,11.9
lca,2014,11.9
lca,2016,11.9
lca,2018,11.2
lso,2005,35.1
lso,2010,53.7
lso,2014,50.8
lso,2016,59.7
lso,2018,53.6
mar,1990,37.4
mar,1995,35.2
mar,2000,24.2
mar,2005,13.1
mar,2010,13.1
mar,2014,13.1
mar,2016,10.1
mar,2018,9.2
mda,2016,63.5
mda,2018,59.2
mdg,1990,93
mdg,1995,88.6
mdg,2000,84.1
mdg,2005,80.6
mdg,2010,76.2
mdg,2014,77.2
mdg,2016,67.7
mdg,2018,61.2
mdv,2016,32.1
mdv,2018,30.1
mex,1990,23.1
mex,1995,21.5
mex,2000,19.9
mex,2005,14.4
mex,2014,11.1
mex,2016,16
mex,2018,16
mkd,2016,8.3
mkd,2018,8.3
mli,1990,94.2
mli,1995,84.8
mli,2000,75.4
mli,2005,65.9
mli,2010,65.9
mli,2014,56.3
mli,2016,47
mli,2018,47.2
mmr,2005,45.6
mmr,2014,41
mmr,2016,56.6
mmr,2018,56.1
mne,2016,27.1
mne,2018,27.1
mng,1990,68.5
mng,1995,66.7
mng,2000,64.9
mng,2005,57.9
mng,2014,42.7
mng,2016,38.3
mng,2018,38.3
moz,1990,75.6
moz,1995,76.9
moz,2000,78.2
moz,2005,79.5
moz,2010,80.5
moz,2014,80.3
moz,2016,76.7
moz,2018,77.2
mrt,2014,79.9
mrt,2016,79.5
mrt,2018,73.2
mwi,1990,66.4
mwi,1995,66.4
mwi,2000,66.4
mwi,2005,66.4
mwi,2010,68.9
mwi,2014,66.7
mwi,2016,67
mwi,2018,65.1
nam,1990,34.4
nam,1995,34.1
nam,2000,33.9
nam,2005,33.9
nam,2010,33.5
nam,2014,39.4
nam,2016,42.3
nam,2018,42.3
ner,1990,83.6
ner,1995,83.1
ner,2000,82.6
ner,2005,82.1
ner,2010,81.7
ner,2014,70.1
ner,2016,61.8
ner,2018,58.8
nga,1990,77.3
nga,1995,73.5
nga,2000,69.6
