geo,time,ic_bus_disc_xq
afg,2005,1
afg,2006,1
afg,2007,1
afg,2008,1
afg,2009,1
afg,2010,1
afg,2011,1
afg,2012,1
afg,2013,1
afg,2014,1
afg,2015,1
afg,2016,1
afg,2017,1
afg,2018,8
afg,2019,8
ago,2005,4
ago,2006,4
ago,2007,4
ago,2008,4
ago,2009,4
ago,2010,4
ago,2011,4
ago,2012,4
ago,2013,4
ago,2014,4
ago,2015,4
ago,2016,4
ago,2017,4
ago,2018,4
ago,2019,4
alb,2005,0
alb,2006,0
alb,2007,0
alb,2008,7
alb,2009,7
alb,2010,7
alb,2011,7
alb,2012,7
alb,2013,7
alb,2014,7
alb,2015,9
alb,2016,9
alb,2017,9
alb,2018,9
alb,2019,9
are,2005,4
are,2006,4
are,2007,4
are,2008,4
are,2009,4
are,2010,4
are,2011,4
are,2012,4
are,2013,6
are,2014,10
are,2015,10
are,2016,10
are,2017,10
are,2018,10
are,2019,10
arg,2005,7
arg,2006,7
arg,2007,7
arg,2008,7
arg,2009,7
arg,2010,7
arg,2011,7
arg,2012,7
arg,2013,7
arg,2014,7
arg,2015,7
arg,2016,7
arg,2017,7
arg,2018,7
arg,2019,7
arm,2005,5
arm,2006,5
arm,2007,5
arm,2008,5
arm,2009,5
arm,2010,5
arm,2011,5
arm,2012,5
arm,2013,5
arm,2014,5
arm,2015,5
arm,2016,5
arm,2017,5
arm,2018,6
arm,2019,7
atg,2005,4
atg,2006,4
atg,2007,4
atg,2008,4
atg,2009,4
atg,2010,4
atg,2011,4
atg,2012,4
atg,2013,4
atg,2014,4
atg,2015,4
atg,2016,4
atg,2017,4
atg,2018,4
atg,2019,4
aus,2005,8
aus,2006,8
aus,2007,8
aus,2008,8
aus,2009,8
aus,2010,8
aus,2011,8
aus,2012,8
aus,2013,8
aus,2014,8
aus,2015,8
aus,2016,8
aus,2017,8
aus,2018,8
aus,2019,8
aut,2005,5
aut,2006,5
aut,2007,5
aut,2008,5
aut,2009,5
aut,2010,5
aut,2011,5
aut,2012,5
aut,2013,5
aut,2014,5
aut,2015,5
aut,2016,5
aut,2017,5
aut,2018,5
aut,2019,5
aze,2005,4
aze,2006,4
aze,2007,4
aze,2008,7
aze,2009,7
aze,2010,7
aze,2011,7
aze,2012,7
aze,2013,7
aze,2014,7
aze,2015,10
aze,2016,10
aze,2017,10
aze,2018,10
aze,2019,10
bdi,2005,4
bdi,2006,4
bdi,2007,4
bdi,2008,4
bdi,2009,4
bdi,2010,4
bdi,2011,8
bdi,2012,8
bdi,2013,8
bdi,2014,8
bdi,2015,8
bdi,2016,8
bdi,2017,8
bdi,2018,8
bdi,2019,8
bel,2005,8
bel,2006,8
bel,2007,8
bel,2008,8
bel,2009,8
bel,2010,8
bel,2011,8
bel,2012,8
bel,2013,8
bel,2014,8
bel,2015,8
bel,2016,8
bel,2017,8
bel,2018,8
bel,2019,8
ben,2005,6
ben,2006,6
ben,2007,6
ben,2008,6
ben,2009,6
ben,2010,6
ben,2011,6
ben,2012,6
ben,2013,6
ben,2014,7
ben,2015,7
ben,2016,7
ben,2017,7
ben,2018,7
ben,2019,7
bfa,2005,6
bfa,2006,6
bfa,2007,6
bfa,2008,6
bfa,2009,6
bfa,2010,6
bfa,2011,6
bfa,2012,6
bfa,2013,6
bfa,2014,7
bfa,2015,7
bfa,2016,7
bfa,2017,7
bfa,2018,7
bfa,2019,7
bgd,2005,6
bgd,2006,6
bgd,2007,6
bgd,2008,6
bgd,2009,6
bgd,2010,6
bgd,2011,6
bgd,2012,6
bgd,2013,6
bgd,2014,6
bgd,2015,6
bgd,2016,6
bgd,2017,6
bgd,2018,6
bgd,2019,6
bgr,2005,10
bgr,2006,10
bgr,2007,10
bgr,2008,10
bgr,2009,10
bgr,2010,10
bgr,2011,10
bgr,2012,10
bgr,2013,10
bgr,2014,10
bgr,2015,10
bgr,2016,10
bgr,2017,10
bgr,2018,10
bgr,2019,10
bhr,2005,8
bhr,2006,8
bhr,2007,8
bhr,2008,8
bhr,2009,8
bhr,2010,8
bhr,2011,8
bhr,2012,8
bhr,2013,8
bhr,2014,8
bhr,2015,8
bhr,2016,8
bhr,2017,8
bhr,2018,8
bhr,2019,8
bhs,2005,2
bhs,2006,2
bhs,2007,2
bhs,2008,2
bhs,2009,2
bhs,2010,2
bhs,2011,2
bhs,2012,2
bhs,2013,2
bhs,2014,2
bhs,2015,2
bhs,2016,2
bhs,2017,2
bhs,2018,2
bhs,2019,3
bih,2005,3
bih,2006,3
bih,2007,3
bih,2008,3
bih,2009,3
bih,2010,3
bih,2011,3
bih,2012,3
bih,2013,3
bih,2014,3
bih,2015,3
bih,2016,3
bih,2017,3
bih,2018,3
bih,2019,3
blr,2005,1
blr,2006,1
blr,2007,5
blr,2008,5
blr,2009,5
blr,2010,5
blr,2011,7
blr,2012,7
blr,2013,7
blr,2014,7
blr,2015,7
blr,2016,7
blr,2017,7
blr,2018,7
blr,2019,6
blz,2005,3
blz,2006,3
blz,2007,3
blz,2008,3
blz,2009,3
blz,2010,3
blz,2011,3
blz,2012,3
blz,2013,3
blz,2014,3
blz,2015,3
blz,2016,3
blz,2017,3
blz,2018,3
blz,2019,3
bol,2005,1
bol,2006,1
bol,2007,1
bol,2008,1
bol,2009,1
bol,2010,1
bol,2011,1
bol,2012,1
bol,2013,1
bol,2014,1
bol,2015,1
bol,2016,1
bol,2017,1
bol,2018,1
bol,2019,1
bra,2005,5
bra,2006,5
bra,2007,5
bra,2008,5
bra,2009,5
bra,2010,5
bra,2011,5
bra,2012,5
bra,2013,5
bra,2014,5
bra,2015,5
bra,2016,5
bra,2017,5
bra,2018,5
bra,2019,5
brb,2005,2
brb,2006,2
brb,2007,2
brb,2008,2
brb,2009,2
brb,2010,2
brb,2011,2
brb,2012,2
brb,2013,2
brb,2014,2
brb,2015,2
brb,2016,2
brb,2017,2
brb,2018,2
brb,2019,2
brn,2005,4
brn,2006,4
brn,2007,4
brn,2008,4
brn,2009,4
brn,2010,4
brn,2011,4
brn,2012,4
brn,2013,4
brn,2014,4
brn,2015,4
brn,2016,4
brn,2017,4
brn,2018,4
brn,2019,4
btn,2005,4
btn,2006,4
btn,2007,4
btn,2008,4
btn,2009,4
btn,2010,4
btn,2011,4
btn,2012,4
btn,2013,4
btn,2014,4
btn,2015,4
btn,2016,4
btn,2017,4
btn,2018,4
btn,2019,4
bwa,2005,8
bwa,2006,8
bwa,2007,8
bwa,2008,7
bwa,2009,7
bwa,2010,7
bwa,2011,7
bwa,2012,7
bwa,2013,7
bwa,2014,7
bwa,2015,7
bwa,2016,7
bwa,2017,7
bwa,2018,7
bwa,2019,7
caf,2005,6
caf,2006,6
caf,2007,6
caf,2008,6
caf,2009,6
caf,2010,6
caf,2011,6
caf,2012,6
caf,2013,6
caf,2014,7
caf,2015,7
caf,2016,7
caf,2017,7
caf,2018,7
caf,2019,7
can,2005,8
can,2006,8
can,2007,8
can,2008,8
can,2009,8
can,2010,8
can,2011,8
can,2012,8
can,2013,8
can,2014,8
can,2015,8
can,2016,8
can,2017,8
can,2018,8
can,2019,8
che,2005,0
che,2006,0
che,2007,0
che,2008,0
che,2009,0
che,2010,0
che,2011,0
che,2012,0
che,2013,0
che,2014,0
che,2015,0
che,2016,0
che,2017,0
che,2018,0
che,2019,0
chl,2005,7
chl,2006,7
chl,2007,7
chl,2008,7
chl,2009,7
chl,2010,8
chl,2011,8
chl,2012,8
chl,2013,8
chl,2014,8
chl,2015,8
chl,2016,8
chl,2017,8
chl,2018,8
chl,2019,8
chn,2005,10
chn,2006,10
chn,2007,10
chn,2008,10
chn,2009,10
chn,2010,10
chn,2011,10
chn,2012,10
chn,2013,10
chn,2014,10
chn,2015,10
chn,2016,10
chn,2017,10
chn,2018,10
chn,2019,10
civ,2005,6
civ,2006,6
civ,2007,6
civ,2008,6
civ,2009,6
civ,2010,6
civ,2011,6
civ,2012,6
civ,2013,6
civ,2014,7
civ,2015,7
civ,2016,7
civ,2017,7
civ,2018,7
civ,2019,7
cmr,2005,6
cmr,2006,6
cmr,2007,6
cmr,2008,6
cmr,2009,6
cmr,2010,6
cmr,2011,6
cmr,2012,6
cmr,2013,6
cmr,2014,7
cmr,2015,7
cmr,2016,7
cmr,2017,7
cmr,2018,7
cmr,2019,7
cod,2005,3
cod,2006,3
cod,2007,3
cod,2008,3
cod,2009,3
cod,2010,3
cod,2011,3
cod,2012,3
cod,2013,6
cod,2014,7
cod,2015,7
cod,2016,7
cod,2017,7
cod,2018,7
cod,2019,7
cog,2005,6
cog,2006,6
cog,2007,6
cog,2008,6
cog,2009,6
cog,2010,6
cog,2011,6
cog,2012,6
cog,2013,6
cog,2014,7
cog,2015,7
cog,2016,7
cog,2017,7
cog,2018,7
cog,2019,7
col,2005,9
col,2006,9
col,2007,9
col,2008,9
col,2009,9
col,2010,9
col,2011,9
col,2012,9
col,2013,9
col,2014,9
col,2015,9
col,2016,9
col,2017,9
col,2018,9
col,2019,9
com,2005,6
com,2006,6
com,2007,6
com,2008,6
com,2009,6
com,2010,6
com,2011,6
com,2012,6
com,2013,6
com,2014,7
com,2015,7
com,2016,7
com,2017,7
com,2018,7
com,2019,7
cpv,2005,1
cpv,2006,1
cpv,2007,1
cpv,2008,1
cpv,2009,1
cpv,2010,1
cpv,2011,1
cpv,2012,1
cpv,2013,1
cpv,2014,1
cpv,2015,1
cpv,2016,1
cpv,2017,1
cpv,2018,1
cpv,2019,1
cri,2005,2
cri,2006,2
cri,2007,2
cri,2008,2
cri,2009,2
cri,2010,2
cri,2011,2
cri,2012,2
cri,2013,2
cri,2014,2
cri,2015,2
cri,2016,2
cri,2017,5
cri,2018,5
cri,2019,5
cyp,2005,4
cyp,2006,4
cyp,2007,4
cyp,2008,4
cyp,2009,4
cyp,2010,4
cyp,2011,8
cyp,2012,8
cyp,2013,8
cyp,2014,8
cyp,2015,8
cyp,2016,8
cyp,2017,8
cyp,2018,9
cyp,2019,9
cze,2005,2
cze,2006,2
cze,2007,2
cze,2008,2
cze,2009,2
cze,2010,2
cze,2011,2
cze,2012,2
cze,2013,2
cze,2014,2
cze,2015,2
cze,2016,2
cze,2017,2
cze,2018,2
cze,2019,2
deu,2005,5
deu,2006,5
deu,2007,5
deu,2008,5
deu,2009,5
deu,2010,5
deu,2011,5
deu,2012,5
deu,2013,5
deu,2014,5
deu,2015,5
deu,2016,5
deu,2017,5
deu,2018,5
deu,2019,5
dji,2005,4
dji,2006,4
dji,2007,4
dji,2008,4
dji,2009,4
dji,2010,4
dji,2011,4
dji,2012,4
dji,2013,4
dji,2014,4
dji,2015,4
dji,2016,4
dji,2017,7
dji,2018,8
dji,2019,8
dma,2005,4
dma,2006,4
dma,2007,4
dma,2008,4
dma,2009,4
dma,2010,4
dma,2011,4
dma,2012,4
dma,2013,4
dma,2014,4
dma,2015,4
dma,2016,4
dma,2017,4
dma,2018,4
dma,2019,4
dnk,2005,7
dnk,2006,7
dnk,2007,7
dnk,2008,7
dnk,2009,7
dnk,2010,7
dnk,2011,7
dnk,2012,7
dnk,2013,7
dnk,2014,7
dnk,2015,7
dnk,2016,7
dnk,2017,7
dnk,2018,7
dnk,2019,7
dom,2005,5
dom,2006,5
dom,2007,5
dom,2008,5
dom,2009,5
dom,2010,5
dom,2011,5
dom,2012,5
dom,2013,5
dom,2014,5
dom,2015,5
dom,2016,5
dom,2017,5
dom,2018,5
dom,2019,5
dza,2005,4
dza,2006,4
dza,2007,4
dza,2008,4
dza,2009,4
dza,2010,4
dza,2011,4
dza,2012,4
dza,2013,4
dza,2014,4
dza,2015,4
dza,2016,4
dza,2017,4
dza,2018,4
dza,2019,4
ecu,2005,1
ecu,2006,1
ecu,2007,1
ecu,2008,1
ecu,2009,1
ecu,2010,1
ecu,2011,1
ecu,2012,1
ecu,2013,1
ecu,2014,2
ecu,2015,2
ecu,2016,2
ecu,2017,2
ecu,2018,2
ecu,2019,2
egy,2005,4
egy,2006,4
egy,2007,4
egy,2008,5
egy,2009,5
egy,2010,5
egy,2011,5
egy,2012,5
egy,2013,5
egy,2014,8
egy,2015,8
egy,2016,8
egy,2017,8
egy,2018,8
egy,2019,8
eri,2005,3
eri,2006,3
eri,2007,3
eri,2008,3
eri,2009,3
eri,2010,3
eri,2011,3
eri,2012,3
eri,2013,3
eri,2014,3
eri,2015,3
eri,2016,3
eri,2017,3
eri,2018,3
eri,2019,3
esp,2005,5
esp,2006,5
esp,2007,5
esp,2008,5
esp,2009,5
esp,2010,5
esp,2011,5
esp,2012,5
esp,2013,7
esp,2014,7
esp,2015,7
esp,2016,7
esp,2017,7
esp,2018,7
esp,2019,7
est,2005,8
est,2006,8
est,2007,8
est,2008,8
est,2009,8
est,2010,8
est,2011,8
est,2012,8
est,2013,8
est,2014,8
est,2015,8
est,2016,8
est,2017,8
est,2018,8
est,2019,8
eth,2005,3
eth,2006,3
eth,2007,3
eth,2008,3
eth,2009,3
eth,2010,3
eth,2011,3
eth,2012,3
eth,2013,3
eth,2014,3
eth,2015,3
eth,2016,3
eth,2017,3
eth,2018,3
eth,2019,3
fin,2005,6
fin,2006,6
fin,2007,6
