geo,time,sh_sta_wast_fe_zs
afg,2004,9.3
afg,2013,8.7
afg,2018,4.1
ago,1996,7.7
ago,2007,8.1
ago,2015,4.3
alb,2000,11.6
alb,2005,7.4
alb,2009,7.3
alb,2017,2
arg,2005,1.4
arg,2019,1
arm,1998,2.1
arm,2000,2.5
arm,2005,5.1
arm,2010,3.2
arm,2016,5
aze,2000,8.6
aze,2006,5.7
aze,2011,5.5
aze,2013,2.1
bdi,2000,7.1
bdi,2010,5.6
bdi,2016,4.6
bdi,2018,4.3
bdi,2019,4
bel,2014,0.8
ben,2001,7.8
ben,2008,4.1
ben,2014,3.7
ben,2018,4.3
bfa,1993,15.6
bfa,1999,13.9
bfa,2009,10.7
bfa,2010,14.4
bfa,2011,8.9
bfa,2012,8.7
bfa,2013,7.5
bfa,2014,7.6
bfa,2015,9.1
bfa,2016,6.3
bfa,2017,7.5
bfa,2018,7.3
bfa,2019,7.1
bgd,1997,19.4
bgd,2000,11.6
bgd,2004,13.5
bgd,2007,16.5
bgd,2011,15.3
bgd,2013,18
bgd,2014,13.6
bgd,2018,7.6
bgd,2019,9.2
bgr,2007,4.6
bgr,2014,4.1
bih,2000,6.3
bih,2006,4.3
bih,2012,2.4
blr,2005,1.6
blz,2006,1.4
blz,2011,3.4
blz,2015,1.4
bol,1998,1.5
bol,2003,1.5
bol,2008,0.8
bol,2012,1
bol,2016,1.4
bra,1989,2.1
bra,1996,2.6
bra,2007,1.6
brb,2012,5
brn,2009,3
btn,1999,1.8
btn,2008,4
btn,2010,5.5
bwa,2000,5.5
bwa,2007,7.1
caf,2000,9.3
caf,2006,11.2
caf,2010,5.9
caf,2012,6.1
caf,2014,5.1
caf,2018,5.8
caf,2019,4.6
chl,2008,0.2
chl,2013,0.3
chl,2014,0.2
chn,1990,3.8
chn,1992,3.7
chn,1995,4.2
chn,1998,2.1
chn,2000,2.1
chn,2002,2.7
chn,2005,2.4
chn,2010,2.1
chn,2013,1.9
civ,1986,8.4
civ,1998,6.7
civ,2007,12.4
civ,2012,6
civ,2016,5.5
cmr,1991,4.3
cmr,2004,6.6
cmr,2006,6.9
cmr,2011,4.9
cmr,2014,4.8
cmr,2018,3.6
cod,2001,14.5
cod,2007,8.9
cod,2010,7.5
cod,2013,6.9
cod,2017,5.8
cog,2005,7.7
cog,2011,5.8
cog,2014,7.6
col,1995,1.7
col,2000,1
col,2005,1.5
col,2010,0.9
col,2016,1.6
com,2000,12.1
com,2012,10.9
cri,2008,1.5
cri,2018,1.8
cub,2019,2.1
cze,2001,4
deu,2004,0.8
dji,2002,18.5
dji,2012,20.3
dom,1991,2.1
dom,1996,1.6
dom,2000,1.3
dom,2002,2
dom,2006,1.7
dom,2007,2.1
dom,2013,2
dza,1992,7.2
dza,1995,9.4
dza,2000,2.9
dza,2002,9.3
dza,2006,4.3
dza,2012,3.8
dza,2019,2.4
ecu,1999,3.3
ecu,2004,2.2
ecu,2006,1.9
ecu,2012,1.8
ecu,2014,1.4
ecu,2019,3.1
egy,1991,3.7
egy,1992,4.1
egy,1995,5.5
egy,2003,5.2
egy,2005,5
egy,2008,7.1
egy,2014,9.5
eri,2002,13.1
eri,2010,13.4
est,2014,1.4
eth,2000,10.8
eth,2005,10.9
eth,2011,8.3
eth,2014,7.4
eth,2016,9.8
eth,2019,5.5
fji,2004,8.2
gab,2000,4.1
gab,2012,3.2
geo,2005,3
geo,2009,1
geo,2018,0.6
gha,1997,7.3
gha,1998,8.7
gha,2003,8.3
gha,2006,5.2
gha,2008,7.9
gha,2011,5.2
gha,2014,5.1
gha,2017,5.9
gin,1999,8.8
gin,2005,10.1
gin,2007,7
gin,2012,9.5
gin,2016,7.5
gin,2018,9.1
gmb,2000,8.6
gmb,2006,6.6
gmb,2010,9
gmb,2012,8.2
