geo,time,sl_uem_neet_fe_zs
abw,2010,15.64
afg,2014,13.26
afg,2017,65.89
afg,2020,74.01
ago,2004,38.34
ago,2009,30.85
ago,2011,12.23
ago,2014,33.56
alb,2007,36.74
alb,2008,30.8
alb,2009,35.76
alb,2010,33.42
alb,2011,32.52
alb,2012,29.69
alb,2013,32.04
alb,2014,32.65
alb,2015,31.28
alb,2016,27.62
alb,2017,27.61
alb,2018,27.77
alb,2019,25.45
arg,2004,25.82
arg,2005,24.46
arg,2006,24.76
arg,2008,24.43
arg,2009,24.34
arg,2010,24.22
arg,2011,22.98
arg,2012,23.1
arg,2013,24
arg,2014,24.51
arg,2017,22.78
arg,2018,22.49
arg,2019,21.69
arg,2020,23.67
arm,2009,40.85
arm,2011,44.46
arm,2012,39.28
arm,2013,42.57
arm,2014,38.49
arm,2015,34.8
arm,2016,37.83
arm,2017,37.53
arm,2018,33.73
arm,2019,28.71
arm,2020,28.38
aus,2009,12.58
aus,2010,11.85
aus,2011,11.74
aus,2012,10.4
aus,2013,11.77
aus,2014,10.5
aus,2015,10.2
aus,2016,9.06
aus,2017,8.96
aut,2004,9.49
aut,2005,8.83
aut,2006,8.12
aut,2007,7.89
aut,2008,7.97
aut,2009,8.66
aut,2010,7.68
aut,2011,7.25
aut,2012,6.96
aut,2013,7.44
aut,2014,7.43
aut,2015,7.31
aut,2016,7.42
aut,2017,6.03
aut,2018,7.06
aut,2019,7.26
aut,2020,6.88
bdi,2014,3.68
bdi,2017,5.98
bel,2004,8.82
bel,2005,13.56
bel,2006,12.34
bel,2007,12.15
bel,2008,11.1
bel,2009,11.68
bel,2010,10.95
bel,2011,12.03
bel,2012,12.18
bel,2013,12.1
bel,2014,11.49
bel,2015,11.82
bel,2016,9.71
bel,2017,8.66
bel,2018,8.93
bel,2019,8.39
bel,2020,8.63
ben,2011,23.18
ben,2018,40.68
bfa,2018,49.1
bgd,2005,56.92
bgd,2006,58.93
bgd,2010,44.91
bgd,2013,30.68
bgd,2016,46.99
bgd,2017,44.55
bgr,2003,29.07
bgr,2004,25.87
bgr,2005,26.48
bgr,2006,24.66
bgr,2007,20.62
