geo,time,ne_gdi_ftot_cd
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,2000,2569930561.22703
ago,2001,2724893475.80685
ago,2002,4635609301.12887
ago,2003,5285880682.99862
ago,2004,7208749195.0099
ago,2005,10275048732.7198
ago,2006,11496402179.4717
ago,2007,16418329181.1212
ago,2008,25870958799.6812
ago,2009,30086192103.1865
ago,2010,23662041647.036
ago,2011,29503990135.7112
ago,2012,34165574187.1622
ago,2013,35761246667.2123
ago,2014,40039982573.162
ago,2015,32777768687.8387
ago,2016,26507810427.2121
ago,2017,28384402863.4972
ago,2018,21024820595.304
ago,2019,17691775088.275
ago,2020,9783432608.37535
alb,1984,712237780.22654
alb,1985,634615413.5689
alb,1986,673124987.5
alb,1987,698499962.5
alb,1988,670374975
alb,1989,731750012.5
alb,1990,615888125
alb,1991,83600694.44444
alb,1992,36891479.02576
alb,1993,162105372.6883
alb,1994,355435600.95663
alb,1995,509144791.39135
alb,1996,697344278.26513
alb,1997,454308793.45603
alb,1998,547094469.43636
alb,1999,756233236.78494
alb,2000,1110462752.06933
alb,2001,1440560838.08993
alb,2002,1567718712.47484
alb,2003,2014184689.59659
alb,2004,2715501613.89921
alb,2005,3053334274.5541
alb,2006,3386756931.97178
alb,2007,3884916823.23708
alb,2008,4373129021.41497
alb,2009,3939529217.7881
alb,2010,3390641900.31048
alb,2011,3785531905.19328
alb,2012,3263360084.00487
alb,2013,3331981788.44924
alb,2014,3195744975.35078
alb,2015,2779927549.40589
alb,2016,2890329017.05701
alb,2017,3199785390.42821
alb,2018,3616719820.13016
alb,2019,3432546144.40678
alb,2020,3421572940.63507
are,2001,21672821592.9204
are,2002,23139830197.4132
are,2003,25853443648.7406
are,2004,27619676405.7182
are,2005,33195915588.8359
are,2006,39044114853.6419
are,2007,60798638529.612
are,2008,70583970646.69839
are,2009,73308153410.48329
are,2010,71752718202.8591
are,2011,75168048413.88699
are,2012,77961722260.0408
are,2013,71052518012.2532
are,2014,78929978270.9326
are,2015,83725068454.73109
are,2016,87307882831.8584
are,2017,73175615194.00951
are,2018,73146297944.1797
are,2019,76782614203.62801
arg,1962,5313239494.54505
arg,1963,3338776681.37774
arg,1964,4398700136.20025
arg,1965,5448823347.47535
arg,1966,5881428621.0885
arg,1967,5146060702.23671
arg,1968,5734285805.39451
arg,1969,7498571825.73388
arg,1970,7719211096.5115
arg,1971,8027999890.81471
arg,1972,8298250320.65817
arg,1973,10978444355.8423
arg,1974,16124666971.2541
arg,1975,15438486959.3817
arg,1976,15724100557.6079
arg,1977,17569000350.9151
arg,1978,16159754107.8495
arg,1979,16561791982.5978
arg,1980,19438878223.106
arg,1981,17852632104.7179
arg,1982,18341049876.29729
arg,1983,21718898273.9138
arg,1984,15790000398.889
arg,1985,15551667059.5348
arg,1986,19371110817.4477
arg,1987,21726666839.1419
arg,1988,23524999816.2601
arg,1989,11889983497.8928
arg,1990,19785065005.7631
arg,1991,27769271211.32669
arg,1992,38213203210.1757
arg,1993,45114528828.8288
arg,1994,51330897900
arg,1995,46285080200
arg,1996,49210611100
arg,1997,56727150100
arg,1998,59595219100
arg,1999,51073902400
arg,2000,46020116800
arg,2001,38098830100
arg,2002,11688424248.1085
arg,2003,19313487764.3146
arg,2004,26170381202.9054
arg,2005,34483165290.6659
arg,2006,42630505717.2557
arg,2007,56114681625.8495
arg,2008,68732764883.4796
arg,2009,51883572175.6764
arg,2010,70497814077.3976
arg,2011,91444072188.02461
arg,2012,86579294008.07201
arg,2013,89922196966.4496
arg,2014,84105642157.6515
arg,2015,92571210122.05602
arg,2016,79572900482.4436
arg,2017,97588257476.13608
arg,2018,80040518779.1422
arg,2019,63440945978.9438
arg,2020,54065676080.579
arm,1990,1000796559.59607
arm,1991,589350649.35065
arm,1992,217234304.47271
arm,1993,149628363.94703
arm,1994,266139192.44982
arm,1995,237191344.0974
arm,1996,285610085.98203
arm,1997,265666530.77864
arm,1998,307086223.98414
arm,1999,303020222.03117
arm,2000,415076937.90475
arm,2001,441434619.68076
arm,2002,590351792.09907
arm,2003,760341932.02827
arm,2004,1005308838.69154
arm,2005,1719780269.00049
arm,2006,2671936427.32773
arm,2007,4005158456.04131
