geo,time,dc_dac_nldl_cd
abw,1985,12039999.96185
abw,1986,40430000.30518
abw,1987,20829999.92371
abw,1988,19260000.22888
abw,1989,24190000.53406
abw,1990,28920000.07629
abw,1991,24809999.46594
abw,1992,29850000.38147
abw,1993,22969999.31335
abw,1994,15930000.30518
abw,1995,17979999.54224
abw,1996,20329999.92371
abw,1997,23709999.08447
abw,1998,10680000.30518
abw,1999,-7099999.90463
abw,2000,10659999.84741
abw,2001,-1509999.99046
abw,2002,10189999.58038
abw,2003,76470001.2207
abw,2004,-11510000.22888
afg,1971,19999.99955
afg,1972,159999.99642
afg,1973,349999.99404
afg,1974,189999.99762
afg,1975,219999.99881
afg,1976,189999.99762
afg,1977,1559999.94278
afg,1978,1720000.02861
afg,1979,200000.00298
afg,1980,180000.00715
afg,1981,189999.99762
afg,1983,740000.00954
afg,1986,430000.00715
afg,1987,889999.98569
afg,1988,3480000.01907
afg,1989,2569999.93324
afg,1990,3130000.11444
afg,1991,720000.02861
afg,1992,5210000.03815
afg,1993,9949999.80927
afg,1994,12369999.88556
afg,1995,26600000.38147
afg,1996,12340000.15259
afg,1997,42939998.62671
afg,1998,25469999.31335
afg,1999,9359999.65668
afg,2000,10170000.07629
afg,2001,71949996.94824
afg,2002,88279998.7793
afg,2003,77370002.74658
afg,2004,90309997.55859
afg,2005,79089996.33789
afg,2006,87339996.33789
afg,2007,88819999.69482
afg,2008,111970001.2207
afg,2009,147929992.67578
afg,2010,115000000
afg,2011,108480003.35693
afg,2012,68500000
afg,2013,79949996.94824
afg,2014,50750000
afg,2015,55439998.62671
afg,2016,63619998.93188
afg,2017,53400001.52588
afg,2018,54909999.84741
afg,2019,67099998.47412
ago,1974,129999.99523
ago,1975,649999.97616
ago,1976,3079999.92371
ago,1977,4719999.79019
ago,1978,10710000.03815
ago,1979,2259999.99046
ago,1980,7969999.79019
ago,1981,2299999.95232
ago,1982,4000000
ago,1983,8899999.61853
ago,1984,16659999.84741
ago,1985,8050000.19073
ago,1986,16770000.45776
ago,1987,15579999.92371
ago,1988,12439999.58038
ago,1989,4940000.05722
ago,1990,12579999.92371
ago,1991,2150000.09537
ago,1992,1240000.00954
ago,1993,720000.02861
ago,1994,5880000.11444
ago,1995,23329999.92371
ago,1996,30079999.92371
ago,1997,21700000.76294
ago,1998,15159999.84741
ago,1999,13670000.07629
ago,2000,11649999.61853
ago,2001,20489999.77112
ago,2002,27670000.07629
ago,2003,21079999.92371
ago,2004,19549999.23706
ago,2005,12800000.19073
ago,2006,2109999.8951
ago,2007,-49290000.91553
ago,2008,-2670000.07629
ago,2009,-3269999.98093
ago,2010,-2720000.02861
ago,2011,-2960000.03815
ago,2012,-2740000.00954
ago,2013,-3079999.92371
ago,2014,-2619999.88556
ago,2015,-1500000
ago,2016,-1220000.02861
ago,2017,-319999.99285
ago,2018,-219999.99881
ago,2019,349999.99404
alb,1991,490000.00954
alb,1992,2569999.93324
alb,1993,2250000
alb,1994,6750000
alb,1995,4730000.01907
alb,1996,7980000.01907
alb,1997,7719999.79019
alb,1998,5469999.79019
alb,1999,1980000.01907
alb,2000,3769999.98093
alb,2001,11470000.26703
alb,2002,11560000.41962
alb,2003,12739999.77112
alb,2004,11000000
alb,2005,9119999.88556
alb,2006,5340000.15259
alb,2007,6780000.20981
alb,2008,18270000.45776
alb,2009,8239999.77112
alb,2010,4159999.84741
alb,2011,379999.99523
alb,2016,59999.99866
alb,2017,79999.99821
alb,2018,219999.99881
alb,2019,109999.9994
are,1976,39999.99911
are,1979,19999.99955
are,1998,449999.98808
arg,1960,-5199999.80927
arg,1961,-5500000
arg,1963,1299999.95232
arg,1964,899999.97616
arg,1965,680000.00715
arg,1967,-460000.00834
arg,1972,79999.99821
arg,1973,100000.00149
arg,1974,209999.99344
arg,1975,319999.99285
arg,1976,959999.97854
arg,1977,1059999.94278
arg,1978,709999.97854
arg,1979,2319999.93324
arg,1980,3019999.98093
arg,1981,2450000.04768
arg,1982,1669999.95708
arg,1983,1500000
arg,1984,819999.99285
arg,1985,850000.02384
arg,1986,930000.00715
arg,1987,959999.97854
arg,1988,2920000.07629
arg,1989,3029999.97139
arg,1990,3849999.90463
arg,1991,1710000.03815
arg,1992,1669999.95708
arg,1993,1409999.96662
