geo,time,en_co2_etot_zs
ago,1971,12.96296
ago,1972,9.58333
ago,1973,11.36364
ago,1974,21.77778
ago,1975,21.93878
ago,1976,22.68041
ago,1977,30.46358
ago,1978,17.82946
ago,1979,20.47244
ago,1980,20.30075
ago,1981,21.42857
ago,1982,24.09091
ago,1983,26.2931
ago,1984,12.10762
ago,1985,11.34752
ago,1986,12.99639
ago,1987,12.2807
ago,1988,13.39564
ago,1989,12.72727
ago,1990,12.2449
ago,1991,10.72319
ago,1992,9.51157
ago,1993,7.34597
ago,1994,9.09091
ago,1995,9.97442
ago,1996,9.7852
ago,1997,14.7806
ago,1998,15.5496
ago,1999,17.72152
ago,2000,20.08639
ago,2001,20.67594
ago,2002,18.90909
ago,2003,17.28045
ago,2004,11.48649
ago,2005,15.93496
ago,2006,12.9697
ago,2007,12.3444
ago,2008,13.37849
ago,2009,17.80822
ago,2010,17.1844
ago,2011,14.86318
ago,2012,12.5861
ago,2013,14.38053
ago,2014,19.17098
alb,1971,20.72539
alb,1972,18.8764
alb,1973,21.68367
alb,1974,19.95134
alb,1975,18.43318
alb,1976,17.30769
alb,1977,17.54032
alb,1978,17.08185
alb,1979,14.92537
alb,1980,13.50954
alb,1981,17.77778
alb,1982,19.14894
alb,1983,17.56757
alb,1984,16.89751
alb,1985,18.01153
alb,1986,18.10345
alb,1987,17.26519
alb,1988,17.01534
alb,1989,18.12865
alb,1990,12.87478
alb,1991,14.17323
alb,1992,19.15888
alb,1993,27.27273
alb,1994,30.04926
alb,1995,21.62162
alb,1996,17.74194
alb,1997,22.37762
alb,1998,18.75
alb,1999,9.93151
alb,2000,12.33766
alb,2001,10.86957
alb,2002,10.13333
alb,2003,9.42408
alb,2004,6.98254
alb,2005,7.8534
alb,2006,6.86016
alb,2007,8.73016
alb,2008,7.54717
alb,2009,3.71353
alb,2010,2.54453
alb,2011,2.89855
alb,2012,2.87356
alb,2013,1.37363
alb,2014,2.91262
are,1971,6.09756
are,1972,13.17829
are,1973,16.40867
are,1974,20.77151
are,1975,20.52846
are,1976,22.44898
are,1977,21.79245
are,1978,25.63265
are,1979,28.08834
are,1980,27.26327
are,1981,25.6751
are,1982,28.79499
are,1983,33.21183
are,1984,28.13676
are,1985,27.51263
are,1986,25.98701
are,1987,24.92085
are,1988,26.29263
are,1989,24.09082
are,1990,26.31579
are,1991,23.51648
are,1992,26.36605
are,1993,28.79678
are,1994,28.76315
are,1995,29.00632
are,1996,29.55577
are,1997,30.38487
are,1998,32.59788
are,1999,34.89641
are,2000,38.83252
are,2001,36.95417
are,2002,40.04654
are,2003,42.39141
are,2004,47.56643
are,2005,47.99748
are,2006,49.46966
are,2007,45.90415
are,2008,46.55926
are,2009,40.34014
are,2010,40.05272
are,2011,38.68292
are,2012,39.88817
are,2013,39.10763
are,2014,41.52083
arg,1971,35.47097
arg,1972,37.04812
arg,1973,35.27256
arg,1974,32.92487
arg,1975,33.18075
arg,1976,33.19154
arg,1977,34.7957
arg,1978,32.66544
arg,1979,33.19651
arg,1980,32.08994
arg,1981,31.24401
arg,1982,30.48227
arg,1983,31.13387
arg,1984,29.30128
arg,1985,29.40171
arg,1986,35.87351
arg,1987,33.90685
arg,1988,39.5327
arg,1989,39.22056
arg,1990,34.51399
arg,1991,36.47384
arg,1992,35.38519
arg,1993,31.73686
arg,1994,28.25936
arg,1995,29.14997
arg,1996,30.25156
arg,1997,28.65443
arg,1998,29.1445
arg,1999,31.87365
arg,2000,32.29974
arg,2001,30.26704
arg,2002,30.09621
arg,2003,30.83098
arg,2004,31.93885
arg,2005,31.78746
arg,2006,31.69933
arg,2007,33.81651
arg,2008,34.45231
arg,2009,36.1876
arg,2010,35.88533
arg,2011,36.89149
arg,2012,38.49884
arg,2013,37.40251
arg,2014,38.03856
arm,1990,30.74597
arm,1991,37.7176
arm,1992,45.6338
arm,1993,16.46341
arm,1994,30.59701
arm,1995,41.24629
arm,1996,64.16667
arm,1997,56.96203
arm,1998,54.57317
arm,1999,49.82935
arm,2000,46.78363
arm,2001,44.50867
arm,2002,31.61512
arm,2003,26.91131
arm,2004,22.25434
arm,2005,23.00242
arm,2006,21.68675
arm,2007,22.5
arm,2008,19.73435
arm,2009,15.22248
arm,2010,15.55556
arm,2011,20.34261
arm,2012,26.28676
arm,2013,25.19084
arm,2014,29.69349
aus,1960,33.87224
aus,1961,34.28385
aus,1962,35.69098
aus,1963,35.58227
aus,1964,36.27099
aus,1965,36.88817
aus,1966,38.64689
