geo,time,ny_adj_aedu_cd
abw,1986,18889605.82336
abw,1987,22449999.49796
abw,1988,27488340.56773
abw,1989,32452644.96399
abw,1990,35920913.64546
abw,1991,41009362.58467
abw,1992,45014826.85814
abw,1993,50532769.98702
abw,1994,58151601.3675
abw,1995,61927722.77673
abw,1996,64625406.6992
abw,1997,71581656.93679
abw,1998,78734044.48269
abw,1999,74771121.4808
abw,2000,75737590.19459
abw,2001,87420449.84814
abw,2002,84982237.48742
abw,2003,99147212.52899
abw,2004,115687961.68349
abw,2005,105610666.57852
abw,2006,116310381.81252
abw,2007,96573513.9868
abw,2008,119073201.1158
abw,2009,133276089.3898
abw,2010,148064703.9312
abw,2011,132871173.1792
abw,2012,165994886.18011
abw,2013,175754292.8889
abw,2014,163300500.4731
abw,2015,174464022.46165
abw,2016,163841965.32911
abw,2017,167026959.98122
afg,1970,18161689.93801
afg,1971,18688866.53
afg,1972,16311089.38
afg,1973,23024416.272
afg,1974,33405361.44281
afg,1975,29013333.336
afg,1976,39607770.27193
afg,1977,42248887.772
afg,1978,51136157.47098
afg,1979,52860413.046
afg,1980,59464851.952
afg,1981,60375754.932
afg,2009,347348152.87454
afg,2010,451888201.1073
afg,2011,509167006.62724
afg,2012,442309235.92841
afg,2013,577464375.58851
afg,2014,611295312.26873
afg,2015,520962469.58176
afg,2016,471950680.43304
afg,2017,495836072.93509
afg,2018,480958390.7067
afg,2019,508272010.16464
ago,1985,320855614.992
ago,1986,447860962.593
ago,1987,354278074.887
ago,1988,334298241.99813
ago,1989,501447362.97219
ago,1990,441176470.592
ago,1991,468499207.98958
ago,1992,154550693.76326
ago,1993,143042163.9983
ago,1994,85858467.12912
ago,1995,210815317.67151
ago,1996,257568357.14393
ago,1997,297374094.22979
ago,1998,155048943.056
ago,1999,143416748.20483
ago,2000,222717170.9685
ago,2001,214983478.08025
ago,2002,387686651.838
ago,2003,444784089.0654
ago,2004,566607736.8429
ago,2005,860335000
ago,2006,1173480000
ago,2007,1614157500.00003
ago,2008,2285140000.00006
ago,2009,2103437500.00006
ago,2010,2702490000
ago,2011,3641400000
ago,2012,4212600000
ago,2013,4533900000
ago,2014,4890900000
ago,2015,3927000000
ago,2016,3423630000
ago,2017,4105500000
ago,2018,3337950000
ago,2019,2902410000
alb,1984,52095064.336
alb,1985,53156603.724
alb,1986,58727935
alb,1987,58273495
alb,1988,57440215
alb,1989,63083720
alb,1990,56746305
alb,1991,30180052.784
alb,1992,17278099.7256
alb,1993,34138033.132
alb,1994,53053042.7
alb,1995,69261077.49568
alb,1996,93000700.83465
alb,1997,65636664.94721
alb,1998,74568106.44419
alb,1999,94188678.71396
alb,2000,103579000.07032
alb,2001,118475129.92505
alb,2002,131261434.24322
alb,2003,170922545.29112
alb,2004,219181775.65919
alb,2005,246818245.7599
alb,2006,276873211.72872
alb,2007,334226993.65145
alb,2008,396876677.35805
alb,2009,366279169.02931
alb,2010,367558312.22316
alb,2011,404289186.08698
alb,2012,386187944.90407
alb,2013,413359934.76513
alb,2014,420858690.57186
alb,2015,359944575.70473
alb,2016,430652279.2183
alb,2017,431207927.34062
alb,2018,499788300.49664
alb,2019,498057828.92609
arg,1970,425548451.958
arg,1971,759709053.37754
arg,1972,615591003.96
arg,1973,896277751.118
arg,1974,1308238022.106
arg,1975,903517860.446
arg,1976,511850028.21
arg,1977,845088048.345
arg,1978,923463585.856
arg,1979,1372523302.82
arg,1980,1678304628.066
arg,1981,1457990929.25063
arg,1982,1188657439.395
arg,1983,1471082613.525
arg,1984,1799923245.48
arg,1985,1087742527.482
arg,1986,1271064000
arg,1987,1271316000
arg,1988,1402157383.44
arg,1989,772414087.962
arg,1990,1351500000
arg,1991,3862992767.735
arg,1992,6960461000
arg,1993,8414784000
arg,1994,10403463000
arg,1995,8795164132.744
arg,1996,9332680000
arg,1997,9105296978.628
arg,1998,11514733263.5359
arg,1999,12257019600
arg,2000,12726176000
arg,2001,12839724000
arg,2002,3988842928.419
arg,2003,4579704800
arg,2004,4829946000
arg,2005,6147739699.99999
arg,2006,8273928000
arg,2007,10805529600
arg,2008,14982270000
arg,2009,15519849800
arg,2010,18490416000
arg,2011,25069204748.92789
arg,2012,27749953947.9743
arg,2013,28254619452.0932
arg,2014,26250670498.44189
arg,2015,30652497768.936
arg,2016,27576652845.8638
arg,2017,31322245640.3301
arg,2018,24918405208.5367
arg,2019,21372600843.7831
arm,1990,76084762.215
arm,1991,72316663.195
arm,1992,37215680.32
arm,1993,42000462.035
arm,1994,35064059.41321
arm,1995,40324448.62526
arm,1996,27908881.504
arm,1997,31929498.59396
arm,1998,43340383.35672
arm,1999,43188788.13552
arm,2000,45823806.4363
arm,2001,51896798.39705
arm,2002,59776251.37933
arm,2003,72036935.69576
arm,2004,94501156.52769
arm,2005,132249832.58781
arm,2006,176705202.27112
arm,2007,261573904.86179
