global,time,ic_reg_cost_pc_zs
world,2003,104.86269
world,2004,93.65764
world,2005,84.61534
world,2006,80.44132
world,2007,71.13412
world,2008,56.85673
world,2009,47.15872
world,2010,45.28953
world,2011,40.17471
world,2012,35.7573
world,2013,32.83862
world,2014,28.87831
world,2015,28.15
world,2016,26.98263
world,2017,26.44579
world,2018,23.99948
world,2019,19.77539
