geo,time,ny_adj_svnx_gn_zs
abw,1995,24.30421
abw,1996,17.99707
abw,1997,17.16185
abw,1998,19.93533
abw,1999,14.35623
abw,2000,15.39221
abw,2001,11.49193
abw,2002,3.89362
abw,2003,6.71386
abw,2004,9.80158
abw,2005,-12.52318
abw,2006,5.67719
abw,2007,-7.63277
abw,2008,5.96728
abw,2009,3.92356
abw,2010,-3.23331
abw,2011,-10.47069
abw,2012,-3.43834
abw,2013,0.41518
abw,2014,4.51194
abw,2015,9.16436
abw,2016,9.6461
abw,2017,9.3806
ago,2000,-5.68271
ago,2001,-21.157
ago,2002,5.02128
ago,2003,5.14892
ago,2004,-1.54795
ago,2005,1.69422
ago,2006,5.0143
ago,2007,-1.44431
ago,2008,-14.77572
ago,2009,-5.11712
ago,2010,-2.81526
ago,2011,-1.47842
ago,2012,1.24779
ago,2013,-0.24383
ago,2014,2.60754
ago,2015,7.99722
ago,2016,7.23898
ago,2017,1.54967
ago,2018,-4.67612
ago,2019,-6.13486
alb,1984,-0.55925
alb,1985,-0.52555
alb,1986,6.90828
alb,1987,1.99336
alb,1988,-0.11954
alb,1989,0.87735
alb,1990,-4.63644
alb,1991,-37.42107
alb,1992,-42.09287
alb,1993,-5.0255
alb,1994,-9.40931
alb,1995,5.06322
alb,1996,6.15772
alb,1997,-5.23953
alb,1998,7.8403
alb,1999,5.48624
alb,2000,16.02109
alb,2001,19.44466
alb,2002,15.88116
alb,2003,16.77546
alb,2004,19.71687
alb,2005,20.63073
alb,2006,19.68432
alb,2007,12.85736
alb,2008,7.10288
alb,2009,6.50849
alb,2010,8.47558
alb,2011,6.58647
alb,2012,4.89675
alb,2013,3.27301
alb,2014,0.87687
alb,2015,0.21341
alb,2016,1.27514
alb,2017,0.41873
alb,2018,0.85255
alb,2019,-2.04803
arg,1976,25.59417
arg,1977,25.36066
arg,1978,22.19248
arg,1979,15.68894
arg,1980,12.53312
arg,1981,9.54395
arg,1982,9.86786
arg,1983,10.55873
arg,1984,9.54906
arg,1985,8.71263
arg,1986,7.73317
arg,1987,7.43803
arg,1988,9.91916
arg,1989,2.09767
arg,1990,5.87095
arg,1991,5.82824
arg,1992,6.9031
arg,1993,9.32381
arg,1994,8.51755
arg,1995,7.45591
arg,1996,8.71598
arg,1997,7.4725
arg,1998,7.73106
arg,1999,4.11555
arg,2000,4.19048
arg,2001,4.21109
arg,2002,4.6898
arg,2003,7.36629
arg,2004,-0.12956
arg,2005,0.18009
arg,2006,8.96989
arg,2007,11.5307
arg,2008,10.46714
arg,2009,7.89716
arg,2010,7.025
arg,2011,7.23432
arg,2012,5.46808
arg,2013,4.2792
arg,2014,4.59121
arg,2015,4.93919
arg,2016,5.05017
arg,2017,4.94499
arg,2018,4.67534
arg,2019,5.26186
arm,1995,-17.13381
arm,1996,-13.78701
arm,1997,-12.58581
arm,1998,-14.59955
arm,1999,-12.83846
arm,2000,-17.43171
arm,2001,-10.85843
arm,2002,-6.2709
arm,2003,0.93949
arm,2004,5.34459
arm,2005,10.5025
arm,2006,15.85251
arm,2007,16.31465
arm,2008,16.65099
arm,2009,3.11956
arm,2010,0.77864
arm,2011,-1.09763
arm,2012,1.94805
arm,2013,2.46312
arm,2014,0.99038
arm,2015,5.25254
arm,2016,4.46637
arm,2017,3.83439
arm,2018,1.56546
arm,2019,-3.78192
aus,1989,11.46403
aus,1990,9.24253
aus,1991,6.03956
aus,1992,3.43257
aus,1993,6.12154
aus,1994,8.01502
aus,1995,6.83788
aus,1996,7.85385
aus,1997,8.34435
aus,1998,7.95674
aus,1999,6.84842
aus,2000,6.26968
aus,2001,6.05453
aus,2002,7.35288
aus,2003,7.35792
aus,2004,7.84036
aus,2005,6.46457
aus,2006,6.64378
aus,2007,5.82191
aus,2008,6.085
aus,2009,9.32124
aus,2010,7.37559
aus,2011,8.72813
aus,2012,10.35764
aus,2013,9.69602
aus,2014,8.21428
aus,2015,7.26365
aus,2016,5.29879
aus,2017,6.5913
aus,2018,5.97055
aus,2019,6.36793
aut,2005,13.78776
aut,2006,14.64288
aut,2007,16.36208
aut,2008,16.5185
aut,2009,12.37919
aut,2010,13.06894
aut,2011,13.56238
aut,2012,12.75651
aut,2013,12.22877
aut,2014,12.61046
aut,2015,12.42914
aut,2016,13.84141
aut,2017,12.92403
aut,2018,13.40214
aut,2019,14.57287
aze,1998,-22.72213
aze,1999,-25.94121
aze,2000,-31.61456
aze,2001,-19.56713
aze,2002,-9.0267
aze,2003,-2.55961
aze,2004,-0.61056
aze,2005,8.7171
aze,2006,11.18549
aze,2007,15.39403
aze,2008,19.0884
aze,2009,17.10687
aze,2010,18.62736
aze,2011,20.56939
aze,2012,20.30668
aze,2013,22.1046
aze,2014,21.08814
aze,2015,12.6742
aze,2016,5.49132
aze,2017,8.73719
aze,2018,7.52644
aze,2019,6.05564
bdi,1985,-8.99005
bdi,1986,-12.76363
bdi,1987,-8.26499
bdi,1988,-14.6662
bdi,1989,-9.2585
bdi,1990,-17.24298
bdi,1991,-12.96669
bdi,1992,-20.75731
bdi,1993,-13.90151
bdi,1994,-22.94474
bdi,1995,-29.38758
bdi,1996,-37.7402
bdi,1997,-30.34793
bdi,1998,-38.48155
bdi,1999,-26.03423
bdi,2000,-26.80227
bdi,2001,-31.31902
bdi,2002,-33.93862
bdi,2003,-47.59866
bdi,2004,-38.17805
bdi,2005,-24.55129
bdi,2006,-27.08086
bdi,2007,-35.52155
bdi,2008,-44.10729
bdi,2009,-29.28842
bdi,2010,-28.33656
bdi,2011,-31.18194
bdi,2012,-14.66447
bdi,2013,-20.99623
bdi,2014,-23.88725
bdi,2015,-11.85139
bdi,2016,-18.76434
bdi,2017,-18.51017
bdi,2018,-16.45205
bel,2002,14.08445
bel,2003,13.40646
bel,2004,14.6794
bel,2005,14.61426
bel,2006,14.80482
bel,2007,15.75095
bel,2008,13.87789
bel,2009,11.10883
bel,2010,11.45025
bel,2011,9.68468
bel,2012,10.63998
bel,2013,10.05101
bel,2014,10.67207
bel,2015,11.34733
bel,2016,11.30921
bel,2017,11.65672
bel,2018,11.30472
bel,2019,11.64643
ben,1974,9.80504
ben,1975,8.70191
ben,1976,8.38723
ben,1977,11.11903
ben,1978,7.62787
ben,1979,9.42883
ben,1980,0.94897
ben,1981,-6.0067
ben,1982,8.705
ben,1983,2.66296
ben,1984,1.00547
ben,1985,-3.73625
ben,1986,-1.34474
ben,1987,-2.08373
ben,1988,-5.54321
ben,1989,-3.54278
ben,1990,1.25798
ben,1991,1.69139
ben,1992,-2.36782
ben,1993,-2.82187
ben,1994,-2.6374
ben,1995,-2.31896
ben,1996,-3.96166
ben,1997,-2.63937
ben,1998,-3.02885
ben,1999,-4.46149
ben,2000,-3.299
ben,2001,-2.21459
ben,2002,-1.29475
ben,2003,-3.35522
ben,2004,-0.16987
ben,2005,-0.5039
ben,2006,-0.82793
ben,2007,0.50332
ben,2008,-0.42658
ben,2009,-1.99704
ben,2010,-1.80885
ben,2011,-0.49407
ben,2012,1.99407
ben,2013,6.27442
ben,2014,8.6476
ben,2015,2.1998
ben,2016,5.59624
ben,2017,5.15351
ben,2018,8.52191
ben,2019,10.34099
bfa,2005,-0.6243
bfa,2006,-1.14918
bfa,2007,0.16829
bfa,2008,-1.22849
bfa,2009,-0.3085
bfa,2010,3.17824
bfa,2011,3.94531
bfa,2012,5.07837
bfa,2013,2.62414
bfa,2014,1.94825
bfa,2015,-0.25101
bfa,2016,1.84573
bfa,2017,2.75962
bfa,2018,7.82362
bfa,2019,9.19712
bgd,1976,-9.2077
bgd,1977,0.31459
bgd,1978,-3.31763
bgd,1979,-0.99979
bgd,1980,0.27799
bgd,1981,13.06976
bgd,1982,15.18972
bgd,1983,14.84127
bgd,1984,8.44703
bgd,1985,13.87556
bgd,1986,15.07062
bgd,1987,14.9039
bgd,1988,14.30098
bgd,1989,14.62849
bgd,1990,15.22525
bgd,1991,14.62713
bgd,1992,13.97626
bgd,1993,13.08612
bgd,1994,14.46303
bgd,1995,14.09601
bgd,1996,15.21816
bgd,1997,16.46942
bgd,1998,18.03777
bgd,1999,18.53858
bgd,2000,19.48617
bgd,2001,19.81135
bgd,2002,21.81132
bgd,2003,21.73428
bgd,2004,22.87187
bgd,2005,23.53596
bgd,2006,24.99061
bgd,2007,26.0552
bgd,2008,26.81286
bgd,2009,28.04761
bgd,2010,28.03896
bgd,2011,27.33818
bgd,2012,29.46384
bgd,2013,28.92511
bgd,2014,27.15188
bgd,2015,26.17234
bgd,2016,26.80884
bgd,2017,25.1695
bgd,2018,23.0713
bgd,2019,25.0583
bgr,1980,16.70806
bgr,1981,23.00809
bgr,1982,20.80909
bgr,1983,18.78194
bgr,1984,20.57834
bgr,1985,16.55499
bgr,1986,17.87342
bgr,1987,17.23168
bgr,1988,17.68632
bgr,1989,13.46056
bgr,1990,-0.39052
bgr,1991,0.57777
bgr,1992,-2.67139
bgr,1993,-11.87141
bgr,1994,-6.71625
bgr,1995,18.21233
bgr,1996,-1.33263
bgr,1997,10.70175
bgr,1998,12.65499
bgr,1999,1.62634
bgr,2000,-2.31243
bgr,2001,-0.1867
bgr,2002,2.36911
bgr,2003,1.53851
bgr,2004,0.9539
bgr,2005,2.1577
bgr,2006,0.20309
bgr,2007,-4.62272
bgr,2008,3.33684
bgr,2009,7.29106
bgr,2010,7.26079
bgr,2011,8.86569
bgr,2012,8.96717
bgr,2013,11.62298
bgr,2014,9.92724
bgr,2015,8.91648
bgr,2016,11.0884
bgr,2017,12.38514
bgr,2018,10.93467
bgr,2019,12.86396
bhr,1980,36.39043
bhr,1981,40.29538
bhr,1982,36.45812
bhr,1983,35.00367
bhr,1984,29.04524
bhr,1985,9.87449
bhr,1986,3.70547
bhr,1987,6.12649
bhr,1988,17.66846
bhr,1989,7.54653
bhr,1990,18.48527
bhr,1991,1.30075
bhr,1992,-1.90326
bhr,1993,-3.39963
bhr,1994,2.60184
bhr,1995,4.87024
bhr,1996,4.72574
bhr,1997,2.90011
bhr,1998,-4.86018
bhr,1999,-7.34038
bhr,2000,12.29456
bhr,2001,5.12129
bhr,2002,10.66567
bhr,2003,13.82883
bhr,2004,13.099
bhr,2005,25.23944
bhr,2006,31.46314
bhr,2007,36.84112
bhr,2008,33.48851
bhr,2009,19.12253
bhr,2010,21.04045
bhr,2011,16.18147
bhr,2012,24.96385
bhr,2013,20.84854
bhr,2014,19.3737
bhr,2015,12.52296
bhr,2016,15.88395
bhr,2017,19.71348
bhr,2018,20.16929
bhs,1980,11.63633
bhs,1981,10.21318
bhs,1982,17.39443
bhs,1983,19.4673
bhs,1984,11.83973
bhs,1985,15.85602
bhs,1986,15.15839
bhs,1987,16.08363
bhs,1989,18.1632
bhs,1990,17.11903
bhs,1991,12.87215
bhs,1992,17.4086
bhs,1993,14.81761
bhs,1994,13.43888
bhs,1995,25.84101
bhs,1996,31.32813
bhs,1997,27.28556
bhs,1998,26.04129
bhs,1999,31.55439
bhs,2000,29.9278
bhs,2001,26.19409
bhs,2002,29.57495
bhs,2003,28.32665
bhs,2004,29.50913
bhs,2005,27.06115
bhs,2006,23.41853
bhs,2007,24.89125
bhs,2008,23.00011
bhs,2009,21.86229
bhs,2010,19.86448
bhs,2011,17.34957
bhs,2012,19.14069
bhs,2013,19.40119
bhs,2014,16.24972
bhs,2015,16.27492
bhs,2016,20.99754
bhs,2017,15.9298
bhs,2018,14.85652
bhs,2019,26.60598
blr,1993,7.90185
blr,1994,2.69837
blr,1995,2.02496
blr,1996,0.696
blr,1997,3.32029
blr,1998,3.96326
blr,1999,1.66063
blr,2000,4.76107
blr,2001,2.07013
blr,2002,2.01226
blr,2003,5.17911
blr,2004,9.68686
blr,2005,11.66541
blr,2006,14.02465
blr,2007,13.44546
blr,2008,15.2695
blr,2009,10.84046
blr,2010,11.17192
blr,2011,14.7589
blr,2012,14.81823
blr,2013,12.52485
blr,2014,11.69834
blr,2015,12.69869
blr,2016,10.048
blr,2017,11.34427
blr,2018,12.56151
blr,2019,10.77662
blz,1984,44.45329
blz,1985,42.27877
blz,1986,46.27806
blz,1987,48.07341
blz,1988,45.23263
blz,1989,45.85465
blz,1990,49.49602
blz,1991,45.15058
blz,1992,15.61798
blz,1993,16.67197
blz,1994,13.85119
blz,1995,15.25988
blz,1996,11.77134
blz,1997,10.65164
blz,1998,8.80606
blz,1999,7.67976
blz,2000,3.16088
blz,2001,-6.32119
blz,2002,-7.74573
blz,2003,-9.6871
blz,2004,-8.39103
blz,2005,-4.59468
blz,2006,1.63409
blz,2007,-2.57716
blz,2008,-2.80976
blz,2009,-3.05695
blz,2010,-6.45931
blz,2011,-5.0816
blz,2012,-3.3938
