global,time,sl_emp_mpyr_fe_zs
world,1991,1.1535
world,1992,1.13598
world,1993,1.13272
world,1994,1.15136
world,1995,1.14728
world,1996,1.13926
world,1997,1.15725
world,1998,1.16061
world,1999,1.19602
world,2000,1.17994
world,2001,1.18723
world,2002,1.18456
world,2003,1.18264
world,2004,1.20732
world,2005,1.22461
world,2006,1.24105
world,2007,1.25843
world,2008,1.2834
world,2009,1.30732
world,2010,1.28808
world,2011,1.28872
world,2012,1.32106
world,2013,1.33626
world,2014,1.33765
world,2015,1.36556
world,2016,1.39203
world,2017,1.40796
world,2018,1.4375
world,2019,1.4402
