global,time,ne_dab_totl_kd
world,1970,19360469903105.30078
world,1971,20120845683274.5
world,1972,21210556653846.10156
world,1973,22511233083936
world,1974,22828823858027
world,1975,22983034254194.89453
world,1976,24210314068159.30078
world,1977,25009439113802.19922
world,1978,25964884007178.30078
world,1979,26972099600144.89453
world,1980,27377871774161.19922
world,1981,27682496173894.39844
world,1982,27757559824748.69531
world,1983,28980825642604
world,1984,30454079595996.39844
world,1985,31880761426454.5
world,1986,32948723206969.89453
world,1987,33817796806572.80078
world,1988,34481943681284.80078
world,1989,35805897497916.5
world,1990,37213166063630.89844
world,1991,37309961602902.60156
world,1992,37830106934760.70312
world,1993,38270642477703.60156
world,1994,39666377158716.20312
world,1995,40686981145273.10156
world,1996,41603984771560.60156
world,1997,42958118264636.60156
world,1998,43725679261638.39844
world,1999,45228748799929.79688
world,2000,47134340192599.29688
world,2001,48132556149972.89844
world,2002,49946602893815.10156
world,2003,50894106152291.60156
world,2004,53643509105273.69531
world,2005,55715917424220.20312
world,2006,58294348324170.09375
world,2007,61653564553799.60156
world,2008,62791094479435.69531
world,2009,62012297576671.10156
world,2010,64758238637162.79688
world,2011,66918589475661.39844
world,2012,68382186687890.89844
world,2013,70215325067362.79688
world,2014,72387069131677.70312
world,2015,74495697440013.79688
world,2016,76531366558262.70312
world,2017,79210367095216.89062
world,2018,82002380789140.5
world,2019,84289180413335.90625
world,2020,81354946542452.5
