geo,time,se_enr_prim_fm_zs
abw,1999,0.98157
abw,2000,0.96687
abw,2001,0.9694
abw,2002,0.94776
abw,2003,0.9315
abw,2004,0.92341
abw,2005,0.93803
abw,2006,0.95547
abw,2007,0.95611
abw,2008,0.96079
abw,2009,0.97128
abw,2010,0.98696
abw,2011,0.97171
abw,2012,1.02508
abw,2013,0.9781
abw,2014,0.96864
afg,1970,0.16919
afg,1971,0.16453
afg,1972,0.16825
afg,1973,0.17596
afg,1974,0.17467
afg,1975,0.18308
afg,1976,0.18906
afg,1977,0.19827
afg,1978,0.20467
afg,1980,0.22998
afg,1981,0.23702
afg,1982,0.50285
afg,1984,0.47464
afg,1985,0.48543
afg,1986,0.54328
afg,1988,0.50193
afg,1989,0.52874
afg,1990,0.5485
afg,1991,0.54788
afg,1993,0.35307
afg,1994,0.5058
afg,1995,0.51505
afg,1999,0.0849
afg,2000,0
afg,2001,0
afg,2002,0.45693
afg,2003,0.5622
afg,2004,0.43282
afg,2005,0.58334
afg,2006,0.62357
afg,2007,0.61379
afg,2008,0.63642
afg,2009,0.6575
afg,2010,0.67981
afg,2011,0.71258
afg,2012,0.72026
afg,2013,0.70286
afg,2014,0.69825
afg,2015,0.68081
afg,2016,0.67937
afg,2017,0.67617
afg,2018,0.66691
afg,2019,0.67169
ago,1971,0.62011
ago,1972,0.63192
ago,1982,0.87
ago,1983,0.82686
ago,1986,0.81748
ago,1987,0.8144
ago,1988,0.7951
ago,1989,0.83237
ago,1990,0.91347
ago,1991,0.91345
ago,1992,0.85863
ago,1998,0.82797
ago,2008,0.84569
ago,2009,0.83605
ago,2010,0.79943
ago,2011,0.62922
ago,2015,0.87413
alb,1976,0.94486
alb,1978,0.95587
alb,1979,0.95563
alb,1980,0.96757
alb,1981,0.96412
alb,1982,0.9723
alb,1983,0.98839
alb,1984,0.97296
alb,1985,0.98444
alb,1986,0.99151
alb,1987,0.97686
alb,1988,1.00966
alb,1989,1.00604
alb,1990,1.00459
alb,1991,1.00398
alb,1992,1.01642
alb,1993,1.03497
alb,1994,0.98764
alb,1995,0.96867
alb,1996,0.97385
alb,1997,0.96628
alb,1998,0.96947
alb,1999,0.98146
alb,2000,0.99717
alb,2001,1.01539
alb,2002,0.99434
alb,2003,1.00944
alb,2004,1.0135
alb,2005,1.00536
alb,2006,1.00844
alb,2007,1.00776
alb,2008,1.00249
alb,2009,0.99718
alb,2010,1.00642
alb,2011,1.01557
alb,2012,1.01601
alb,2013,1.02221
alb,2014,1.03682
alb,2015,1.0313
alb,2016,1.03555
alb,2017,1.03224
alb,2018,1.03765
alb,2019,1.02963
alb,2020,1.02746
and,1975,1.07822
and,1983,0.96219
are,1971,0.68551
are,1972,0.6648
are,1973,0.73183
are,1974,0.79601
are,1975,0.83711
are,1976,0.90042
are,1977,0.94163
are,1978,0.96708
are,1979,0.98851
are,1980,0.97759
are,1981,0.95614
are,1982,0.95591
are,1983,0.95485
are,1984,0.95451
are,1985,0.95313
are,1986,0.96909
are,1987,0.95844
are,1988,0.94853
are,1989,0.94657
are,1990,0.95139
are,1991,0.96156
are,1992,0.97003
are,1993,0.98532
are,1994,0.98301
are,1995,0.97933
are,1996,0.98668
are,1997,0.98152
are,1998,0.99018
are,2007,1.00955
are,2012,1.01858
are,2013,1.02782
are,2014,1.01874
are,2015,1.00174
are,2016,0.96452
are,2017,0.98093
are,2019,1.00199
are,2020,1.00943
arg,1970,1.00583
arg,1971,0.99948
arg,1972,0.99067
arg,1973,0.99154
arg,1974,0.98463
arg,1975,0.98534
arg,1976,0.98519
arg,1977,0.98846
arg,1978,1.00229
arg,1979,0.98963
arg,1980,0.99055
arg,1981,0.98652
arg,1982,0.98169
arg,1984,0.98736
arg,1985,0.99404
arg,1986,0.98238
arg,1987,0.99195
arg,1988,1.0446
arg,1990,0.9835
arg,1991,0.98496
arg,1996,0.98439
arg,1997,0.99446
arg,1998,0.98545
arg,1999,0.9964
arg,2000,0.99104
arg,2001,0.99237
arg,2002,0.99312
arg,2003,0.99286
arg,2004,0.99111
arg,2005,0.99062
arg,2006,0.99409
arg,2007,0.99701
arg,2008,0.99593
arg,2009,0.99545
arg,2010,0.98741
arg,2011,0.98824
arg,2012,0.98823
arg,2013,0.99157
arg,2014,0.99794
arg,2015,0.99881
arg,2016,0.99764
arg,2017,0.99797
arg,2018,1.00102
arg,2019,1.00193
arm,1991,1.03887
arm,1992,1.02017
arm,1993,1.01905
arm,1994,1.02877
arm,1995,1.02327
arm,1996,1.03398
arm,1997,1.07293
arm,1999,1.11516
arm,2000,1.01329
arm,2001,1.02198
arm,2002,1.00306
arm,2003,0.999
arm,2004,1.00564
arm,2005,1.01828
arm,2006,1.02489
arm,2007,1.02208
arm,2008,1.02098
arm,2009,1.0329
arm,2010,1.03138
arm,2011,1.01835
arm,2012,1.0133
arm,2013,1.01253
arm,2014,1.01302
arm,2015,1.01521
arm,2016,1.0089
