geo,time,si_spr_pcap_zg
alb,2017,6.96
are,2018,1.84
arg,2020,-5.08
arm,2018,2.4
aus,2010,4.61
aut,2019,1.14
bel,2019,1.41
ben,2015,0.07
bfa,2014,2.93
bgd,2016,1.54
bgr,2019,9.25
blr,2019,0.23
bol,2020,-0.18
bra,2019,0.13
btn,2017,1.67
bwa,2015,-3.3
can,2017,1.17
che,2018,0.08
chl,2020,2.5
chn,2019,6.28
civ,2015,-0.22
cmr,2014,3.84
cod,2012,9.83
cog,2011,4.65
col,2020,-3.31
cri,2020,-2.26
cyp,2019,3.11
cze,2019,4.13
deu,2018,1.8
dnk,2019,1.23
dom,2016,4.25
ecu,2020,-2.57
egy,2017,-1.13
esp,2019,2.62
est,2019,6.1
eth,2015,2.14
fin,2019,1.49
fji,2013,-0.51
fra,2018,0.77
gbr,2017,2.66
geo,2020,-1.5
gha,2016,1.27
gin,2012,4.94
gmb,2015,-0.46
grc,2019,3.04
hnd,2019,0.64
hrv,2019,6.21
hun,2019,6.12
idn,2019,3.8
ind,2011,3.69
irl,2018,4.7
irn,2019,-1.38
irq,2012,1.11
isl,2017,5.26
isr,2018,2.83
ita,2018,1.33
jor,2010,5.77
kaz,2018,-0.23
kgz,2020,1.14
kor,2016,2.25
kos,2017,1.89
lao,2018,3.07
lka,2016,4.12
ltu,2019,8.2
lux,2019,1.34
lva,2019,6.71
mda,2019,1.18
mdg,2012,-2.27
mex,2020,-0.68
mkd,2018,4.93
mli,2009,-1.49
mlt,2019,3.74
mmr,2017,1.28
mne,2018,1.9
mng,2018,-3.15
moz,2014,5.36
mrt,2014,1.56
mus,2017,2.02
mwi,2019,-6.11
mys,2015,4.97
nam,2015,6.64
ner,2014,3.26
nic,2014,6.52
nld,2019,2.81
nor,2019,0.36
npl,2010,4.68
pak,2018,1.25
pan,2019,4.47
per,2020,-3.44
phl,2018,3.35
pol,2018,5.01
prt,2019,4.16
pry,2020,-1.98
pse,2016,-0.55
rou,2019,13.43
rus,2020,-0.47
rwa,2016,-0.14
sen,2011,0.27
sle,2018,2.86
slv,2019,4.02
srb,2017,1.48
svk,2019,2.9
svn,2019,2.82
swe,2019,1.58
swz,2016,6.14
syc,2018,-1.57
tgo,2015,0.62
tha,2019,0.08
tjk,2015,2.67
ton,2015,0.6
tun,2015,3.38
tur,2019,1.47
tza,2018,0.92
uga,2019,-0.26
ukr,2020,4.12
ury,2019,0
usa,2019,4.27
vnm,2018,6.46
zaf,2014,-1.23
zmb,2015,2.93
zwe,2017,-3.5
