global,time,ne_gdi_totl_kd_zg
world,1996,-0.64085
world,1997,4.09494
world,1998,-2.58452
world,1999,1.87513
world,2000,4.94231
world,2001,-1.13159
world,2002,7.31679
world,2003,-0.88186
world,2004,12.62475
world,2005,4.42017
world,2006,8.47759
world,2007,11.25182
world,2008,1.26557
world,2009,-7.78005
world,2010,9.76001
world,2011,5.48362
world,2012,2.24703
world,2013,3.5853
world,2014,4.57438
world,2015,3.06617
world,2016,2.54423
world,2017,5.04456
world,2018,4.4436
world,2019,3.17204
world,2020,-3.07659
