geo,time,sl_slf_0714_ma_zs
alb,2010,5.21
arg,2004,38.03
arg,2012,9.52
aze,2005,5.5
bfa,2006,1.59
bgd,2013,14.78
bol,2009,2.53
bol,2013,1.03
bol,2015,2.23
bra,2011,6.11
bra,2013,7.75
bra,2014,4.87894
bra,2015,8.42
cmr,2007,3.15
col,2009,18.26
col,2012,18.77
col,2014,13.4
col,2015,16.21
cri,2011,6.1
cri,2016,5.54
dom,2009,23
dom,2012,35.25
ecu,2011,4.28
ecu,2015,0.31
gha,2012,1.39
gin,2010,3.12
gmb,2015,4.03
gtm,2006,1.28
gtm,2012,1.5
gtm,2014,0.58
gtm,2015,1.40808
hnd,2007,3.1
hnd,2011,6.67
hnd,2013,6.31
hnd,2014,6.86
idn,2010,3.24
ind,2010,5.32
ind,2012,4.16
jor,2007,3.78
jor,2016,5.98
kgz,2007,1.34
kgz,2014,2.88463
khm,2009,10.22
khm,2012,2.59
lao,2010,14.65
lbr,2010,17.92
lka,2009,3.23
mda,2009,1.49
mdg,2007,0.1
mex,2011,2.37
mex,2013,3.33
mli,2007,10.76
mng,2007,5.37
mng,2012,2.68
mwi,2015,10.76
nam,1999,0.2
ner,2006,5.9
ner,2009,6.7
nic,2005,1.45
nic,2010,5.9
nic,2012,9.16
npl,1999,4.1
npl,2008,5.17
pak,2011,6.93
pan,2008,13.27
pan,2010,16.41
pan,2012,15.11
pan,2014,13.84
per,2007,4.41
phl,2001,4.6
phl,2011,5.73
pry,2005,9.7
pry,2014,11.56
rou,2000,6.16
rwa,2008,17.81
rwa,2011,11.1
sdn,2008,20.17
sen,2011,2.89
slv,2011,3.69
slv,2012,3.07
slv,2013,2.76
ssd,2008,15.89
tgo,2010,8.01
tto,2006,10.81
tur,2006,2.29
tza,2006,54.32
tza,2011,9.5
tza,2014,1.82
uga,2006,1.46
uga,2012,10.5
ury,2009,12.18
ven,2006,33.55
ven,2013,30.41
vnm,2012,9.9
yem,2010,4.16
zaf,1999,5.62
zmb,2008,2.76
zwe,1999,4.17
