global,time,sl_agr_empl_zs
world,1991,43.67545
world,1992,43.41947
world,1993,42.70103
world,1994,41.95841
world,1995,41.05779
world,1996,40.39365
world,1997,40.01475
world,1998,39.98468
world,1999,40.01028
world,2000,39.85919
world,2001,39.52912
world,2002,39.32631
world,2003,38.85925
world,2004,37.81601
world,2005,36.92764
world,2006,35.78229
world,2007,34.829
world,2008,34.23569
world,2009,33.67374
world,2010,32.99978
world,2011,32.02612
world,2012,31.13702
world,2013,30.32048
world,2014,29.40256
world,2015,28.80945
world,2016,28.28339
world,2017,27.75001
world,2018,27.1552
world,2019,26.69138
