global,time,dc_dac_ausl_cd
world,1965,109260002.13623
world,1966,114819999.69482
world,1967,142839996.33789
world,1968,147069992.06543
world,1969,158169998.16895
world,1970,190070007.32422
world,1971,191139999.38965
world,1972,253789993.28613
world,1973,263339996.33789
world,1974,390949981.68945
world,1975,438149993.89648
world,1976,317929992.67578
world,1977,349459991.45508
world,1978,420200012.20703
world,1979,468230010.98633
world,1980,491589996.33789
world,1981,548659973.14453
world,1982,566929992.67578
world,1983,537299987.79297
world,1984,609789978.02734
world,1985,536770019.53125
world,1986,515000000
world,1987,536599975.58594
world,1988,625619995.11719
world,1989,709530029.29688
world,1990,762760009.76562
world,1991,728690002.44141
world,1992,745270019.53125
world,1993,718669982.91016
world,1994,829320007.32422
world,1995,932460021.97266
world,1996,859150024.41406
world,1997,779859985.35156
world,1998,754419982.91016
world,1999,734799987.79297
world,2000,761799987.79297
world,2001,669359985.35156
world,2002,788950012.20703
world,2003,992679992.67578
world,2004,1209290039.0625
world,2005,1457170043.94531
world,2006,1813170043.94531
world,2007,2290270019.53125
world,2008,2680169921.875
world,2009,2331260009.76563
world,2010,3309939941.40625
world,2011,4336250000
world,2012,4556459960.9375
world,2013,4173649902.34375
world,2014,3514959960.9375
world,2015,2777870117.1875
world,2016,2306359863.28125
world,2017,2437639892.57813
world,2018,2575090087.89063
world,2019,2248550048.82813
