global,time,en_atm_meth_eg_zs
world,1970,28.03564
world,1971,28.7392
world,1972,28.29915
world,1973,29.1879
world,1974,29.5122
world,1975,29.18269
world,1976,29.68819
world,1977,29.49323
world,1978,30.24827
world,1979,30.22341
world,1980,29.67914
world,1981,29.50754
world,1982,28.1161
world,1983,29.29357
world,1984,30.65556
world,1985,30.9944
world,1986,30.90734
world,1987,30.16009
world,1988,32.22525
world,1989,32.30093
world,1990,35.57295
world,1991,34.89612
world,1992,34.15585
world,1993,33.78779
world,1994,32.85629
world,1995,32.67306
world,1996,32.98241
world,1997,33.33857
world,1998,33.2699
world,1999,33.36976
world,2000,33.78143
world,2001,34.55373
world,2002,34.92078
world,2003,35.85941
world,2004,36.23937
world,2005,36.51682
world,2006,37.15793
world,2007,37.58632
world,2008,38.26915
