global,time,gc_tax_intt_rv_zs
world,1998,4.73101
world,2002,4.51137
world,2003,5.27359
world,2004,5.17079
world,2005,4.6789
world,2006,4.11825
world,2007,4.12097
world,2008,3.75451
world,2009,3.65493
world,2010,3.64267
world,2011,3.55024
world,2012,3.64276
world,2013,3.02736
world,2014,2.95044
world,2015,3.39186
world,2016,3.38524
world,2017,3.21508
world,2018,2.93411
world,2019,2.41245
