geo,time,sl_agr_0714_zs
alb,2010,83.85
aze,2005,91.7
bfa,2006,70.86
bgd,2003,62.1
bgd,2013,39.34
blz,2001,54.66424
bol,2008,73.2
bol,2009,70.94
bol,2013,79.74
bol,2015,74.5
bra,2007,55.5
bra,2008,54.7
bra,2009,51.72
bra,2011,56.27
bra,2013,56.66
bra,2014,55.41648
bra,2015,56.07
chl,2003,24.14
chl,2012,29.4
cmr,2001,88.21
cmr,2007,88.52
col,2007,41.15
col,2009,45.85
col,2012,39.35
col,2014,39.69
col,2015,43.33
cri,2004,40.25
cri,2011,45.64
cri,2016,36.6
dom,2005,18.52
dom,2009,30.02
dom,2012,23.45
ecu,2006,69.28
ecu,2009,70.65
ecu,2011,70.29
ecu,2015,79.35
egy,2009,53.17
eth,2005,94.61
gha,2012,78.05
gin,2010,75.78
gmb,2015,94.65
gtm,2006,63.66
gtm,2012,67.08
gtm,2014,64.88
gtm,2015,58.91748
hnd,2004,63.4
hnd,2007,61.63
hnd,2011,71.68
hnd,2013,65.47
hnd,2014,57.9
idn,2009,57.85
idn,2010,61.59
ind,2000,73.3
ind,2005,69.35
ind,2010,69.41
ind,2012,56.45
jor,2007,40.05
jor,2016,42.73
ken,1999,81.27778
kgz,1998,94.53165
kgz,2007,98.11
kgz,2014,98.94045
khm,2001,76.08
khm,2004,82.3
khm,2009,84.59
khm,2012,61.95
lao,2010,95.07
lbr,2010,77.63
lka,1999,71.23
lka,2009,66.49
lso,2002,58
mar,1999,60.56
mar,2004,55.49
mda,2009,97.23
mdg,2001,93.97
mdg,2007,87.62
mex,2007,36.7
mex,2009,38.17
mex,2010,36.58
mex,2011,34.71
mex,2013,34.45
mli,2005,83
mli,2007,72.37
mng,2007,91.25
mng,2012,85.04
mwi,2015,71.2
nam,1999,91.48
ner,2009,14.43
nga,2010,85.18
nic,2001,62.40517
nic,2005,70.46
nic,2010,57.83
nic,2012,53.87
npl,1999,87.01
npl,2008,88.97
pak,2008,75.37
pak,2011,76.05
pan,2008,73.3
pan,2010,73.3
pan,2012,65.77
pan,2014,69.82
per,2007,62.61
phl,2001,64.3
phl,2011,54.45
prt,2001,48.48
pry,2005,60.82
pry,2014,56.1
rou,2000,97.07
rwa,2008,85.49
rwa,2011,73.18
rwa,2014,68.99
sdn,2008,67.53
sen,2005,79.06
sen,2011,85.6
sle,2007,83.78
slv,2003,51.02573
slv,2007,50.07
slv,2009,56.06
slv,2011,55.7
slv,2012,54.54
slv,2013,51.14
ssd,2008,60.18
tgo,2006,82.91
tgo,2010,72.16
tls,2001,91.8
tls,2007,97.59
tur,1999,65.40579
tur,2006,57.06
tza,2001,78.46251
tza,2006,85.3
tza,2014,94.95
uga,2006,95.48
uga,2012,95.29
ury,2009,28.53
ven,2003,25.90005
ven,2006,32.34
ven,2013,31.77
vnm,2012,77.14
yem,1999,92.04
yem,2010,70.41
zmb,2005,95.91
zmb,2008,91.9
