global,time,en_co2_etot_zs
world,1960,28.56407
world,1961,29.12824
world,1962,29.41552
world,1963,29.58479
world,1964,30.20605
world,1965,30.60735
world,1966,31.03486
world,1967,30.29979
world,1968,30.84425
world,1969,31.7233
world,1970,32.98823
world,1971,31.84789
world,1972,32.46948
world,1973,33.3439
world,1974,33.81893
world,1975,33.62812
world,1976,34.23302
world,1977,34.62054
world,1978,34.59481
world,1979,34.87726
world,1980,36.19787
world,1981,36.53524
world,1982,36.85776
world,1983,37.27456
world,1984,37.21752
world,1985,37.68464
world,1986,37.9985
world,1987,38.27876
world,1988,38.48598
world,1989,39.72427
world,1990,43.31695
world,1991,43.7622
world,1992,44.81106
world,1993,44.79137
world,1994,45.10283
world,1995,44.79691
world,1996,45.54787
world,1997,45.81171
world,1998,46.50115
world,1999,46.51968
world,2000,47.07547
world,2001,47.40627
world,2002,47.83936
world,2003,48.39679
world,2004,47.77862
world,2005,48.14885
world,2006,48.56316
world,2007,48.817
world,2008,48.43213
world,2009,48.29077
world,2010,48.76675
world,2011,49.28578
world,2012,49.46727
world,2013,49.37473
world,2014,49.0402
