geo,time,sl_uem_neet_ma_zs
abw,2010,17.4
afg,2014,5.8
afg,2017,18.25
afg,2020,32.16
ago,2004,22.37
ago,2009,20.26
ago,2011,7.61
ago,2014,21.71
alb,2007,30.84
alb,2008,25.34
alb,2009,25.13
alb,2010,25.69
alb,2011,27.65
alb,2012,25.96
alb,2013,29.82
alb,2014,30.17
alb,2015,28.48
alb,2016,27.19
alb,2017,25.08
alb,2018,25.53
alb,2019,26.2
arg,2004,16.1
arg,2005,15.32
arg,2006,14.25
arg,2008,14.52
arg,2009,15.8
arg,2010,14.73
arg,2011,13.89
arg,2012,13.78
arg,2013,14.38
arg,2014,15.14
arg,2017,15.78
arg,2018,15.53
arg,2019,16.83
arg,2020,21
arm,2009,40.19
arm,2011,44.78
arm,2012,34.33
arm,2013,46.43
arm,2014,37.52
arm,2015,36.35
arm,2016,35.39
arm,2017,35.72
arm,2018,28.32
arm,2019,28.07
arm,2020,26.99
aus,2009,10.29
aus,2010,10.8
aus,2011,9.48
aus,2012,9.44
aus,2013,10.22
aus,2014,9.73
aus,2015,9.45
aus,2016,8.42
aus,2017,8.89
aut,2004,9.79
aut,2005,8.41
aut,2006,7.49
aut,2007,6.99
aut,2008,6.8
aut,2009,7.71
aut,2010,7.16
aut,2011,7.31
aut,2012,6.64
aut,2013,7.22
aut,2014,7.97
aut,2015,7.72
aut,2016,7.97
aut,2017,7.05
aut,2018,6.6
aut,2019,6.97
aut,2020,9.03
bdi,2014,3.92
bdi,2017,6.44
bel,2004,8.28
bel,2005,12.49
bel,2006,10.16
bel,2007,10.19
bel,2008,9.19
bel,2009,10.49
bel,2010,10.79
bel,2011,11.61
bel,2012,12.5
bel,2013,13.24
bel,2014,12.58
bel,2015,12.54
bel,2016,10.05
bel,2017,9.97
bel,2018,9.36
bel,2019,10.08
bel,2020,9.77
ben,2011,10.89
ben,2018,28.96
bfa,2018,30.45
bgd,2005,6.71
bgd,2006,7.29
bgd,2010,14.5
bgd,2013,8.84
bgd,2016,9.97
bgd,2017,9.81
bgr,2003,27.52
bgr,2004,22.9
bgr,2005,23.66
bgr,2006,19.89
bgr,2007,17.71
bgr,2008,15.57
bgr,2009,18.1
bgr,2010,20.29
bgr,2011,21.76
bgr,2012,21.57
bgr,2013,22.07
bgr,2014,19.19
bgr,2015,18.62
bgr,2016,17.07
bgr,2017,13.56
bgr,2018,13.35
bgr,2019,12.72
bgr,2020,13.72
bih,2006,34.03
bih,2007,31.05
bih,2008,24.98
bih,2009,25.3
bih,2010,28.36
bih,2011,29.04
bih,2012,30.6
bih,2013,27.57
bih,2014,27.91
