geo,time,bn_gsr_mrch_cd
abw,1986,-180893854.7486
abw,1987,-204692737.43017
abw,1988,-267262569.8324
abw,1989,-289944134.07821
abw,1990,-425363128.49162
abw,1991,-524078212.2905
abw,1992,-377486033.51955
abw,1993,-392122905.02793
abw,1994,-310558659.21788
abw,1995,419217877.09497
abw,1996,966033519.55307
abw,1997,891508379.88827
abw,1998,197765363.12849
abw,1999,-640530726.25698
abw,2000,-623346368.71508
abw,2001,-782715083.79888
abw,2002,-750256983.24022
abw,2003,-903837988.82682
abw,2004,-154463687.15084
abw,2005,119976835.12606
abw,2006,-7316799.25367
abw,2007,80558659.21788
abw,2008,-561396648.04469
abw,2009,-501340782.1229
abw,2010,-1129720670.39106
abw,2011,-736592178.77095
abw,2012,-656033519.55307
abw,2013,-1097744611.73184
abw,2014,-1090660396.64804
abw,2015,-919523753.07263
abw,2016,-854306860.85877
abw,2017,-989414388.23454
abw,2018,-1037148122.67283
abw,2019,-1073695728.66729
abw,2020,-773990292.06187
afg,1979,-135600000
afg,1980,-68600000
afg,1981,-206500000
afg,1982,-121300000
afg,1983,-162100000
afg,1984,-417000000
afg,1985,-293400000
afg,1986,-641800000
afg,1987,-365800000
afg,1988,-278000000
afg,1989,-371200000
afg,2008,-2415619185.69979
afg,2009,-2807137619.65958
afg,2010,-4252374204.21784
afg,2011,-5189770431.0797
afg,2012,-7515862139.77005
afg,2013,-8020277289.75686
afg,2014,-6106244879.7013
afg,2015,-6668317650.70879
afg,2016,-5594976211.59902
afg,2017,-5932251865.45208
afg,2018,-5745536582.88077
afg,2019,-5294355637.28527
afg,2020,-5100906449.09748
ago,1985,900000000
ago,1986,260000000
ago,1987,1019000000
ago,1988,1120000000
ago,1989,1676000000
ago,1990,2305700000
ago,1991,2102100000
ago,1992,1844766000
ago,1993,1437900000
ago,1994,1562500000
ago,1995,2255032000
ago,1996,3054539000
ago,1997,2409760000
ago,1998,1463520000
ago,1999,2047450000
ago,2000,4881200000
ago,2001,3355140000
ago,2002,4567770678.17
ago,2003,4028055471
ago,2004,7643217554.4
ago,2005,15756173956.528
ago,2006,23084603431.746
ago,2007,30734729604.53
