geo,time,er_h2o_fwtl_k3
afg,1977,13.26852
afg,1982,19.68981
afg,1987,26.1111
afg,1992,23.46032
afg,1997,20.80953
afg,2002,20.282
afg,2007,20.282
afg,2012,20.282
afg,2017,20.282
ago,1987,0.48
ago,1992,0.54169
ago,1997,0.60338
ago,2002,0.66652
ago,2007,0.7057
ago,2012,0.7057
ago,2017,0.7057
alb,1992,1.18356
alb,1997,1.43046
alb,2002,1.66312
alb,2007,1.26804
alb,2012,1.19539
alb,2017,1.188
are,1982,1.06107
are,1987,1.46373
are,1992,1.6146
are,1997,2.04144
are,2002,2.24999
are,2007,2.77073
are,2012,2.69755
are,2017,2.562
arg,1977,27.65158
arg,1982,27.90947
arg,1987,28.16737
arg,1992,28.42456
arg,1997,29.29427
arg,2002,31.69792
arg,2007,35.02591
arg,2012,37.69
arg,2017,37.69
arm,1997,1.85
arm,2002,1.732
arm,2007,3.012
arm,2012,2.941
arm,2017,2.865
atg,1992,0.00215
atg,1997,0.00329
atg,2002,0.00442
atg,2007,0.0049
atg,2012,0.0044
atg,2017,0.0044
aus,1997,21.9282
aus,2002,20.76128
aus,2007,16.1621
aus,2012,15.41867
aus,2017,15.945
aut,1982,3.4348
aut,1987,3.6682
aut,1992,3.6618
aut,1997,3.642
aut,2002,3.577
aut,2007,3.52263
aut,2012,3.49
aut,2017,3.49
aze,1992,16.202
aze,1997,12.518
aze,2002,10.075
aze,2007,12.27
aze,2012,11.97
aze,2017,12.7816
bdi,1987,0.1
bdi,1992,0.17231
bdi,1997,0.24462
bdi,2002,0.28484
bdi,2007,0.2801
bdi,2012,0.2801
bdi,2017,0.2801
bel,1982,8.92658
bel,1987,8.66678
bel,1992,8.40698
bel,1997,7.69
bel,2002,6.7357
bel,2007,6.214
bel,2012,5.3
bel,2017,3.994
ben,1987,0.11964
ben,1992,0.14376
ben,1997,0.14339
ben,2002,0.13
ben,2007,0.13
ben,2012,0.13
ben,2017,0.13
bfa,1987,0.31456
bfa,1992,0.376
bfa,1997,0.47222
bfa,2002,0.75662
bfa,2007,0.818
bfa,2012,0.8167
bfa,2017,0.8167
bgd,2012,35.87
bgd,2017,35.87
bgr,1982,14.144
bgr,1987,13.02903
bgr,1992,7.32553
bgr,1997,6.5802
bgr,2002,6.5887
bgr,2007,6.2018
bgr,2012,5.7146
bgr,2017,5.658
bhr,1992,0.20777
bhr,1997,0.25837
bhr,2002,0.25591
bhr,2007,0.21703
bhr,2012,0.18994
bhr,2017,0.1551
bih,2002,0.3755
bih,2007,0.3896
bih,2012,0.4377
bih,2017,0.4009
blr,1997,1.9228
blr,2002,1.7846
blr,2007,1.6428
blr,2012,1.52533
blr,2017,1.397
blz,1987,0.02
blz,1992,0.03545
blz,1997,0.07512
blz,2002,0.101
blz,2007,0.101
blz,2012,0.101
blz,2017,0.101
bol,1987,1.24
bol,1992,1.53716
bol,1997,1.83432
bol,2002,1.99839
bol,2007,2.07375
bol,2012,2.088
bol,2017,2.088
bra,1987,35.04
bra,1992,46.05667
bra,1997,55.15
bra,2002,56.75
bra,2007,62.22
bra,2012,69.8605
bra,2017,65.68
brb,1962,0.03
brb,1967,0.0375
brb,1972,0.045
brb,1977,0.0525
brb,1982,0.06
brb,1987,0.0675
brb,1992,0.075
brb,1997,0.081
brb,2002,0.081
brb,2007,0.07
brb,2012,0.07
brb,2017,0.07
brn,1992,0.08133
brn,1997,0.092
brn,2002,0.092
brn,2007,0.092
brn,2012,0.092
brn,2017,0.092
btn,2012,0.3379
btn,2017,0.3379
bwa,1987,0.09656
bwa,1992,0.113
bwa,1997,0.16364
bwa,2002,0.19458
bwa,2007,0.19604
bwa,2012,0.1944
bwa,2017,0.193
caf,1987,0.0194
caf,1992,0.0374
caf,1997,0.0554
caf,2002,0.06872
caf,2007,0.0725
caf,2012,0.0725
caf,2017,0.0725
can,1987,42.7786
can,1992,44.515
can,1997,42.12975
can,2002,41.72353
can,2007,41.3173
can,2012,36.44
can,2017,35.73
che,1977,2.5944
che,1982,2.6118
che,1987,2.66
che,1992,2.695
che,1997,2.5581
che,2002,2.518
che,2007,2.26125
che,2012,2.0045
che,2017,1.734
chl,1992,20.2852
chl,1997,25.69234
chl,2002,31.08954
chl,2007,35.368
chl,2012,35.368
chl,2017,35.368
chn,1982,460.465
chn,1987,488.636
chn,1992,516.93333
chn,1997,539.97143
chn,2002,552.18
chn,2007,568.7
chn,2012,598.8
chn,2017,591.8
civ,1987,0.709
civ,1992,1.166
civ,1997,1.3204
civ,2002,1.46496
civ,2007,1.46211
civ,2012,1.24804
civ,2017,1.162
cmr,1987,0.396
cmr,1992,0.4
cmr,1997,0.754
cmr,2002,1.0152
cmr,2007,1.0884
cmr,2012,1.0884
cmr,2017,1.0884
cod,1997,0.5193
