global,time,ne_con_govt_cd
world,1970,469712016554.85907
world,1971,532724450167.61902
world,1972,613451822809.38098
world,1973,729946830783.47583
world,1974,860282264418.07483
world,1975,1020213883546.25
world,1976,1089935076148.23999
world,1977,1220092837428.40991
world,1978,1439641477547.57007
world,1979,1656881096549.34009
world,1980,1892346516998.12012
world,1981,1951005469068.27002
world,1982,1985937527597.67993
world,1983,2021868178143.81006
world,1984,2041892971323.93994
world,1985,2146177499571.83008
world,1986,2572652524781.93018
world,1987,2937967579508.22021
world,1988,3211138445250.2998
world,1989,3333417670172.08984
world,1990,3810240799403.18945
world,1991,4009505281386.43994
world,1992,4312392156856.81982
world,1993,4366242644138.9502
world,1994,4610641278274.87988
world,1995,5116587632419.75977
world,1996,5174067715591.48926
world,1997,5085026272695.08984
world,1998,5078633655775.05957
world,1999,5274075156644.12012
world,2000,5380964910612.54004
world,2001,5475506691590.0498
world,2002,5825238195197
world,2003,6630423099631.44922
world,2004,7412252323302.51855
world,2005,7959284874610.46094
world,2006,8548313844139.26855
world,2007,9604048184259.08008
world,2008,10786760101218.30078
world,2009,10906630675147.30078
world,2010,11601466302697.30078
world,2011,12684231191975.5
world,2012,12836609414946.90039
world,2013,13147702108157.90039
world,2014,13397178084024
world,2015,12520729508551.5
world,2016,12697618426853.5
world,2017,13355758979355.09961
world,2018,14184491578926.69922
world,2019,14471092579726.40039
world,2020,14994103590395.5
