global,time,bm_trf_prvt_cd
world,1998,181971376220.97101
world,1999,209776898050.33496
world,2000,220645211701.20999
world,2001,252235160797.336
world,2002,288235072687.47601
world,2003,336060747158.48199
world,2004,375459722073.28497
world,2005,422848869714.97803
world,2006,450052579893.65198
world,2007,519603669006.11694
world,2008,600935785081.69397
world,2009,565993829757.28003
world,2010,584411908782.71399
world,2011,658189221635.92395
world,2012,650786132668.51404
world,2013,705366196154.302
world,2014,759845459006.04492
world,2015,716071213869.448
world,2016,733459023466.64197
world,2017,839390172437.29883
world,2018,843730593212.97485
world,2019,860770639112.40991
world,2020,880287070759.09692
