geo,time,dc_oda_tldc_gn_zs
aus,1965,0.01177
aus,1966,0.01364
aus,1967,0.00931
aus,1968,0.01441
aus,1969,0.0135
aus,1970,0.01483
aus,1971,0.01795
aus,1972,0.03652
aus,1973,0.01753
aus,1974,0.05542
aus,1975,0.03782
aus,1976,0.01823
aus,1977,0.02064
aus,1978,0.03655
aus,1979,0.05561
aus,1980,0.04286
aus,1981,0.04829
aus,1982,0.0744
aus,1983,0.04696
aus,1984,0.05184
aus,1985,0.03351
aus,1986,0.03637
aus,1987,0.0401
aus,1988,0.03227
aus,1989,0.04403
aus,1990,0.03392
aus,1991,0.03075
aus,1992,0.03393
aus,1993,0.03419
aus,1994,0.0403
aus,1995,0.03688
aus,1996,0.03375
aus,1997,0.02913
aus,1998,0.02874
aus,1999,0.04024
aus,2000,0.05323
aus,2001,0.04113
aus,2002,0.04199
aus,2003,0.03931
aus,2004,0.04743
aus,2005,0.04673
aus,2006,0.04643
aus,2007,0.06185
aus,2008,0.0676
aus,2009,0.06041
aus,2010,0.07187
aus,2011,0.07709
aus,2012,0.08334
aus,2013,0.06793
aus,2014,0.06353
aus,2015,0.05656
aus,2016,0.04334
aut,1962,0.00041
aut,1963,0.00163
aut,1964,0.00286
aut,1965,0.01933
aut,1966,0.00612
aut,1967,0.01175
aut,1968,0.00034
aut,1969,0.00031
aut,1970,0.00664
aut,1971,0.00688
aut,1972,0.00257
aut,1973,0.00243
aut,1974,0.0085
aut,1975,0.00571
aut,1976,0.00441
aut,1977,0.00578
aut,1978,0.00646
aut,1979,0.00743
aut,1980,0.01115
aut,1981,0.01889
aut,1982,0.01281
aut,1983,0.01067
aut,1984,0.0157
aut,1985,0.01611
aut,1986,0.00989
aut,1987,0.01561
aut,1988,0.02904
aut,1989,0.02474
aut,1990,0.03641
aut,1991,0.03077
aut,1992,0.0375
aut,1993,0.03381
aut,1994,0.03263
aut,1995,0.02858
aut,1996,0.02744
aut,1997,0.02407
aut,1998,0.02882
aut,1999,0.02527
aut,2000,0.03235
aut,2001,0.03771
aut,2002,0.06065
aut,2003,0.02452
aut,2004,0.01815
aut,2005,0.03706
aut,2006,0.02181
aut,2007,0.01383
aut,2008,0.02667
aut,2009,0.02591
aut,2010,0.0541
aut,2011,0.02256
aut,2012,0.01347
aut,2013,0.02473
aut,2014,0.03616
aut,2015,0.01099
aut,2016,0.01119
bel,1960,0.75241
bel,1961,0.5812
bel,1962,0.4892
bel,1963,0.54432
bel,1964,0.49107
bel,1965,0.56525
bel,1966,0.32679
bel,1967,0.32117
bel,1968,0.28976
bel,1969,0.28246
bel,1970,0.28089
bel,1971,0.27798
bel,1972,0.28973
bel,1973,0.26441
bel,1974,0.26548
bel,1975,0.26594
bel,1976,0.2209
bel,1977,0.21734
bel,1978,0.21658
bel,1979,0.24283
bel,1980,0.23114
bel,1981,0.22482
bel,1982,0.21383
bel,1983,0.18498
bel,1984,0.17977
bel,1985,0.22079
bel,1986,0.20305
bel,1987,0.16042
bel,1988,0.1535
bel,1989,0.11718
bel,1990,0.13834
bel,1991,0.0835
bel,1992,0.09682
bel,1993,0.08397
bel,1994,0.07512
bel,1995,0.05714
bel,1996,0.06118
bel,1997,0.0682
bel,1998,0.07656
bel,1999,0.05186
bel,2000,0.06697
bel,2001,0.07959
bel,2002,0.10175
bel,2003,0.31144
bel,2004,0.12801
bel,2005,0.09357
bel,2006,0.12096
bel,2007,0.10755
bel,2008,0.10849
bel,2009,0.12935
bel,2010,0.23075
bel,2011,0.13819
bel,2012,0.0911
bel,2013,0.09769
bel,2014,0.08977
bel,2015,0.08246
bel,2016,0.08357
can,1960,0.00131
can,1961,0.00294
can,1962,0.00264
can,1963,0.00317
can,1964,0.00685
can,1965,0.00916
can,1966,0.01234
can,1967,0.01421
can,1968,0.01454
can,1969,0.01413
can,1970,0.02204
can,1971,0.03756
can,1972,0.06141
can,1973,0.08645
can,1974,0.09435
can,1975,0.11007
can,1976,0.07532
can,1977,0.07109
can,1978,0.10367
can,1979,0.08881
can,1980,0.07885
can,1981,0.07359
can,1982,0.09954
can,1983,0.08735
can,1984,0.09354
can,1985,0.09906
can,1986,0.07547
can,1987,0.0973
can,1988,0.08856
can,1989,0.06871
can,1990,0.06978
can,1991,0.07035
can,1992,0.07528
can,1993,0.05098
can,1994,0.04957
can,1995,0.04607
can,1996,0.04106
can,1997,0.04612
can,1998,0.03811
can,1999,0.03385
can,2000,0.02844
can,2001,0.0281
can,2002,0.03123
can,2003,0.05707
can,2004,0.05647
can,2005,0.06423
can,2006,0.05919
can,2007,0.08291
can,2008,0.08267
can,2009,0.08749
can,2010,0.11138
can,2011,0.08166
can,2012,0.07079
can,2013,0.06638
can,2014,0.05907
can,2015,0.06525
can,2016,0.05501
che,1961,0.00114
che,1963,0.00575
che,1964,0.00778
che,1965,0.01061
che,1966,0.01238
che,1967,0.01069
che,1968,0.01256
che,1969,0.0162
che,1970,0.01299
che,1971,0.02539
che,1972,0.03577
che,1973,0.02088
che,1974,0.02174
che,1975,0.03013
che,1976,0.02332
che,1977,0.03807
che,1978,0.05961
che,1979,0.04081
che,1980,0.06554
che,1981,0.06397
che,1982,0.0701
che,1983,0.08273
che,1984,0.08817
che,1985,0.08846
che,1986,0.09762
che,1987,0.08203
che,1988,0.08742
che,1989,0.09316
che,1990,0.09197
che,1991,0.0903
che,1992,0.08752
che,1993,0.07592
che,1994,0.0819
che,1995,0.07205
che,1996,0.06493
che,1997,0.06143
che,1998,0.06018
che,1999,0.0597
che,2000,0.05938
che,2001,0.05945
che,2002,0.0639
che,2003,0.07032
che,2004,0.06316
che,2005,0.05823
che,2006,0.05667
che,2007,0.06495
che,2008,0.06015
che,2009,0.09006
che,2010,0.06243
che,2011,0.0796
che,2012,0.07255
che,2013,0.07609
che,2014,0.08302
che,2015,0.09008
che,2016,0.08498
cze,1998,0.00004
cze,1999,0.00057
cze,2000,0.00081
cze,2001,0.00239
cze,2002,0.00247
cze,2003,0.00997
cze,2004,0.00929
cze,2005,0.00433
cze,2006,0.00741
cze,2007,0.01079
cze,2008,0.0261
cze,2009,0.02183
cze,2010,0.01361
cze,2011,0.01056
cze,2012,0.0117
cze,2013,0.00653
cze,2014,0.00731
cze,2015,0.0068
cze,2016,0.0057
deu,1960,0.00818
deu,1961,0.02046
deu,1962,0.06571
deu,1963,0.05782
deu,1964,0.03787
deu,1965,0.05653
deu,1966,0.05696
deu,1967,0.0444
deu,1968,0.03396
deu,1969,0.03721
deu,1970,0.03365
deu,1971,0.03397
deu,1972,0.03345
deu,1973,0.05111
deu,1974,0.05946
deu,1975,0.06729
deu,1976,0.05928
deu,1977,0.05779
deu,1978,0.07038
deu,1979,0.08392
deu,1980,0.0875
deu,1981,0.09348
deu,1982,0.10399
deu,1983,0.09329
deu,1984,0.08361
deu,1985,0.09253
deu,1986,0.07934
deu,1987,0.07456
deu,1988,0.077
deu,1989,0.07743
deu,1990,0.07671
deu,1991,0.06479
deu,1992,0.05639
deu,1993,0.05721
deu,1994,0.05316
deu,1995,0.04447
deu,1996,0.04658
deu,1997,0.03772
deu,1998,0.04115
deu,1999,0.03698
deu,2000,0.03554
deu,2001,0.03254
deu,2002,0.04118
deu,2003,0.06485
deu,2004,0.03518
deu,2005,0.03675
deu,2006,0.04175
deu,2007,0.03783
deu,2008,0.04815
deu,2009,0.04823
