geo,time,se_sec_prog_zs
abw,1999,99.69559
abw,2001,99.3961
abw,2002,99.82628
abw,2003,99.52595
abw,2006,97.76351
abw,2008,98.60371
afg,1973,67.02043
afg,1976,90.53075
afg,1977,92.00777
afg,1980,80.81922
afg,1984,89.52981
afg,2015,86.26841
afg,2016,92.3154
afg,2017,90.76541
ago,1981,67.55915
ago,2008,40.8185
ago,2010,52.48167
alb,1995,99.51973
alb,2000,97.24541
alb,2006,98.38603
alb,2007,98.21509
alb,2008,99.22479
alb,2009,98.08978
alb,2010,99.18615
alb,2011,99.48943
alb,2012,99.75281
alb,2013,99.80782
alb,2014,99.08036
alb,2015,98.06952
alb,2016,98.17323
alb,2017,98.53003
are,1973,90.24127
are,1974,97.93039
are,1975,91.27962
are,1976,97.01646
are,1977,94.08898
are,1979,94.3534
are,1982,97.75595
are,1983,97.32213
are,1984,95.05362
are,1985,97.26659
are,1986,96.80363
are,1987,98.78569
are,1988,99.49373
are,1989,98.79721
are,1990,98.26561
are,1991,94.02025
are,1992,96.95369
are,1993,99.48798
are,1994,98.72636
are,1996,98.03728
are,1999,98.70699
are,2000,99.94577
are,2001,98.98802
are,2002,97.74784
are,2003,98.47823
are,2004,99.22658
are,2005,99.87523
are,2006,99.63031
are,2009,97.66702
are,2010,95.76771
are,2011,99.42204
are,2012,98.39354
are,2013,99.93103
arg,1970,29.73252
arg,1973,28.74709
arg,1974,29.05048
arg,1998,97.21217
arg,1999,98.20092
arg,2000,97.69371
arg,2001,97.39566
arg,2002,96.5178
arg,2003,96.70928
arg,2004,95.86633
arg,2005,95.38558
arg,2006,94.96292
arg,2007,95.16004
arg,2008,95.31151
arg,2009,95.87691
arg,2010,96.17801
arg,2011,96.62407
arg,2012,96.84399
arg,2013,97.31649
arg,2014,97.40726
arg,2015,99.48824
arg,2016,99.85158
arm,2002,98.20849
arm,2003,98.05356
arm,2004,99.74063
arm,2005,99.50317
arm,2006,99.31933
arm,2007,99.24635
arm,2011,97.78508
arm,2013,96.9776
arm,2014,99.9048
arm,2015,98.48073
arm,2016,98.09939
arm,2017,98.26575
atg,2017,99.29605
aut,1998,94.49735
aut,2010,99.94701
aut,2011,99.84479
aut,2012,99.93833
aut,2013,99.97995
aut,2014,99.93128
aut,2015,99.92498
aut,2016,99.76727
aze,1992,95.85673
aze,1993,96.78747
aze,1995,49.33382
aze,1996,96.23729
aze,1998,97.91813
aze,1999,97.95652
aze,2000,98.23226
aze,2001,98.26137
aze,2002,98.10081
aze,2003,99.24017
aze,2004,99.26753
aze,2005,99.0691
aze,2006,99.08371
aze,2007,99.58016
aze,2008,99.18794
aze,2009,98.55379
aze,2010,98.72166
aze,2011,99.03984
aze,2012,99.08856
aze,2013,99.07489
aze,2014,99.44771
aze,2015,99.41522
aze,2016,97.56762
aze,2017,99.23063
bdi,1976,10.06413
bdi,1977,12.95896
bdi,1978,16.12005
bdi,1979,14.32153
bdi,1980,14.43204
bdi,1981,17.01511
bdi,1982,10.95253
bdi,1983,11.1736
bdi,1984,11.70259
bdi,1985,12.49287
bdi,1986,13.90135
bdi,1987,17.89842
bdi,1988,17.46511
bdi,1989,11.11557
bdi,1991,15.63209
bdi,1992,17.17991
bdi,2003,60.77014
bdi,2004,58.17566
bdi,2007,66.17432
bdi,2008,62.70992
bdi,2009,69.99116
bdi,2010,71.25481
bdi,2011,69.33454
bdi,2012,75.66893
bdi,2013,77.23248
bdi,2014,79.60397
bdi,2015,86.76805
bdi,2016,76.30755
bdi,2017,76.29475
bel,1974,87.7206
bel,1975,91.85942
bel,1976,89.69545
ben,1971,46.9771
ben,1972,60.85221
ben,1973,54.38473
ben,1974,56.30172
ben,1975,45.29767
ben,1976,52.61691
ben,1977,56.88355
