global,time,se_sec_uner_lo_fe_zs
world,1998,28.53141
world,1999,28.62766
world,2000,27.90189
world,2001,27.2008
world,2002,25.60387
world,2003,23.35641
world,2004,22.18867
world,2005,21.62879
world,2006,21.10969
world,2007,20.34173
world,2008,19.60851
world,2009,19.02363
world,2010,18.02998
world,2011,17.55227
world,2012,16.74889
world,2013,16.32792
world,2014,16.25471
world,2015,15.73688
world,2016,15.5619
world,2017,15.72628
world,2018,15.38677
world,2019,15.37246
world,2020,15.52018
