geo,time,sp_dyn_imrt_fe_in
afg,1961,225.8
afg,1962,221.8
afg,1963,217.9
afg,1964,214.2
afg,1965,210.6
afg,1966,207
afg,1967,203.2
afg,1968,199.6
afg,1969,196.1
afg,1970,192.4
afg,1971,188.8
afg,1972,185.1
afg,1973,181.3
afg,1974,177.7
afg,1975,174
afg,1976,170.3
afg,1977,166.5
afg,1978,162.6
afg,1979,158.6
afg,1980,154.6
afg,1981,150.6
afg,1982,146.5
afg,1983,142.5
afg,1984,138.5
afg,1985,134.5
afg,1986,130.6
afg,1987,126.5
afg,1988,122.6
afg,1989,118.7
afg,1990,114.9
afg,1991,111.1
afg,1992,107.7
afg,1993,104.3
afg,1994,101.1
afg,1995,98.1
afg,1996,95.1
afg,1997,92.4
afg,1998,89.9
afg,1999,87.4
afg,2000,85
afg,2001,82.7
afg,2002,80.4
afg,2003,77.8
afg,2004,75.3
afg,2005,72.7
afg,2006,70.1
afg,2007,67.5
afg,2008,65
afg,2009,62.6
afg,2010,60.3
afg,2011,57.9
afg,2012,55.7
afg,2013,53.6
afg,2014,51.6
afg,2015,49.6
afg,2016,47.7
afg,2017,46.1
afg,2018,44.5
afg,2019,42.9
afg,2020,41.5
ago,1980,130
ago,1981,128.5
ago,1982,127.2
ago,1983,125.8
ago,1984,124.6
ago,1985,123.7
ago,1986,123
ago,1987,122.5
ago,1988,122.2
ago,1989,122
ago,1990,121.8
ago,1991,121.8
ago,1992,121.8
ago,1993,121.7
ago,1994,121.4
ago,1995,120.9
ago,1996,119.8
ago,1997,118.4
ago,1998,116.5
ago,1999,114.3
ago,2000,111.6
ago,2001,108.4
ago,2002,104.7
ago,2003,100.8
ago,2004,96.4
ago,2005,91.7
ago,2006,86.9
ago,2007,82.1
ago,2008,77.4
ago,2009,72.7
ago,2010,68.3
ago,2011,64.3
ago,2012,60.4
ago,2013,57
ago,2014,54.1
ago,2015,51.8
ago,2016,49.7
ago,2017,47.9
ago,2018,46.2
ago,2019,44.5
ago,2020,43.1
alb,1978,68.8
alb,1979,63.7
alb,1980,58.8
alb,1981,54.4
alb,1982,50.4
alb,1983,46.8
alb,1984,43.6
alb,1985,40.6
alb,1986,38
alb,1987,35.8
alb,1988,33.8
alb,1989,32.1
alb,1990,30.6
alb,1991,29.4
alb,1992,28.3
alb,1993,27.4
alb,1994,26.4
alb,1995,25.5
alb,1996,24.5
alb,1997,23.6
alb,1998,22.6
alb,1999,21.6
alb,2000,20.5
alb,2001,19.4
alb,2002,18.4
alb,2003,17.2
alb,2004,16.1
alb,2005,15
alb,2006,13.9
alb,2007,12.9
alb,2008,12
alb,2009,11.1
alb,2010,10.3
alb,2011,9.5
alb,2012,8.7
alb,2013,8.2
alb,2014,7.8
alb,2015,7.6
alb,2016,7.5
alb,2017,7.5
alb,2018,7.6
alb,2019,7.7
alb,2020,7.8
and,1985,13.9
and,1986,13.3
and,1987,12.6
and,1988,11.9
and,1989,11.2
and,1990,10.7
and,1991,10.1
and,1992,9.7
and,1993,9.1
and,1994,8.7
and,1995,8.3
and,1996,7.9
and,1997,7.4
and,1998,7.1
and,1999,6.7
and,2000,6.4
and,2001,6.1
and,2002,5.8
and,2003,5.5
and,2004,5.2
and,2005,4.9
and,2006,4.7
and,2007,4.4
and,2008,4.2
and,2009,3.9
and,2010,3.7
and,2011,3.5
and,2012,3.3
and,2013,3.1
and,2014,2.9
and,2015,2.8
and,2016,2.6
and,2017,2.5
and,2018,2.4
and,2019,2.2
and,2020,2.1
are,1960,123.2
are,1961,117.1
are,1962,111.4
are,1963,105.6
are,1964,99.7
are,1965,93.6
are,1966,87.4
are,1967,81.2
are,1968,75.1
are,1969,69.2
are,1970,63.6
are,1971,58.3
are,1972,53.3
are,1973,48.9
are,1974,44.8
are,1975,41
are,1976,37.4
are,1977,34
are,1978,30.9
are,1979,28.1
are,1980,25.6
are,1981,23.3
are,1982,21.3
are,1983,19.6
are,1984,18.1
are,1985,16.9
are,1986,15.7
are,1987,14.7
are,1988,13.9
are,1989,13.1
are,1990,12.4
are,1991,11.7
are,1992,11.2
are,1993,10.7
are,1994,10.2
are,1995,9.9
are,1996,9.5
are,1997,9.2
are,1998,8.9
are,1999,8.6
are,2000,8.4
are,2001,8.2
are,2002,8
are,2003,7.8
are,2004,7.6
are,2005,7.4
are,2006,7.3
are,2007,7.1
are,2008,6.9
are,2009,6.7
are,2010,6.6
are,2011,6.4
are,2012,6.2
are,2013,6.1
are,2014,5.9
are,2015,5.8
are,2016,5.7
