global,time,sl_emp_self_zs
world,1991,55.92493
world,1992,55.77393
world,1993,55.64445
world,1994,55.44247
world,1995,55.21877
world,1996,54.95281
world,1997,54.82173
world,1998,54.90157
world,1999,54.95796
world,2000,54.70426
world,2001,54.43331
world,2002,54.24662
world,2003,54.06936
world,2004,53.58457
world,2005,53.0348
world,2006,52.30643
world,2007,51.59894
world,2008,51.10105
world,2009,50.9793
world,2010,50.43217
world,2011,49.75088
world,2012,49.03146
world,2013,48.60404
world,2014,48.17376
world,2015,47.75949
world,2016,47.42794
world,2017,47.11608
world,2018,46.71995
world,2019,46.35915
