geo,time,ic_tax_metg
afg,2008,2.1
afg,2014,1.5
ago,2006,4.8
ago,2010,3.7
alb,2007,4.6
alb,2013,5.7
alb,2019,5.7
arg,2006,4.4
arg,2010,4.1
arg,2017,3.3
arm,2009,2.7
arm,2013,1.7
arm,2020,1.4
atg,2010,2.7
aze,2009,2.4
aze,2013,2
aze,2019,1.9
bdi,2006,2.1
bdi,2014,1.8
bel,2020,1.5
ben,2009,1.7
ben,2016,1.6
bfa,2009,2.2
bgd,2007,2.1
bgd,2013,3.2
bgr,2007,3.4
bgr,2009,3.2
bgr,2013,3.1
bgr,2019,2.6
bhs,2010,1.9
bih,2009,1.8
bih,2013,2.2
bih,2019,2.9
blr,2008,2.1
blr,2013,1.3
blr,2018,2.8
blz,2010,2.2
bol,2006,3.4
bol,2010,3.1
bol,2017,4.3
bra,2009,1.8
brb,2010,1.5
btn,2009,2.1
btn,2015,1.2
bwa,2006,1.7
bwa,2010,2.5
caf,2011,4.3
chl,2006,4.6
chl,2010,4.7
chn,2012,2.1
civ,2009,7.2
civ,2016,3.6
cmr,2009,4.7
cmr,2016,4.4
cod,2006,9.7
cod,2010,8.3
cod,2013,10.3
cog,2009,3
col,2006,2.4
col,2010,2.2
col,2017,3.5
cpv,2009,2.2
cri,2010,3.3
cyp,2019,2
cze,2009,2.8
cze,2013,1.6
cze,2019,2.3
dji,2013,1.4
dma,2010,2.2
dnk,2020,1.2
dom,2010,3.8
dom,2016,2.1
ecu,2006,2.5
ecu,2010,2
ecu,2017,3.5
egy,2013,2.1
egy,2016,3.2
egy,2020,2.6
eri,2009,1.7
est,2009,1.7
est,2013,2.7
est,2019,1.9
eth,2011,2.3
eth,2015,3.7
fin,2020,1.4
fji,2009,2.2
fsm,2009,2.3
gab,2009,18.8
geo,2008,1.7
geo,2013,3.5
geo,2019,2.2
gha,2007,4.6
gha,2013,3
gin,2006,3.4
gin,2016,2.9
gmb,2006,3.2
gmb,2018,4.4
gnb,2006,3.9
grc,2018,2.3
grd,2010,3.3
gtm,2006,3.9
gtm,2010,4.5
gtm,2017,3.8
guy,2010,5.2
hnd,2006,2.4
hnd,2010,3.5
hnd,2016,2.1
hrv,2007,1.7
hrv,2013,2.9
