geo,time,sh_svr_wast_fe_zs
afg,2004,4.3
afg,2013,3.5
afg,2018,1.4
ago,1996,1.9
ago,2007,4.2
ago,2015,0.9
alb,2000,5.4
alb,2005,4.2
alb,2009,4.3
alb,2017,0.7
arg,2005,0.2
arm,1998,0.6
arm,2000,0.4
arm,2005,2.3
arm,2010,1.5
arm,2016,1.9
aze,2000,4.2
aze,2006,1
aze,2011,2.7
aze,2013,0.7
bdi,2000,1
bdi,2010,1.5
bdi,2016,0.6
bdi,2018,0.7
bdi,2019,0.8
bel,2014,0
ben,2001,2.5
ben,2008,0.8
ben,2014,0.7
ben,2018,0.8
bfa,1993,5.2
bfa,1999,4.3
bfa,2009,2.5
bfa,2010,5.4
bfa,2011,1.9
bfa,2012,1.4
bfa,2013,1.2
bfa,2014,1.5
bfa,2015,1.7
bfa,2016,1
bfa,2017,1.7
bfa,2018,1.2
bfa,2019,0.8
bgd,1997,5.9
bgd,2000,2.6
bgd,2004,3.3
bgd,2007,2.5
bgd,2011,4
bgd,2013,4.4
bgd,2014,2.5
bgd,2018,1.3
bgd,2019,2
bgr,2007,1.1
bgr,2014,4.1
bih,2000,3.2
bih,2006,1.1
bih,2012,1.4
blr,2005,0.6
blz,2006,0.3
blz,2011,1.5
blz,2015,0.4
bol,1998,0.6
bol,2003,0.6
bol,2008,0.4
bol,2012,0.4
bol,2016,0.7
bra,1989,0.6
bra,1996,1
bra,2007,0.5
brb,2012,1.7
brn,2009,0.5
btn,1999,0.6
btn,2008,1
btn,2010,1.9
bwa,2000,2.5
bwa,2007,3.5
caf,2000,3.8
caf,2006,4.8
caf,2010,1.6
caf,2012,1.1
caf,2014,1
caf,2018,1.2
caf,2019,0.6
chn,1990,1.4
chn,1992,1.1
chn,1995,1.3
chn,1998,0.6
chn,2000,0.4
chn,2002,0.7
chn,2005,0.5
chn,2010,0.6
civ,1986,2.2
civ,1998,1.9
civ,2007,4.1
civ,2012,1.3
civ,2016,1
cmr,1991,1.3
cmr,2004,2.1
cmr,2006,2
cmr,2011,1.4
cmr,2014,1.1
cmr,2018,1.6
cod,2001,5.5
cod,2007,3.9
cod,2010,2.6
cod,2013,2.4
cod,2017,2
cog,2005,2.9
cog,2011,1.8
cog,2014,2.2
col,1995,0.6
col,2000,0.3
col,2005,0.4
col,2010,0.2
col,2016,0.5
com,2000,5.9
com,2012,4.7
cri,2018,0.2
cub,2019,0.6
cze,2001,0.9
deu,2004,0
dji,2002,9.3
dji,2012,7.9
dom,1991,0.5
dom,1996,0.4
dom,2000,0.5
dom,2002,0.6
dom,2006,0.4
dom,2007,0.6
dom,2013,0.4
dza,1992,3.2
dza,1995,3.9
dza,2000,0.9
dza,2002,5
dza,2006,1.8
dza,2012,1
dza,2019,1
ecu,1999,0.3
ecu,2004,0.5
ecu,2006,0.4
ecu,2012,0.6
ecu,2014,0.5
ecu,2019,0.9
egy,1991,1.6
egy,1992,1.7
egy,1995,1.9
egy,2003,1.9
egy,2005,2.4
egy,2008,3.6
egy,2014,4.7
eri,2002,3.2
eri,2010,3.4
est,2014,0
eth,2000,3.3
eth,2005,4.1
eth,2011,2
eth,2014,2.4
eth,2016,3
eth,2019,0.8
fji,2004,2.8
gab,2000,1.2
gab,2012,1.1
geo,2005,1.1
geo,2009,0.2
geo,2018,0.1
gha,1997,2
gha,1998,1.7
gha,2003,2.6
gha,2006,1.5
gha,2008,2.4
gha,2011,0.9
gha,2014,0.6
gha,2017,1
gin,1999,3.6
gin,2005,3.6
gin,2007,2.5
gin,2012,3.8
gin,2016,2.6
gin,2018,3.5
gmb,2000,2.2
gmb,2006,1.4
gmb,2010,1.9
gmb,2012,1.1
gmb,2013,4
gmb,2018,1.1
gmb,2020,0.8
gnb,2000,4.7
gnb,2010,1.1
gnb,2012,0.6
gnb,2014,1.2
gnb,2019,1.4
gnq,1997,2.5
gnq,2000,4.7
gnq,2004,0.9
gnq,2011,2.3
grc,2003,0.1
gtm,1995,1.1
gtm,1999,1
gtm,2000,1.3
gtm,2002,0.7
gtm,2009,0.2
gtm,2015,0.1
guy,1993,0.9
guy,2000,3.2
guy,2006,2.7
guy,2009,0.9
guy,2014,1.7
hnd,1991,0.3
hnd,2001,0.2
hnd,2006,0.3
hnd,2012,0.2
hti,1994,2.2
hti,2000,1.4
hti,2006,3.5
hti,2012,1.4
hti,2017,0.5
idn,2000,0.7
idn,2001,0.6
idn,2004,4.9
idn,2007,6.1
idn,2010,5.1
idn,2013,6.2
idn,2018,3.1
ind,2006,6.3
ind,2014,4.4
ind,2015,7.1
