geo,time,ne_con_govt_kn
ago,2002,127292000000
ago,2003,132370950800
ago,2004,135150740800
ago,2005,146327707000
ago,2006,160697087900
ago,2007,174356340300
ago,2008,195871912700
ago,2009,177781762700
ago,2010,186777823600
ago,2011,237646112400
ago,2012,239124952700
ago,2013,290255916000
ago,2014,249217269500
ago,2015,227332969700
ago,2016,203397738400
ago,2017,203955181800
ago,2018,200470367900
ago,2019,197264000000
ago,2020,169455000000
alb,1996,143350271176.42999
alb,1997,126576239444.91
alb,1998,114997086030.85899
alb,1999,114742758409.174
alb,2000,103290585616.911
alb,2001,113309192887.72701
alb,2002,119344940969.248
alb,2003,118488921042.03
alb,2004,123611962548.66
alb,2005,121812322692.869
alb,2006,118860477857.05099
alb,2007,122865080712.69299
alb,2008,128240605087.60899
alb,2009,133035154919.59599
alb,2010,138311660000
alb,2011,139212600000
alb,2012,139355808921.87
alb,2013,143406878466.39301
alb,2014,152577104637.27399
alb,2015,150892686755.27701
alb,2016,157979862188.54599
alb,2017,162974567513.33899
alb,2018,164137550027.52301
alb,2019,168921681964.42801
alb,2020,171586290000
are,2001,72252334400
are,2002,75745930000
are,2003,79193748100
are,2004,77839407600
are,2005,73461527100
are,2006,70902460000
are,2007,71206153800
are,2008,79631424500
are,2009,105831716300
are,2010,106755079472.537
are,2011,119833003684.868
are,2012,117241585783.295
are,2013,153343719633.55899
are,2014,154079817419.06699
are,2015,149491435158.50101
are,2016,147797208275.67099
are,2017,165131665072.14001
are,2018,156933855710.548
are,2019,172591700000
are,2020,173763700000
arg,1993,48879955100
arg,1994,49097314100
arg,1995,49470720800
arg,1996,50544084800
arg,1997,52171394200
arg,1998,53922725300
arg,1999,55336492100
arg,2000,55655814800
arg,2001,54504071800
arg,2002,51736279100
arg,2003,52492054200
arg,2004,53918788600
arg,2005,59232719800
arg,2006,61437671500
arg,2007,66248105100
arg,2008,69570499500
arg,2009,73490278300
arg,2010,77497097400
arg,2011,81034769800
arg,2012,83473345900
arg,2013,87916287700
arg,2014,90505449100
arg,2015,96791963200
arg,2016,96284409700
arg,2017,98823549500
arg,2018,96954391700
arg,2019,95787794400
arg,2020,92622461000
arm,1994,247642621300
arm,1995,242239681200
arm,1996,227997366800
arm,1997,222503032300
arm,1998,217240230500
arm,1999,220304993800
arm,2000,229328680500
arm,2001,237799430300
arm,2002,248597694100
arm,2003,278115081100
arm,2004,307772606500
arm,2005,365112012000
arm,2006,414859578400
arm,2007,436678499500
arm,2008,430716529600
arm,2009,426775902100
arm,2010,443545275300
arm,2011,469425160000
arm,2012,465469300000
arm,2013,500844966800
arm,2014,494834827198.40002
arm,2015,518092064076.72498
arm,2016,505657854538.88293
arm,2017,495039039593.56702
arm,2018,480187868405.76001
arm,2019,542132103430.10303
arm,2020,624536183151.479
asm,2002,300000000
asm,2003,298000000
asm,2004,290000000
asm,2005,277000000
asm,2006,263000000
asm,2007,251000000
asm,2008,265000000
asm,2009,304000000
asm,2010,322000000
asm,2011,343000000
asm,2012,329000000
asm,2013,308000000
asm,2014,331000000
asm,2015,359000000
asm,2016,309000000
asm,2017,297000000
asm,2018,304000000
asm,2019,278000000
asm,2020,306000000
aus,1960,41008000000
aus,1961,42513000000
aus,1962,44157000000
aus,1963,45961000000
aus,1964,47390000000
aus,1965,51705000000
aus,1966,56898000000
aus,1967,59937000000
aus,1968,65426000000
aus,1969,67521000000
aus,1970,72628000000
aus,1971,76403000000
aus,1972,79678000000
aus,1973,82216000000
aus,1974,84290000000
aus,1975,91782000000
aus,1976,99333000000
aus,1977,99969000000
aus,1978,102949000000
aus,1979,106355000000
aus,1980,108756000000
aus,1981,113697000000
aus,1982,115406000000
aus,1983,118341000000
aus,1984,123856000000
aus,1985,132536000000
aus,1986,138294000000
aus,1987,142979000000
aus,1988,148358000000
aus,1989,152724000000
aus,1990,156770000000
aus,1991,161789000000
aus,1992,165913000000
aus,1993,170132000000
aus,1994,171982000000
aus,1995,177779000000
aus,1996,185379000000
aus,1997,189207000000
aus,1998,196749000000
aus,1999,205531000000
aus,2000,211768000000
aus,2001,215568000000
aus,2002,222610000000
aus,2003,229071000000
aus,2004,239142000000
aus,2005,246831000000
aus,2006,254414000000
aus,2007,262192000000
aus,2008,270192000000
aus,2009,281750000000
aus,2010,286344000000
aus,2011,296088000000
aus,2012,307586000000
aus,2013,309340000000
aus,2014,314429000000
aus,2015,321793000000
aus,2016,337422000000
aus,2017,354123000000
aus,2018,366692000000
aus,2019,385458000000
aus,2020,413246000000
aut,1970,26602831000
aut,1971,27474535000
aut,1972,28605109000
aut,1973,29458323000
aut,1974,31138335000
aut,1975,32377211000
aut,1976,33756089000
aut,1977,35014900000
aut,1978,35312075000
aut,1979,36605157000
aut,1980,37337600000
aut,1981,38043325000
aut,1982,39277605000
aut,1983,39998335000
aut,1984,40248124000
aut,1985,40815631000
aut,1986,41504793000
aut,1987,41534268000
aut,1988,42258020000
aut,1989,42956087000
aut,1990,43862756000
aut,1991,45180598000
aut,1992,46556242000
aut,1993,48343660000
aut,1994,49773199000
aut,1995,51080190000
aut,1996,51652170000
aut,1997,53054130000
aut,1998,54653920000
aut,1999,56435570000
aut,2000,56566380000
aut,2001,56370320000
aut,2002,56819630000
aut,2003,57398430000
aut,2004,58281030000
aut,2005,59598490000
aut,2006,61546320000
aut,2007,62406700000
aut,2008,64696410000
aut,2009,66285550000
aut,2010,66294840000
aut,2011,66341320000
aut,2012,66375430000
aut,2013,66878590000
aut,2014,67440300000
aut,2015,68033420000
aut,2016,69281680000
aut,2017,69825080000
aut,2018,70694710000
aut,2019,71737890000
aut,2020,71408930000
aze,1992,326851200
aze,1993,294682200
aze,1994,363620100
aze,1995,323506500
aze,1996,343418400
aze,1997,432223000
aze,1998,410002200
aze,1999,505206500
aze,2000,560013900
aze,2001,589744100
aze,2002,634606400
aze,2003,847555900
aze,2004,1016043000
aze,2005,1305100000
aze,2006,1886294400
aze,2007,2276094700
aze,2008,3035622100
aze,2009,3207745600
aze,2010,2893301500
aze,2011,3187708800
aze,2012,3257838400
bdi,1997,137378130100
bdi,1998,142560366500
bdi,1999,152310468200
bdi,2000,81079424300
bdi,2001,94097028700
bdi,2002,93520976000
bdi,2003,116557147200
bdi,2004,146210501700
bdi,2005,170362404000
bdi,2006,196143024000
bdi,2007,252983424000
bdi,2008,335748483000
bdi,2009,309821976000
bdi,2010,357362820000
bdi,2011,376479840000
bdi,2012,398136060000
bdi,2013,446965740000
bdi,2014,455168000000
bdi,2015,437568250300
bdi,2016,437833770900
bdi,2017,476457148100
bdi,2018,508168023800
bdi,2019,554659744200
bdi,2020,656105445900
bel,1970,40785134000
bel,1971,43041446000
bel,1972,45576095000
bel,1973,48009365000
bel,1974,49646189000
bel,1975,51882401000
bel,1976,53793353000
bel,1977,55016642000
bel,1978,58339928000
bel,1979,59787300000
bel,1980,60945140000
bel,1981,62856520000
bel,1982,62430748000
bel,1983,62821294000
bel,1984,62962197000
bel,1985,64795468000
bel,1986,65637822000
bel,1987,67394515000
bel,1988,66928923000
bel,1989,67725331000
bel,1990,67463435000
bel,1991,69921580000
bel,1992,70972226000
bel,1993,70849702000
bel,1994,71834491000
bel,1995,72917300000
bel,1996,74024200000
bel,1997,74924600000
bel,1998,76221100000
bel,1999,78038600000
bel,2000,79883300000
bel,2001,81580300000
bel,2002,84265800000
bel,2003,85838900000
bel,2004,87902400000
bel,2005,88222500000
bel,2006,88879300000
bel,2007,90590800000
bel,2008,93398900000
bel,2009,94873700000
bel,2010,95226300000
bel,2011,95689300000
bel,2012,96823100000
bel,2013,96957300000
bel,2014,98130300000
bel,2015,98404400000
bel,2016,98862300000
bel,2017,99039200000
bel,2018,100369900000
bel,2019,102123300000
bel,2020,102328300000
ben,1960,111166670279.17101
ben,1961,114782047409.655
ben,1962,118397174349.692
ben,1963,122012268736.21201
ben,1964,112070645063.42999
ben,1965,113883281417.98399
ben,1966,109364288397.12399
ben,1967,123825666589.96899
ben,1968,125633170416.88499
ben,1969,128344659610.82899
ben,1970,142802296680.01901
ben,1971,143468429841.36899
ben,1972,156207769034.37201
ben,1973,164545170862.55801
ben,1974,154073435270.75
ben,1975,148070549472.64001
ben,1976,134530741526.92
ben,1977,116322162754.384
ben,1978,116255261138.332
ben,1979,125459772216.979
ben,1980,147403622488.63101
ben,1981,160809888550.61301
ben,1982,124252555106.38699
ben,1983,165670077041.116
ben,1984,168325017557.272
ben,1985,191688784550.42999
ben,1986,187175326662.52701
ben,1987,184254868168.496
ben,1988,148147281790.34399
ben,1989,145580306970.474
ben,1990,229091901701.48697
ben,1991,219684542300
ben,1992,218306214500
ben,1993,218345014500
ben,1994,227734311200
ben,1995,234713388800
ben,1996,240046747500
ben,1997,249601992600
ben,1998,262551730200
ben,1999,268250172600
ben,2000,282488018400
ben,2001,311659435900
ben,2002,321885625100
ben,2003,369550397300
ben,2004,392443117300
ben,2005,409212235700
ben,2006,446988146900
ben,2007,465186181200
ben,2008,533378375000
ben,2009,585541275800
ben,2010,592637431800
ben,2011,612475075100
ben,2012,641671139500
ben,2013,692342768600
ben,2014,676505721700
ben,2015,768307000000
ben,2016,720240000000
ben,2017,770443894000
ben,2018,816670527600
ben,2019,864248147600
ben,2020,989055231200
bfa,1965,54379713428.952
bfa,1966,49049054198.034
bfa,1967,50114439151.0703
bfa,1968,71440806548.757
bfa,1969,71440806548.757
bfa,1970,84236620873.7321
bfa,1971,86482865405.9084
bfa,1972,100361012798.92
