global,time,se_ter_enrr_ma
world,1970,11.62912
world,1971,11.46079
world,1972,11.63708
world,1973,11.78997
world,1974,12.07183
world,1975,12.54956
world,1976,13.11507
world,1977,13.02928
world,1978,13.26808
world,1979,13.38426
world,1980,13.53816
world,1981,13.81842
world,1982,13.91537
world,1983,14.11879
world,1984,14.46731
world,1985,14.4962
world,1986,14.42971
world,1987,14.52227
world,1988,14.24759
world,1989,14.30537
world,1990,14.39582
world,1991,14.51216
world,1992,14.6253
world,1993,14.91787
world,1994,15.43393
world,1995,15.93884
world,1996,16.50734
world,1997,17.17977
world,1998,17.55541
world,1999,18.49619
world,2000,19.12719
world,2001,20.29814
world,2002,21.4167
world,2003,22.5187
world,2004,23.24885
world,2005,23.76253
world,2006,24.40981
world,2007,25.18957
world,2008,26.10364
world,2009,27.12153
world,2010,28.35683
world,2011,30.10842
world,2012,31.14128
world,2013,31.80019
world,2014,33.90332
world,2015,34.91762
world,2016,35.27631
world,2017,35.59164
world,2018,35.95532
world,2019,36.63761
world,2020,37.45123
