geo,time,sh_hiv_incd_yg_p3
afg,1990,0.01
afg,1991,0.01
afg,1992,0.01
afg,1993,0.01
afg,1994,0.01
afg,1995,0.01
afg,1996,0.01
afg,1997,0.01
afg,1998,0.02
afg,1999,0.02
afg,2000,0.02
afg,2001,0.02
afg,2002,0.02
afg,2003,0.02
afg,2004,0.02
afg,2005,0.03
afg,2006,0.03
afg,2007,0.03
afg,2008,0.03
afg,2009,0.03
afg,2010,0.03
afg,2011,0.04
afg,2012,0.04
afg,2013,0.04
afg,2014,0.04
afg,2015,0.04
afg,2016,0.04
afg,2017,0.05
afg,2018,0.05
afg,2019,0.05
afg,2020,0.05
ago,1990,0.53
ago,1991,0.65
ago,1992,0.79
ago,1993,0.92
ago,1994,1.08
ago,1995,1.24
ago,1996,1.39
ago,1997,1.58
ago,1998,1.71
ago,1999,1.9
ago,2000,2.05
ago,2001,2.13
ago,2002,2.23
ago,2003,2.32
ago,2004,2.38
ago,2005,2.37
ago,2006,2.38
ago,2007,2.29
ago,2008,2.25
ago,2009,2.17
ago,2010,2.07
ago,2011,1.98
ago,2012,1.89
ago,2013,1.78
ago,2014,1.64
ago,2015,1.51
ago,2016,1.42
ago,2017,1.37
ago,2018,1.29
ago,2019,1.21
ago,2020,1.14
alb,1990,0.01
alb,1991,0.01
alb,1992,0.01
alb,1993,0.01
alb,1994,0.01
alb,1995,0.01
alb,1996,0.01
alb,1997,0.01
alb,1998,0.01
alb,1999,0.01
alb,2000,0.01
alb,2001,0.01
alb,2002,0.01
alb,2003,0.01
alb,2004,0.01
alb,2005,0.01
alb,2006,0.02
alb,2007,0.02
alb,2008,0.02
alb,2009,0.02
alb,2010,0.03
alb,2011,0.03
alb,2012,0.03
alb,2013,0.03
alb,2014,0.03
alb,2015,0.03
alb,2016,0.03
alb,2017,0.03
alb,2018,0.03
alb,2019,0.02
alb,2020,0.02
are,1990,0.01
are,1991,0.01
are,1992,0.02
are,1993,0.02
are,1994,0.01
are,1995,0.01
are,1996,0.01
are,1997,0.01
are,1998,0.01
are,1999,0.01
are,2000,0.01
are,2001,0.01
are,2002,0.01
are,2003,0.01
are,2004,0.01
are,2005,0.01
are,2006,0.01
are,2007,0.02
are,2008,0.02
are,2009,0.02
are,2010,0.02
are,2011,0.03
are,2012,0.03
are,2013,0.04
are,2014,0.04
are,2015,0.05
are,2016,0.05
are,2017,0.06
are,2018,0.06
are,2019,0.07
are,2020,0.08
arg,1990,0.11
arg,1991,0.13
arg,1992,0.16
arg,1993,0.18
arg,1994,0.21
arg,1995,0.17
arg,1996,0.2
arg,1997,0.2
arg,1998,0.2
arg,1999,0.19
arg,2000,0.18
arg,2001,0.18
arg,2002,0.17
arg,2003,0.17
arg,2004,0.17
arg,2005,0.17
arg,2006,0.17
arg,2007,0.17
arg,2008,0.17
arg,2009,0.17
arg,2010,0.17
arg,2011,0.17
arg,2012,0.17
arg,2013,0.17
arg,2014,0.16
arg,2015,0.16
arg,2016,0.16
arg,2017,0.16
arg,2018,0.15
arg,2019,0.15
arg,2020,0.15
arm,1990,0.01
arm,1991,0.01
arm,1992,0.01
arm,1993,0.01
arm,1994,0.01
arm,1995,0.02
arm,1996,0.03
arm,1997,0.06
arm,1998,0.09
arm,1999,0.12
arm,2000,0.15
arm,2001,0.19
arm,2002,0.22
arm,2003,0.24
arm,2004,0.25
arm,2005,0.23
arm,2006,0.21
arm,2007,0.18
arm,2008,0.15
arm,2009,0.13
arm,2010,0.11
arm,2011,0.1
arm,2012,0.1
arm,2013,0.1
arm,2014,0.1
arm,2015,0.1
arm,2016,0.11
arm,2017,0.11
arm,2018,0.12
arm,2019,0.12
arm,2020,0.13
aus,1990,0.04
aus,1991,0.04
aus,1992,0.04
aus,1993,0.03
aus,1994,0.03
aus,1995,0.03
aus,1996,0.03
aus,1997,0.02
aus,1998,0.02
aus,1999,0.02
aus,2000,0.02
aus,2001,0.02
aus,2002,0.02
aus,2003,0.02
aus,2004,0.02
aus,2005,0.02
aus,2006,0.03
aus,2007,0.03
aus,2008,0.03
aus,2009,0.03
aus,2010,0.03
aus,2011,0.03
aus,2012,0.03
aus,2013,0.03
aus,2014,0.03
aus,2015,0.03
aus,2016,0.03
aus,2017,0.03
aus,2018,0.02
aus,2019,0.02
aus,2020,0.02
aze,1990,0.01
aze,1991,0.01
aze,1992,0.01
aze,1993,0.02
aze,1994,0.03
aze,1995,0.04
aze,1996,0.06
aze,1997,0.09
aze,1998,0.11
aze,1999,0.14
aze,2000,0.16
aze,2001,0.16
aze,2002,0.15
aze,2003,0.14
aze,2004,0.12
aze,2005,0.12
aze,2006,0.11
aze,2007,0.1
aze,2008,0.09
aze,2009,0.09
aze,2010,0.08
aze,2011,0.08
aze,2012,0.07
aze,2013,0.07
aze,2014,0.07
aze,2015,0.06
aze,2016,0.06
aze,2017,0.06
aze,2018,0.05
aze,2019,0.05
aze,2020,0.05
bdi,1990,8.11
bdi,1991,7.27
bdi,1992,6.82
bdi,1993,5.48
bdi,1994,4.46
bdi,1995,3.83
bdi,1996,3.1
bdi,1997,2.68
bdi,1998,2.28
bdi,1999,1.89
bdi,2000,1.67
bdi,2001,1.44
bdi,2002,1.26
bdi,2003,1.07
bdi,2004,0.92
bdi,2005,0.78
bdi,2006,0.74
bdi,2007,0.65
bdi,2008,0.6
bdi,2009,0.58
bdi,2010,0.53
bdi,2011,0.47
bdi,2012,0.43
bdi,2013,0.39
bdi,2014,0.35
bdi,2015,0.32
bdi,2016,0.28
bdi,2017,0.22
bdi,2018,0.17
bdi,2019,0.14
bdi,2020,0.12
ben,1990,1.83
ben,1991,2
ben,1992,2.02
ben,1993,2.03
ben,1994,1.99
ben,1995,1.91
ben,1996,1.78
ben,1997,1.73
ben,1998,1.59
ben,1999,1.5
ben,2000,1.39
ben,2001,1.31
ben,2002,1.24
ben,2003,1.16
ben,2004,1.12
ben,2005,1.04
ben,2006,1.01
ben,2007,0.97
ben,2008,0.88
ben,2009,0.74
ben,2010,0.68
ben,2011,0.61
ben,2012,0.54
ben,2013,0.5
ben,2014,0.51
ben,2015,0.49
ben,2016,0.44
ben,2017,0.39
ben,2018,0.37
ben,2019,0.32
ben,2020,0.28
bfa,1990,4.51
bfa,1991,3.86
bfa,1992,3.54
bfa,1993,3
bfa,1994,2.46
bfa,1995,2.12
bfa,1996,1.77
bfa,1997,1.59
bfa,1998,1.41
bfa,1999,1.17
bfa,2000,1.01
bfa,2001,0.86
bfa,2002,0.75
bfa,2003,0.68
bfa,2004,0.61
bfa,2005,0.55
bfa,2006,0.49
bfa,2007,0.44
bfa,2008,0.4
bfa,2009,0.35
bfa,2010,0.31
bfa,2011,0.27
bfa,2012,0.24
bfa,2013,0.22
bfa,2014,0.19
bfa,2015,0.16
bfa,2016,0.14
bfa,2017,0.12
bfa,2018,0.1
bfa,2019,0.09
bfa,2020,0.08
bhs,1990,1.32
bhs,1991,1.31
bhs,1992,1.25
bhs,1993,1.17
bhs,1994,1.09
bhs,1995,1
bhs,1996,0.93
bhs,1997,0.86
bhs,1998,0.79
bhs,1999,0.74
bhs,2000,0.69
bhs,2001,0.66
bhs,2002,0.63
bhs,2003,0.6
bhs,2004,0.53
bhs,2005,0.5
bhs,2006,0.47
bhs,2007,0.44
bhs,2008,0.42
bhs,2009,0.4
bhs,2010,0.37
bhs,2011,0.36
bhs,2012,0.35
bhs,2013,0.34
bhs,2014,0.31
bhs,2015,0.28
bhs,2016,0.27
bhs,2017,0.26
bhs,2018,0.21
bhs,2019,0.19
bhs,2020,0.18
blr,1990,0.01
blr,1991,0.01
blr,1992,0.01
blr,1993,0.01
blr,1994,0.01
blr,1995,0.01
blr,1996,0.02
blr,1997,0.03
blr,1998,0.04
blr,1999,0.05
blr,2000,0.06
blr,2001,0.07
blr,2002,0.1
blr,2003,0.12
blr,2004,0.15
blr,2005,0.18
blr,2006,0.21
blr,2007,0.22
blr,2008,0.25
blr,2009,0.27
blr,2010,0.28
blr,2011,0.29
blr,2012,0.29
blr,2013,0.29
blr,2014,0.29
blr,2015,0.27
blr,2016,0.26
blr,2017,0.24
blr,2018,0.22
blr,2019,0.19
blr,2020,0.16
blz,1990,0.02
blz,1991,0.05
blz,1992,0.11
blz,1993,0.21
blz,1994,0.37
blz,1995,0.59
blz,1996,0.8
blz,1997,0.95
blz,1998,1.01
blz,1999,0.99
blz,2000,0.92
blz,2001,0.84
blz,2002,0.77
blz,2003,0.71
blz,2004,0.66
blz,2005,0.64
blz,2006,0.61
blz,2007,0.59
blz,2008,0.57
blz,2009,0.55
blz,2010,0.53
blz,2011,0.51
blz,2012,0.5
blz,2013,0.5
blz,2014,0.48
blz,2015,0.47
blz,2016,0.45
blz,2017,0.43
blz,2018,0.42
blz,2019,0.41
blz,2020,0.4
bol,1990,0.03
bol,1991,0.04
bol,1992,0.05
bol,1993,0.05
bol,1994,0.08
bol,1995,0.12
bol,1996,0.15
bol,1997,0.17
bol,1998,0.16
bol,1999,0.13
bol,2000,0.11
bol,2001,0.09
bol,2002,0.09
bol,2003,0.09
bol,2004,0.09
bol,2005,0.09
bol,2006,0.09
bol,2007,0.09
bol,2008,0.09
bol,2009,0.09
bol,2010,0.08
bol,2011,0.09
bol,2012,0.09
bol,2013,0.09
bol,2014,0.09
bol,2015,0.08
bol,2016,0.08
bol,2017,0.08
bol,2018,0.07
bol,2019,0.07
bol,2020,0.06
btn,1990,0.01
btn,1991,0.02
btn,1992,0.02
btn,1993,0.03
btn,1994,0.04
btn,1995,0.05
btn,1996,0.07
btn,1997,0.08
btn,1998,0.12
btn,1999,0.14
btn,2000,0.17
btn,2001,0.16
btn,2002,0.18
btn,2003,0.17
btn,2004,0.16
btn,2005,0.14
btn,2006,0.13
btn,2007,0.12
btn,2008,0.12
btn,2009,0.11
btn,2010,0.1
btn,2011,0.1
btn,2012,0.09
btn,2013,0.09
btn,2014,0.08
btn,2015,0.08
btn,2016,0.07
btn,2017,0.07
btn,2018,0.06
btn,2019,0.06
btn,2020,0.06
bwa,1990,23.58
bwa,1991,31.71
bwa,1992,38.91
bwa,1993,44.99
bwa,1994,48.21
bwa,1995,48.69
bwa,1996,46.52
bwa,1997,42.81
bwa,1998,38.87
bwa,1999,34.69
bwa,2000,30.86
bwa,2001,27.75
bwa,2002,24.84
bwa,2003,22.29
bwa,2004,20.03
bwa,2005,17.89
bwa,2006,16.5
bwa,2007,15.12
bwa,2008,14.46
bwa,2009,13.7
bwa,2010,12.84
bwa,2011,12.09
bwa,2012,11.4
bwa,2013,10.47
bwa,2014,10.01
bwa,2015,9.89
bwa,2016,9.26
bwa,2017,8.66
bwa,2018,8.37
bwa,2019,7.78
bwa,2020,7.43
che,1990,0.12
che,1991,0.1
che,1992,0.08
che,1993,0.06
che,1994,0.05
che,1995,0.05
che,1996,0.05
che,1997,0.05
che,1998,0.05
che,1999,0.06
che,2000,0.06
che,2001,0.07
che,2002,0.07
che,2003,0.07
che,2004,0.06
che,2005,0.06
che,2006,0.05
che,2007,0.05
che,2008,0.05
che,2009,0.04
che,2010,0.04
che,2011,0.04
che,2012,0.04
che,2013,0.04
che,2014,0.04
che,2015,0.04
che,2016,0.03
che,2017,0.03
che,2018,0.02
chl,1990,0.06
chl,1991,0.07
chl,1992,0.09
chl,1993,0.11
chl,1994,0.13
chl,1995,0.15
chl,1996,0.17
chl,1997,0.19
chl,1998,0.2
chl,1999,0.2
chl,2000,0.19
chl,2001,0.18
chl,2002,0.16
chl,2003,0.14
chl,2004,0.13
chl,2005,0.13
chl,2006,0.13
chl,2007,0.14
chl,2008,0.15
chl,2009,0.18
chl,2010,0.2
chl,2011,0.23
chl,2012,0.25
chl,2013,0.27
chl,2014,0.29
chl,2015,0.3
chl,2016,0.31
chl,2017,0.31
chl,2018,0.31
chl,2019,0.31
chl,2020,0.3
civ,1990,8.82
civ,1991,9.75
civ,1992,10.21
civ,1993,10.27
civ,1994,9.9
civ,1995,9.22
civ,1996,7.79
civ,1997,7.06
civ,1998,5.93
civ,1999,5.07
civ,2000,4.48
civ,2001,3.92
civ,2002,3.4
civ,2003,3
civ,2004,2.69
civ,2005,2.39
civ,2006,2.11
civ,2007,1.97
civ,2008,1.75
civ,2009,1.61
civ,2010,1.37
civ,2011,1.22
civ,2012,1.07
civ,2013,0.94
civ,2014,0.85
civ,2015,0.75
civ,2016,0.66
civ,2017,0.55
civ,2018,0.45
civ,2019,0.37
civ,2020,0.31
cmr,1990,2.61
cmr,1991,3.31
cmr,1992,4.1
cmr,1993,5.04
cmr,1994,5.9
cmr,1995,6.6
cmr,1996,7.12
cmr,1997,7.46
cmr,1998,7.67
cmr,1999,7.25
cmr,2000,6.84
cmr,2001,6.12
cmr,2002,5.6
cmr,2003,4.93
cmr,2004,4.47
cmr,2005,4.07
cmr,2006,3.76
cmr,2007,3.44
cmr,2008,3.21
cmr,2009,3.02
cmr,2010,2.75
cmr,2011,2.52
cmr,2012,2.28
cmr,2013,2.06
cmr,2014,1.91
cmr,2015,1.75
cmr,2016,1.56
cmr,2017,1.34
cmr,2018,1.11
cmr,2019,0.96
cmr,2020,0.82
cod,1990,2.58
cod,1991,2.61
cod,1992,2.6
cod,1993,2.52
cod,1994,2.35
cod,1995,2.2
cod,1996,2.03
cod,1997,1.86
cod,1998,1.66
cod,1999,1.55
cod,2000,1.42
cod,2001,1.33
cod,2002,1.24
cod,2003,1.13
cod,2004,1.05
cod,2005,0.99
cod,2006,0.92
cod,2007,0.86
cod,2008,0.81
cod,2009,0.74
cod,2010,0.69
cod,2011,0.64
cod,2012,0.6
cod,2013,0.56
cod,2014,0.52
cod,2015,0.48
cod,2016,0.45
cod,2017,0.4
cod,2018,0.34
cod,2019,0.29
cod,2020,0.23
cog,1990,8.83
cog,1991,8.02
cog,1992,6.88
cog,1993,5.88
cog,1994,4.97
cog,1995,4.66
cog,1996,4.33
cog,1997,4.12
cog,1998,3.65
cog,1999,3.65
cog,2000,3.35
cog,2001,3.2
cog,2002,3.24
cog,2003,3.01
cog,2004,3.03
cog,2005,2.78
cog,2006,2.64
cog,2007,2.64
cog,2008,2.71
cog,2009,2.52
cog,2010,2.55
cog,2011,2.62
cog,2012,2.67
cog,2013,2.81
cog,2014,2.9
cog,2015,3.02
cog,2016,2.95
cog,2017,2.99
cog,2018,3.09
cog,2019,3.1
cog,2020,3.2
col,1990,0.16
col,1991,0.18
col,1992,0.2
col,1993,0.2
col,1994,0.21
col,1995,0.21
col,1996,0.2
col,1997,0.19
col,1998,0.18
col,1999,0.18
col,2000,0.17
col,2001,0.17
col,2002,0.16
col,2003,0.15
col,2004,0.13
col,2005,0.13
col,2006,0.13
col,2007,0.13
col,2008,0.12
col,2009,0.13
col,2010,0.14
col,2011,0.14
col,2012,0.13
col,2013,0.13
col,2014,0.12
col,2015,0.12
col,2016,0.11
col,2017,0.11
col,2018,0.11
col,2019,0.11
col,2020,0.1
com,1990,0.02
com,1991,0.02
com,1992,0.02
com,1993,0.02
com,1994,0.02
com,1995,0.03
com,1996,0.03
com,1997,0.03
com,1998,0.03
com,1999,0.03
com,2000,0.04
com,2001,0.04
com,2002,0.04
com,2003,0.04
com,2004,0.04
com,2005,0.04
com,2006,0.04
com,2007,0.04
com,2008,0.03
com,2009,0.03
com,2010,0.03
com,2011,0.03
com,2012,0.02
com,2013,0.02
com,2014,0.02
com,2015,0.02
com,2016,0.02
com,2017,0.02
com,2018,0.02
com,2019,0.02
com,2020,0.01
cri,1990,0.06
cri,1991,0.06
cri,1992,0.06
cri,1993,0.07
cri,1994,0.07
cri,1995,0.07
cri,1996,0.08
cri,1997,0.08
cri,1998,0.08
cri,1999,0.08
cri,2000,0.08
cri,2001,0.09
cri,2002,0.09
cri,2003,0.09
cri,2004,0.09
cri,2005,0.09
cri,2006,0.09
cri,2007,0.09
cri,2008,0.09
cri,2009,0.1
cri,2010,0.1
cri,2011,0.11
cri,2012,0.12
cri,2013,0.13
cri,2014,0.14
cri,2015,0.16
cri,2016,0.17
cri,2017,0.19
cri,2018,0.22
cri,2019,0.24
cri,2020,0.26
cub,1990,0.01
cub,1991,0.01
cub,1992,0.01
cub,1993,0.01
cub,1994,0.01
cub,1995,0.02
cub,1996,0.02
cub,1997,0.03
cub,1998,0.03
cub,1999,0.04
cub,2000,0.05
cub,2001,0.06
cub,2002,0.07
cub,2003,0.09
cub,2004,0.1
cub,2005,0.11
cub,2006,0.12
cub,2007,0.13
cub,2008,0.14
cub,2009,0.14
cub,2010,0.15
cub,2011,0.15
cub,2012,0.16
cub,2013,0.16
cub,2014,0.16
cub,2015,0.16
cub,2016,0.16
cub,2017,0.16
cub,2018,0.16
cub,2019,0.16
cub,2020,0.16
deu,1990,0.05
deu,1991,0.05
deu,1992,0.04
deu,1993,0.03
deu,1994,0.03
deu,1995,0.03
deu,1996,0.03
deu,1997,0.03
deu,1998,0.03
deu,1999,0.03
deu,2000,0.03
deu,2001,0.03
deu,2002,0.04
deu,2003,0.05
deu,2004,0.05
deu,2005,0.05
deu,2006,0.05
deu,2007,0.05
deu,2008,0.05
deu,2009,0.05
deu,2010,0.05
deu,2011,0.04
deu,2012,0.05
deu,2013,0.05
deu,2014,0.05
deu,2015,0.05
deu,2016,0.05
deu,2017,0.04
deu,2018,0.04
deu,2019,0.04
deu,2020,0.04
dji,1990,0.34
dji,1991,0.63
dji,1992,1.07
dji,1993,1.74
dji,1994,2.69
dji,1995,3.91
dji,1996,4.99
dji,1997,5.9
dji,1998,5.83
dji,1999,4.63
dji,2000,3.58
dji,2001,2.51
dji,2002,1.95
dji,2003,1.1
dji,2004,0.86
dji,2005,0.72
dji,2006,0.63
dji,2007,0.59
dji,2008,0.5
dji,2009,0.45
dji,2010,0.4
dji,2011,0.36
dji,2012,0.32
dji,2013,0.28
dji,2014,0.25
dji,2015,0.21
dji,2016,0.19
dji,2017,0.16
dji,2018,0.14
dji,2019,0.13
dji,2020,0.12
dnk,1990,0.04
dnk,1991,0.05
dnk,1992,0.05
dnk,1993,0.05
dnk,1994,0.05
dnk,1995,0.04
dnk,1996,0.04
dnk,1997,0.04
dnk,1998,0.04
dnk,1999,0.04
dnk,2000,0.03
dnk,2001,0.03
dnk,2002,0.03
dnk,2003,0.03
dnk,2004,0.03
dnk,2005,0.03
dnk,2006,0.03
dnk,2007,0.03
dnk,2008,0.03
dnk,2009,0.03
dnk,2010,0.03
dnk,2011,0.03
dnk,2012,0.03
dnk,2013,0.03
dnk,2014,0.03
dnk,2015,0.03
dnk,2016,0.02
dnk,2017,0.02
dnk,2018,0.02
dnk,2019,0.02
dnk,2020,0.02
dom,1990,0.84
dom,1991,1.03
dom,1992,1.21
dom,1993,1.35
dom,1994,1.33
dom,1995,1.29
dom,1996,1.23
dom,1997,1.18
dom,1998,1.09
dom,1999,0.98
dom,2000,0.85
dom,2001,0.73
dom,2002,0.63
dom,2003,0.55
dom,2004,0.47
dom,2005,0.42
dom,2006,0.37
dom,2007,0.32
dom,2008,0.32
dom,2009,0.3
dom,2010,0.29
dom,2011,0.29
dom,2012,0.28
dom,2013,0.28
dom,2014,0.28
dom,2015,0.28
dom,2016,0.27
dom,2017,0.27
dom,2018,0.27
dom,2019,0.26
dom,2020,0.26
dza,1990,0.01
dza,1991,0.01
dza,1992,0.01
dza,1993,0.01
dza,1994,0.01
dza,1995,0.01
dza,1996,0.01
dza,1997,0.01
dza,1998,0.01
dza,1999,0.01
dza,2000,0.01
dza,2001,0.01
dza,2002,0.01
dza,2003,0.01
dza,2004,0.01
dza,2005,0.01
dza,2006,0.01
dza,2007,0.01
dza,2008,0.01
dza,2009,0.01
dza,2010,0.01
dza,2011,0.02
dza,2012,0.02
dza,2013,0.02
dza,2014,0.03
dza,2015,0.03
dza,2016,0.03
dza,2017,0.03
dza,2018,0.03
dza,2019,0.03
dza,2020,0.03
ecu,1990,0.08
ecu,1991,0.09
ecu,1992,0.1
ecu,1993,0.11
ecu,1994,0.12
ecu,1995,0.13
ecu,1996,0.13
ecu,1997,0.13
ecu,1998,0.14
ecu,1999,0.14
ecu,2000,0.14
ecu,2001,0.14
ecu,2002,0.15
ecu,2003,0.15
ecu,2004,0.15
ecu,2005,0.14
ecu,2006,0.12
ecu,2007,0.12
ecu,2008,0.11
ecu,2009,0.11
ecu,2010,0.12
ecu,2011,0.11
ecu,2012,0.11
ecu,2013,0.11
ecu,2014,0.11
ecu,2015,0.11
ecu,2016,0.1
ecu,2017,0.1
ecu,2018,0.09
ecu,2019,0.09
ecu,2020,0.08
egy,1990,0.01
egy,1991,0.01
egy,1992,0.01
egy,1993,0.01
egy,1994,0.01
egy,1995,0.01
egy,1996,0.01
egy,1997,0.01
egy,1998,0.01
egy,1999,0.01
egy,2000,0.01
egy,2001,0.01
egy,2002,0.01
egy,2003,0.01
egy,2004,0.01
egy,2005,0.01
egy,2006,0.01
egy,2007,0.01
egy,2008,0.01
egy,2009,0.01
egy,2010,0.01
egy,2011,0.02
egy,2012,0.02
egy,2013,0.02
egy,2014,0.02
egy,2015,0.03
egy,2016,0.03
egy,2017,0.03
egy,2018,0.03
egy,2019,0.04
egy,2020,0.04
eri,1990,2.16
eri,1991,2.53
eri,1992,2.66
eri,1993,2.83
eri,1994,2.73
eri,1995,2.54
eri,1996,2.24
eri,1997,1.9
eri,1998,1.62
eri,1999,1.23
eri,2000,0.97
eri,2001,0.84
eri,2002,0.73
eri,2003,0.65
eri,2004,0.58
eri,2005,0.52
eri,2006,0.46
eri,2007,0.41
eri,2008,0.38
eri,2009,0.34
eri,2010,0.31
eri,2011,0.28
eri,2012,0.25
eri,2013,0.22
eri,2014,0.19
eri,2015,0.17
eri,2016,0.15
eri,2017,0.13
eri,2018,0.12
eri,2019,0.11
eri,2020,0.1
esp,1990,0.59
esp,1991,0.53
esp,1992,0.44
esp,1993,0.37
esp,1994,0.3
esp,1995,0.26
esp,1996,0.22
esp,1997,0.19
esp,1998,0.17
esp,1999,0.15
esp,2000,0.14
esp,2001,0.13
esp,2002,0.12
esp,2003,0.12
esp,2004,0.12
esp,2005,0.12
esp,2006,0.13
esp,2007,0.13
esp,2008,0.14
esp,2009,0.15
esp,2010,0.16
esp,2011,0.17
esp,2012,0.18
esp,2013,0.19
esp,2014,0.19
esp,2015,0.19
esp,2016,0.19
esp,2017,0.19
esp,2018,0.19
esp,2019,0.18
esp,2020,0.17
est,1990,0.01
est,1991,0.01
est,1992,0.01
est,1993,0.01
est,1994,0.01
est,1995,0.01
est,1996,0.01
est,1997,0.01
est,1998,0.01
est,1999,0.01
est,2000,0.19
est,2001,0.69
est,2002,0.57
est,2003,0.47
est,2004,0.4
est,2005,0.34
est,2006,0.29
est,2007,0.26
est,2008,0.24
est,2009,0.22
est,2010,0.2
est,2011,0.19
est,2012,0.18
est,2013,0.17
est,2014,0.16
est,2015,0.15
est,2016,0.15
est,2017,0.14
est,2018,0.14
est,2019,0.14
est,2020,0.13
eth,1990,4.33
eth,1991,4.71
eth,1992,4.8
eth,1993,4.57
eth,1994,4.09
eth,1995,3.5
eth,1996,2.86
eth,1997,2.44
eth,1998,2
eth,1999,1.77
