geo,time,dt_dod_dstc_ir_zs
afg,2008,0.60363
afg,2009,0.50055
afg,2010,2.03523
afg,2011,1.26582
afg,2012,1.58282
afg,2013,1.45293
afg,2014,2.31219
afg,2015,4.12501
afg,2016,4.86904
afg,2017,5.79906
afg,2018,5.28516
afg,2019,4.94092
afg,2020,4.42541
ago,1995,857.42602
ago,1996,210.28209
ago,1997,322.71148
ago,1998,832.09707
ago,1999,322.64742
ago,2000,110.40745
ago,2001,198.2746
ago,2002,321.53865
ago,2003,169.41761
ago,2004,86.71602
ago,2005,72.44786
ago,2006,26.16842
ago,2007,20.27281
ago,2008,13.37838
ago,2009,18.97354
ago,2010,23.2113
ago,2011,22.41761
ago,2012,27.90647
ago,2013,36.00375
ago,2014,28.33642
ago,2015,25.4325
ago,2016,18.60373
ago,2017,21.24537
ago,2018,18.37545
ago,2019,19.97573
ago,2020,46.26793
alb,1993,346.75713
alb,1994,259.99796
alb,1995,23.49674
alb,1996,9.7685
alb,1997,13.95439
alb,1998,8.35223
alb,1999,5.55115
alb,2000,5.67313
alb,2001,3.97348
alb,2002,3.35223
alb,2003,14.39226
alb,2004,0.08841
alb,2005,10.76958
alb,2006,21.3192
alb,2007,23.6208
alb,2008,48.63602
alb,2009,28.72754
alb,2010,29.25098
alb,2011,44.17694
alb,2012,56.53735
alb,2013,57.17223
alb,2014,65.58617
alb,2015,50.54252
alb,2016,52.97604
alb,2017,52.71598
alb,2018,48.8999
alb,2019,16.13365
alb,2020,13.90551
arg,1970,93.72409
arg,1971,225.75327
arg,1972,130.14243
arg,1973,49.71027
arg,1974,44.40141
arg,1975,100.0914
arg,1976,51.42902
arg,1977,70.86475
arg,1978,57.77539
arg,1979,59.44176
arg,1980,111.68842
arg,1981,258.10527
arg,1982,366.81049
arg,1983,313.82338
arg,1984,413.75082
arg,1985,143.14089
arg,1986,99.60399
arg,1987,94.61768
arg,1988,110.86643
arg,1989,264.99832
arg,1990,167.79698
arg,1991,181.51724
arg,1992,141.3143
arg,1993,55.82606
arg,1994,44.80903
arg,1995,133.63925
arg,1996,119.1614
arg,1997,142.64695
arg,1998,124.54283
arg,1999,111.63198
arg,2000,112.61604
arg,2001,137.43155
arg,2002,141.38541
arg,2003,158.12546
arg,2004,135.0421
arg,2005,124.78059
arg,2006,88.22126
arg,2007,41.60563
arg,2008,41.90868
arg,2009,40.17295
arg,2010,31.438
arg,2011,55.64713
arg,2012,58.42203
arg,2013,120.1667
arg,2014,107.89641
arg,2015,232.88765
arg,2016,106.77392
arg,2017,100.34766
arg,2018,102.33873
arg,2019,149.32082
arg,2020,108.129
arm,1993,0.1472
arm,1994,2.95387
arm,1995,1.92477
arm,1996,0.83233
arm,1997,9.19633
arm,1998,15.40781
arm,1999,16.21024
arm,2000,14.13716
arm,2001,12.73296
arm,2002,51.04712
arm,2003,80.48177
arm,2004,74.85045
