global,time,st_int_rcpt_cd
world,1995,522216016390.65802
world,1996,555404725193.48401
world,1997,560356449156.78699
world,1998,565195602239.06702
world,1999,583237468517.24683
world,2000,596264818678.01001
world,2001,578659604540.27405
world,2002,595908753484.19104
world,2003,646313998612.59082
world,2004,767670139801.40698
world,2005,829031044550.55603
world,2006,896936799785.33984
world,2007,1040252065963.58997
world,2008,1153392933037.3999
world,2009,1052491143559.51001
world,2010,1166383975988.91992
world,2011,1307820554832.44995
world,2012,1375444457151.15991
world,2013,1481874622805.71997
world,2014,1563278460419.11011
world,2015,1516754650633.11011
world,2016,1541142563377.12988
world,2017,1681211087096.03003
world,2018,1829956003842.38965
world,2019,1863068555520.54004
