global,time,en_atm_co2e_lf_kt
world,1960,3025727.14632
world,1961,3185843.44667
world,1962,3418102.61608
world,1963,3649872.21301
world,1964,3906880.48153
world,1965,4201791.92502
world,1966,4509445.53518
world,1967,4808930.7798
world,1968,5232388.19893
world,1969,5673121.28806
world,1970,6510868.37515
world,1971,6896107.11536
world,1972,7432506.55369
world,1973,7957675.00662
world,1974,7914673.26815
world,1975,7854782.73894
world,1976,8268777.73475
world,1977,8602793.76856
world,1978,8939417.06738
world,1979,9084065.87278
world,1980,8760877.84677
world,1981,8388591.03138
world,1982,8229330.25861
world,1983,8182065.01725
world,1984,8217724.50406
world,1985,8216531.6904
world,1986,8436267.30988
world,1987,8410674.20323
world,1988,8713793.94533
world,1989,8902883.1192
world,1990,8534485.03753
world,1991,8668807.0194
world,1992,8389934.45471
world,1993,8476348.04046
world,1994,8417638.61865
world,1995,8494735.08991
world,1996,8708493.71329
world,1997,8820762.16069
world,1998,8898866.90998
world,1999,9044143.58358
world,2000,9274895.73969
world,2001,9337217.62586
world,2002,9251973.97369
world,2003,9504281.93699
world,2004,9762400.27676
world,2005,9789612.26796
world,2006,9826007.54602
world,2007,9765944.26868
world,2008,9889653.01661
world,2009,9779347.17093
world,2010,9986727.15667
world,2011,9955128.28613
world,2012,10133811.41339
world,2013,10206649.22099
world,2014,10367135.38617
world,2015,10475563.02744
world,2016,10482497.57377
