geo,time,tm_tax_tcom_wm_ar_zs
abw,2011,7.86
abw,2012,6.67
abw,2013,7.2
abw,2015,7.92
abw,2016,7.99
abw,2017,8.36
abw,2018,7.67
abw,2019,13.54
afg,2004,3.11
afg,2006,4.86
afg,2007,4.89
afg,2008,4.13
afg,2012,4.83
afg,2013,4.83
afg,2018,4.94
ago,2002,14.3
ago,2004,12.81
ago,2005,13.12
ago,2006,13.12
ago,2008,15.78
ago,2009,15.78
ago,2010,15.45
ago,2011,14.59
ago,2012,12.98
ago,2013,13.87
ago,2014,15.25
ago,2015,17.61
ago,2016,17.61
ago,2018,9
ago,2019,9.48
ago,2020,14.18
alb,1997,12.8
alb,2000,10.83
alb,2001,10.6
alb,2002,7.68
alb,2003,7.57
alb,2004,6.97
alb,2005,6.51
alb,2006,6.36
alb,2007,5.21
alb,2008,3.24
alb,2009,5.29
alb,2010,4.95
alb,2011,1.76
alb,2012,1.68
alb,2013,1.87
alb,2014,2.02
alb,2015,1.95
alb,2016,1.82
alb,2017,1.26
alb,2018,1.99
alb,2019,1.99
alb,2020,2.21
are,2005,3.61
are,2007,3.02
are,2008,2.73
are,2009,2.73
are,2011,3.13
are,2012,4.05
are,2013,4.45
are,2014,3.52
are,2015,4.29
are,2016,3.85
are,2017,16.58
are,2018,19.42
are,2019,11.79
are,2020,5.16
arg,1992,5.83
arg,1993,4.94
arg,1995,4.42
arg,1996,6.66
arg,1997,6.74
arg,1998,9.13
arg,1999,5.63
arg,2000,5.05
arg,2001,4.52
arg,2002,6.45
arg,2003,5.69
arg,2004,2.26
arg,2005,1.73
arg,2006,1.44
arg,2007,1.39
arg,2008,1.12
arg,2009,1.52
arg,2010,1.36
arg,2011,1.13
arg,2012,1.16
arg,2013,1.03
arg,2014,1.15
arg,2015,1.46
arg,2016,1.69
arg,2017,1.57
arg,2018,1.81
arg,2019,1.77
arg,2020,1.54
arm,2001,3.4
arm,2003,3.75
arm,2004,3.26
arm,2005,3.19
arm,2006,2.02
arm,2007,3.01
arm,2008,2.22
arm,2009,3.52
arm,2010,3.38
arm,2011,3.44
arm,2012,1.95
arm,2013,1.82
arm,2014,1.98
arm,2015,1.81
arm,2016,0.89
arm,2017,1.65
arm,2019,4.38
arm,2020,2.04
atg,1996,19.15
atg,1999,17.63
atg,2000,15.37
atg,2001,13.22
atg,2002,13.22
atg,2003,11.07
atg,2004,10.59
atg,2005,10.71
atg,2006,11.93
atg,2007,13.08
atg,2008,12.57
atg,2009,16.29
atg,2010,9.28
atg,2011,9.28
atg,2012,10.48
atg,2013,14.81
atg,2014,7.08
atg,2015,9.53
atg,2016,9.48
atg,2017,13.38
atg,2018,13.58
atg,2019,13.9
atg,2020,13.9
aus,1991,68.05
aus,1993,8.52
aus,1996,8.43
aus,1997,7.96
aus,1998,8.03
aus,1999,7.51
