geo,time,se_sec_enrr
abw,1999,98.79692
abw,2000,96.51617
abw,2001,97.97287
abw,2002,100.52068
abw,2003,99.09117
abw,2004,97.25244
abw,2005,95.94176
abw,2006,97.35637
abw,2007,102.55975
abw,2008,94.64913
abw,2009,96.73602
abw,2010,95.82354
abw,2011,97.02788
abw,2012,111.15977
afg,1970,8.30642
afg,1971,9.31527
afg,1972,10.30276
afg,1973,10.77583
afg,1974,10.91069
afg,1975,11.37271
afg,1976,12.27649
afg,1977,13.13156
afg,1978,13.82176
afg,1980,16.76427
afg,1981,19.32814
afg,1982,10.59393
afg,1984,12.37108
afg,1985,13.1001
afg,1986,12.09805
afg,1988,13.20184
afg,1989,12.65581
afg,1990,10.84996
afg,1991,15.59009
afg,1993,15.42397
afg,1994,21.44198
afg,1995,20.82245
afg,2001,12.32462
afg,2003,12.54889
afg,2004,17.56808
afg,2005,18.61681
afg,2006,28.25587
afg,2007,28.49334
afg,2008,38.19398
afg,2009,44.42038
afg,2010,50.56725
afg,2011,51.75691
afg,2012,53.61805
afg,2013,53.57513
afg,2014,52.5829
afg,2015,51.66995
afg,2016,51.65594
afg,2017,53.6432
afg,2018,55.42521
ago,1971,5.76748
ago,1972,6.34225
ago,1973,7.05664
ago,1978,8.11106
ago,1980,10.68394
ago,1981,13.76514
ago,1982,9.68932
ago,1983,8.70721
ago,1984,10.65704
ago,1985,8.98985
ago,1986,10.12964
ago,1987,9.74631
ago,1988,8.17843
ago,1989,9.05875
ago,1990,8.40345
ago,1991,8.93437
ago,1992,10.09933
ago,1998,10.81928
ago,1999,10.74743
ago,2000,12.26628
ago,2001,13.85372
ago,2002,14.98359
ago,2008,21.28946
ago,2009,22.69255
ago,2010,26.25922
ago,2011,26.48254
ago,2016,50.67148
alb,1976,84.97426
alb,1978,86.50983
alb,1979,88.25525
alb,1980,90.19371
alb,1981,91.18642
alb,1982,87.04559
alb,1983,82.00112
alb,1984,82.24953
alb,1985,85.28297
alb,1986,88.39249
alb,1987,87.83218
alb,1988,88.60357
alb,1989,88.8033
alb,1990,90.08174
alb,1991,90.89363
alb,1992,77.71476
alb,1993,70.33512
alb,1994,68.72906
alb,1995,68.67849
alb,1996,67.86755
alb,1997,69.36618
alb,1998,71.31361
alb,1999,71.54467
alb,2000,71.07808
alb,2001,72.53716
alb,2002,72.86855
alb,2003,75.24344
alb,2004,74.80221
alb,2005,77.90939
alb,2006,79.18955
alb,2007,82.20059
