geo,time,se_prm_nint_ma_zs
abw,1999,86.16874
abw,2000,78.43907
abw,2003,82.18997
abw,2004,81.80662
abw,2005,80.38394
abw,2009,88.37554
afg,2007,61.59245
afg,2011,88.13594
afg,2014,79.16159
afg,2015,82.0002
ago,1998,22.03523
ago,2008,54.74267
ago,2009,57.44043
ago,2010,59.67504
alb,2010,70.3847
alb,2011,70.03206
alb,2012,74.74937
alb,2013,76.6371
alb,2014,74.3334
alb,2015,74.89183
alb,2016,72.76386
alb,2017,82.29127
alb,2018,76.61727
are,2007,42.18293
are,2012,48.44362
are,2013,46.57963
are,2015,46.487
arm,2002,69.44928
arm,2014,88.12843
arm,2015,89.24898
arm,2016,91.98939
arm,2017,90.34554
arm,2018,86.03276
atg,2009,65.09299
atg,2011,72.86357
atg,2012,55.27489
atg,2014,76.71429
atg,2017,62.55319
atg,2018,70.79277
aze,1998,83.17934
aze,1999,84.99325
aze,2002,64.61196
aze,2003,64.41936
aze,2004,68.08595
aze,2005,66.30308
aze,2006,68.33314
aze,2007,67.47976
aze,2008,71.40475
aze,2009,72.41985
aze,2010,69.44775
aze,2011,77.44527
aze,2012,79.91906
aze,2013,83.18667
aze,2014,80.20247
aze,2015,73.78961
aze,2018,74.7573
bdi,2000,27.23677
bdi,2003,31.55026
bdi,2004,35.53007
bdi,2005,34.5869
bdi,2006,54.79171
bdi,2007,54.0086
bdi,2009,57.85549
bdi,2010,73.02549
bdi,2011,72.40607
bdi,2012,72.13714
bdi,2013,72.82421
bdi,2014,72.8773
bdi,2015,70.97043
bdi,2016,66.94338
bdi,2017,57.90526
bdi,2018,57.56015
ben,2003,52.96819
ben,2004,54.47716
ben,2005,53.09914
ben,2010,63.13091
ben,2011,60.87182
ben,2018,52.30121
bfa,1999,23.03844
bfa,2000,25.08872
bfa,2001,25.4161
bfa,2002,22.12301
bfa,2003,26.2747
bfa,2004,28.53264
bfa,2005,33.16434
bfa,2006,30.70842
bfa,2007,36.07053
bfa,2008,45.28868
bfa,2009,35.35659
bfa,2010,20.23436
bfa,2011,16.97822
bfa,2012,28.30942
bfa,2013,30.06558
bfa,2015,27.56022
bfa,2017,47.14144
bfa,2018,45.1496
bgd,2006,87.99635
bgd,2007,94.1881
bgd,2008,94.52373
bgd,2009,94.80267
bgd,2010,92.83338
bgr,2002,85.66155
bgr,2013,86.21723
bgr,2014,85.8356
bgr,2015,82.9278
bgr,2016,80.92679
bgr,2017,82.12713
