geo,time,sh_uhc_nop2_cg
afg,2007,2.41882
afg,2013,9.13029
ago,2008,4.61168
alb,1996,2.40495
alb,2002,3.98429
alb,2005,2.46677
alb,2008,1.03511
alb,2012,1.21659
arg,1996,0.75799
arg,2004,0.69054
arm,1999,6.44245
arm,2001,6.54046
arm,2002,4.61036
arm,2003,3.66675
arm,2004,2.9782
arm,2005,1.59285
arm,2006,1.72014
arm,2007,0.65874
arm,2008,0.36568
arm,2009,0.58456
arm,2010,1.2585
arm,2011,2.22383
arm,2012,1.95549
arm,2013,2.07603
aus,2010,0
aut,1999,0
aze,2002,0.04464
aze,2003,0.05725
aze,2004,0
aze,2005,0.00055
bdi,1986,1.34396
bdi,1998,1.90672
bdi,2013,2.48766
bel,1997,0
bel,2010,0
ben,2003,6.32766
ben,2011,7.18325
bfa,1998,4.45628
bfa,2003,3.99928
bfa,2009,2.77769
bfa,2014,3.8977
bgd,2000,11.14604
bgd,2005,5.83215
bgd,2010,6.76931
bgd,2016,14.44209
bgr,1995,0.07707
bgr,1997,0.40346
bgr,2000,0.21187
bgr,2001,0.49484
bgr,2007,0.36016
bgr,2010,0.13254
bhs,2013,0
bih,2001,0.45504
bih,2004,0.15876
bih,2007,0.03091
bih,2011,0.02202
bih,2015,0.03302
blr,1998,0.42019
blr,1999,0.28828
blr,2000,0.28271
blr,2001,0.19202
blr,2002,0.71133
blr,2003,0.54791
blr,2004,0.25331
blr,2005,0.11943
blr,2006,0.05466
blr,2007,0.02454
blr,2008,0.01592
blr,2009,0.01718
blr,2010,0.00312
blr,2011,0.00007
blr,2012,0.00454
blr,2013,0.00039
blr,2014,0
blr,2015,0
blr,2016,0.00235
bol,1999,7.28637
bol,2000,6.4106
bol,2001,2.10061
bol,2002,2.01266
bol,2008,0.50939
bol,2011,0.34623
bol,2012,0.33767
bol,2015,0.53952
bra,2008,2.78009
brb,2016,0.56061
btn,2003,1.94252
btn,2007,2.38926
btn,2012,0.28959
btn,2017,0.14824
bwa,1993,2.50179
bwa,2009,0.85015
can,1994,0.14051
can,2000,0.19517
can,2004,0.17635
can,2007,0.13901
can,2010,0.15936
che,2000,0
che,2002,0
che,2004,0
chl,1997,0.27541
chl,2006,0.03696
chl,2011,0.05114
chl,2016,0.01755
chn,1995,2.73339
chn,2000,6.04377
chn,2002,6.22436
chn,2007,5.09654
chn,2013,4.37261
civ,1985,2.74597
civ,1986,2.08733
civ,1987,2.31071
civ,1988,3.01695
civ,1998,9.74713
civ,2002,7.49754
civ,2008,6.52133
civ,2015,4.8065
cmr,1996,8.39536
cmr,2001,4.76327
cmr,2007,4.76073
cmr,2014,3.63878
cod,2004,1.54426
cod,2012,2.73756
cog,2005,5.8885
cog,2011,2.91475
col,2008,1.19288
col,2010,1.06192
col,2016,0.77808
cpv,2001,1.03972
cpv,2007,0.51232
cri,1992,0.26447
cri,2004,0.23136
cri,2012,0.25936
cyp,2010,0.25638
cze,1999,0
cze,2010,0
deu,2010,0.03775
dji,1996,0.37437
dji,2002,1.54809
dnk,1997,0
dnk,2010,0
dom,2007,1.93091
ecu,1998,3.22999
ecu,2011,1.49991
ecu,2013,2.03213
egy,1997,1.16489
egy,2008,0.44545
egy,2012,0.6361
esp,1985,0
esp,1996,0.02428
esp,2010,0.0018
est,1995,0.26137
est,2000,0.22173
est,2001,0.22143
est,2002,0.24173
est,2003,0.34894
est,2004,0.27325
est,2005,0.4712
est,2006,0.33166
est,2007,0.27512
eth,1999,1.37024
eth,2004,0.92597
eth,2011,1.30212
eth,2015,2.53521
fin,1998,0
fin,2010,0
fji,2002,1.26861
fra,2010,0.08898
gab,2005,1.17251
gbr,1995,0
gbr,1999,0
gbr,2000,0
gbr,2005,0
gbr,2013,0
geo,1997,3.46715
geo,1998,2.86498
geo,1999,3.90822
geo,2000,5.39517
geo,2001,5.71679
geo,2002,5.5378
geo,2003,5.05539
geo,2004,4.72266
geo,2005,5.8252
geo,2006,6.52918
geo,2007,7.04327
geo,2008,7.54993
geo,2009,9.44483
geo,2010,8.86125
geo,2011,8.60104
geo,2012,8.50743
geo,2013,7.82993
gha,1991,3.73276
gha,1998,4.46174
gha,2005,2.39264
gha,2012,0.64061
gin,2002,5.50364
gin,2007,3.699
gin,2012,4.35322
gmb,2003,1.5787
gnb,2002,3.95392
grc,1998,0
grc,2010,0
grc,2016,0.01481
gtm,2000,0.81466
gtm,2011,0.61345
gtm,2014,0.29054
guy,1993,1.15669
hrv,1998,0
hrv,2004,0.01298
hrv,2008,0.00171
hrv,2009,0.01103
hrv,2010,0
hun,1998,0.04068
hun,1999,0.03569
hun,2000,0.03759
hun,2001,0.01393
hun,2002,0.00353
hun,2003,0.0336
hun,2004,0.04556
hun,2005,0.0321
hun,2006,0.01396
hun,2007,0.05698
hun,2010,0.0187
idn,2001,2.71406
idn,2002,2.44216
idn,2004,2.39764
idn,2005,2.10737
idn,2006,2.03274
idn,2007,2.46013
idn,2009,1.9532
idn,2010,1.69883
idn,2011,1.39698
idn,2012,1.21542
idn,2013,1.30486
idn,2014,1.45725
idn,2015,1.05335
ind,2000,6.79406
ind,2003,8.3158
ind,2004,8.3997
ind,2006,8.84572
ind,2007,6.95411
ind,2009,7.0065
ind,2011,8.14353
irl,1999,0.55106
irl,2009,0
irl,2010,0
irn,2005,0.81803
irn,2006,0.8367
irn,2007,0.49803
irn,2008,0.34767
irn,2009,0.44827
irn,2010,0.27612
irn,2011,0.12441
irn,2012,0.09563
irn,2013,0.09747
irq,2012,1.29559
isl,1995,0
isr,1997,0
isr,1999,0
isr,2001,0.00813
isr,2005,0.00003
isr,2007,0.0001
isr,2010,0
isr,2012,0.00202
ita,2001,0
ita,2010,0
jam,1990,2.54817
jam,1991,2.32255
